SNID,RA,DEC,zHEL,TYPE
04D2kr,150.156,1.7119,0.7441,None
04D4im,333.754,-17.396,0.751,None
1285160,52.3989,-28.6476,0.75,None
04D3ks,215.64,52.1852,0.75,None
05D2nt,150.243,2.3727,0.757,None
05D3mn,214.689,52.3231,0.76,None
05D4cn,333.381,-17.2888,0.763,None
05D1if,36.1239,-4.5703,0.763,None
04D1qd,36.6378,-4.1072,0.767,None
04D1de,36.6496,-4.4226,0.768,None
05D3hh,214.792,52.9593,0.766,None
04D4id,334.089,-17.229,0.769,None
04D1pc,36.6037,-4.3994,0.77,None
1329196,53.0758,-28.9065,0.77001,None
05D4bi,333.986,-17.9861,0.775,None
1325358,52.2841,-28.9516,0.78,None
05D4cs,334.324,-17.8802,0.79,None
03D4fd,334.06,-17.3956,0.791,None
1309749,52.5384,-27.3174,0.79,None
04D1ks,36.0396,-4.9787,0.798,None
03D1fq,36.7319,-4.3022,0.8,None
Elvis,189.451,62.2265,0.839,None
Spock,189.277,62.2533,0.839,None
Manipogo,189.145,62.2636,0.854,None
Vilas,189.371,62.1911,0.935,None
Ombo,53.1056,-27.7508,0.975,None
SCP05D0,35.4253,-3.3648,1.014,None
Eagle,189.337,62.2282,1.019,None
Ferguson,189.105,62.2566,1.02,None
Strolger,189.086,62.1807,1.027,None
SCP06U4,356.373,-36.546,1.05,None
Gabi,189.058,62.2021,1.12,None
SCP06H5,218.626,34.4492,1.23099,None
Lancaster,189.236,62.2148,1.235,None
Aphrodite,53.1563,-27.7796,1.30001,None
Thoth,53.1033,-27.7716,1.30501,None
Inanna,53.1847,-27.9184,1.30701,None
SCP05D6,35.4437,-3.3823,1.315,None
washington,53.0869,-27.8282,1.33001,None
Borg,189.288,62.1914,1.34,None
SCP06G4,217.328,34.6437,1.34999,None
Mcguire,53.0418,-27.8305,1.35701,None
Sasquatch,189.225,62.1397,1.39,None
SCP06K0,219.535,34.2384,1.41499,None
carter,150.061,2.1924,1.54,None
Primo,53.1584,-27.7775,1.55001,None
rutledge,215.2,53.0728,1.61399,None
geta,322.35,0.1402,1.7,None
stone,189.32,62.2782,1.8,None
