Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
0,ZTF17aadlxmv,0.06201943,1.281e-05,z_gal,58878.08527692311,0.001125616,0.4599662001239373,0.062073539,0.2192797805473674,3.6800816899900616e-05,0.1385185754747672,0.030692724,-1.02e-06,-0.020520443,0.000941995,-2.35e-07,-9.77e-07,-0.000137686,0.033334651,3.1,0,0.178353087,127.448018,33.906536,snia-cosmo,norm,1.0,1.0,2020adv,100.0,SN Ia,,2020adv,127.44817437,33.90650183,0.06196029,0.0333301743119955,10.135514490208141,-0.3337495272228708,-10.459054101295246,7.048081121666014,0.5879726621710134,10.737032617696428,0.1254455213817848,-10.62222641972757,8.067656939652284,0.5725874531759712
1,ZTF18aaadqua,0.07867182,0.00280713,z_snid,58130.778798013016,0.00084501,4.999998733105365,-0.392734349,14.743977162303054,0.000103103,5.314307148,1.1361246203915862,-0.001295638,0.013517264,-0.49995326,-6.4e-08,-9.8e-05,4.774349098131618e-05,0.041783529,3.1,0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0,SN Ia,,,26.798667634894525,18.798643805788156,0.07,0.041784382686018945,,,,,,,,,,
2,ZTF18aaanzph,0.06371792,1.602e-05,z_gal,58138.01446139018,0.000275491,-1.224903205,0.567259712,8.873834685,0.000350413,0.5145994273567801,1.2625032625647157,0.0031616,2.231425493105065,-10.27231474,8.363189355405697e-05,-0.00039879,-0.279569472,0.016149347,3.1,0,0.5768952765578739,157.743465,23.788356,snia-cosmo,norm,0.0,0.0,2018kc,100.0,SN Ia,,1693738,157.746811,23.78858,0.06369319,0.01614875804632902,8.654340417435309,-1.6318510060338167,-10.306700007201927,6.760765915117865,0.592355621268949,10.944781849775577,-1.0777790412787167,-12.047477850092694,7.9164946527698685,0.567702330595837
3,ZTF18aaapivw,0.02634147,0.00432782,z_snid,58152.87353,0.001008111,-4.999998317,0.6609680733538847,0.9717548145163164,0.000942529,2.279240776670842,0.5867684170605021,-2.14e-05,-4.37e-05,-0.0630554,1.1644334458250715e-09,-0.000626916,2.0026718920503803e-06,0.087684801,3.1,0,0.2490739134846925,102.563278,27.140073,snia-cosmo,norm,0.0,0.0,2018xi,100.0,SN Ia,,,102.56448084,27.14132321,,0.0877955812215805,8.09935845678622,-1.8488385557378304,-9.99284733128202,5.553608598102864,0.6347771729522274,9.508433761465874,0.34207974846840805,-9.169834804563394,6.655693520891427,0.5995491968711337
4,ZTF18aaaqexr,0.07025791,2.194e-05,z_gal,58893.68792278293,0.000609715,-1.437246388,0.048228529,0.1709066789553617,2.0791246198910635e-05,0.2252383356556103,0.032271496,-5.34e-07,-0.003568825,4.7336166462844494e-05,-1.13e-06,-5.63e-07,0.001167888,0.03155948,3.1,0,0.038322498,175.776516,15.567129,snia,,1.0,1.0,2020chl,100.0,SN Ia,,,175.77656208601454,15.566957098517696,0.07022749,0.03156144499778747,10.491667192562822,0.10560051085034859,-10.320514084671933,5.8447665462362774,0.6133529045789667,11.116185399410396,-2.740923863017397,-13.842866309869132,9.631877863029075,0.5684380676430321
5,ZTF18aaasvcd,0.00910671,1.016e-05,z_gal,,,,,,,,,,,,,,,0.012340679,3.1,0,0.0,142.229652,49.238127,snia-cosmo,norm,0.0,0.0,2018pc,100.0,Ia,,2018pc,142.2307,49.2385,0.009109695,0.012337467726320028,9.569870017651521,-1.459413581245076,-11.063434543929628,8.87335324189022,0.5754001261575206,10.076144908800694,-0.7373560594208677,-10.807962845060334,9.921940561616026,0.5587836265554477
6,ZTF18aabasml,0.04726883,1.308e-05,z_gal,58171.94225059728,0.000457987,4.999979792566421,1.008026309179062,0.8051991469001223,9.887422447450234e-05,7.109740674772212,0.1482685984601599,-2.68e-05,5.051952420120624e-05,0.018306732,-3.49e-08,-1.44e-05,5.8785652378544944e-05,0.010949589,3.1,0,0.9775997614882432,166.486441,37.625088,snia-cosmo,norm,0.0,0.0,2018tz,100.0,Ia,,2018tz,166.48645263,37.62538821,0.04720976,0.010948756784200668,9.509310261542188,-0.4107563143873691,-9.903171283475688,7.039682184830896,0.5838064808106964,9.863553639066689,0.6553329781334325,-9.222528167970681,5.781838077058719,0.6210648810598534
7,ZTF18aabdgik,0.02160394,1.242e-05,z_gal,58430.41847938639,0.010333476,-0.559623449,-0.399999979,0.4023501689880504,0.000317715,0.3360106435285712,1.5561573947182556,-1.45e-05,-0.087161492,-1.17e-06,-2.63e-05,-9.51e-09,-1.39e-06,0.048908176,3.1,0,0.4841749415051043,175.598841,10.264214,snia-cosmo,norm,0.0,0.0,2018hzg,100.0,Ia,,2018hzg,175.5987,10.2642,0.02160394,0.04891065284609795,10.576985683249621,0.6363184617233522,-9.903906016489254,6.155876887364557,0.6023481498533879,11.073141388486064,-0.29089210186410175,-11.349632953162855,8.660777758521183,0.5729714632586187
8,ZTF18aabqgnb,0.03609448,0.00320039,z_snid,58174.45632799804,0.001015418,2.262981035908818,0.546845722,0.4759342230718175,0.000322521,1.4969341672154832,0.1872305425002258,-0.000130316,0.6171959649434136,0.073973274,-0.000474483,-6.06e-05,0.2718646150588094,0.018314742,3.1,0,0.9987788073438428,178.189495,37.854296,snia-cosmo,norm,1.0,0.0,2018yc,100.0,Ia,,2018yc,178.18927622,37.85465363,,0.01831563975661993,8.299284628111781,-1.3490603645971724,-9.672396502563867,5.981152998936329,0.6278858568046192,8.616026556191828,-0.6234259924936162,-9.263253322510495,6.551286401149953,0.6182982838878466
9,ZTF18aabssme,0.04168907,1.023e-05,z_gal,58184.828820717805,0.002601589,-1.410702417,0.010829808,3.758744773829676,0.001101418,2.558823558390531,0.3280597315642612,-0.00026923,-8.072329433,0.3211260200989447,-0.001607982,-0.000368725,0.3463898257668328,0.034648476,3.1,0,0.5837131942086724,155.711512,14.05482,snia-cosmo,norm,0.0,0.0,2018aca,100.0,Ia,,2018aca,155.71206833,14.05461329,0.04168029,0.03465087205171585,8.882662882119629,-0.6532051421584589,-9.55792252577279,5.116310286113526,0.6408748325876822,9.369524109852895,-0.8403080688533272,-10.212589432435486,8.497008901888597,0.5692076083793735
