CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
1997bp,62,0.00864,0.00085,0.00931,0.00015,0.00817,0.00015,13.1668,0.42436,32.4198,0.425219,32.5982,1,0,0.11503,0.027946,-0.05696,0.055661,13.6576,0.0415332,0.0617989,0.00236402,-0.000227626,1.5403e-05,-4.80997e-05,191.724,-11.6425,-999,-999,-9.0,201.132,250,0.0380864,9.75,0.43,50550.2,0.1065,46,842.551,0.0,0.0645,0.2145,0.0743,0.012,1.0,0.038,,,,,,,,,,,,,,,,,
ASASSN-16jf,150,0.01096,0.00084,0.0104,1e-05,0.01144,1e-05,14.3179,0.313698,33.5709,0.314858,-9.0,0,0,-0.031719,0.042517,-1.97973,0.15325,14.6019,0.0491948,0.0258962,0.00117336,1.99995e-05,-5.54312e-05,-4.22351e-05,339.247,-25.232,-999,-999,-9.0,-166.92,250,0.0203573,8.01649,0.013,57629.9,0.2221,8,25.7163,0.00117435,0.0997,0.1673,0.0376,0.004,1.0,0.008,,,,,,,,,,,,,,,,,
1992bs,50,0.06372,0.0009,0.0637,0.00015,0.06405,0.00015,18.0987,0.204745,37.3517,0.206518,-9.0,0,1,-0.046839,0.048183,-0.254896,0.12543,18.0085,0.0409461,0.00112357,4.23728e-05,-0.00107221,1.62982e-06,-1.49697e-06,52.3749,-37.2718,-999,-999,-9.0,-4.4741,250,0.0104577,10.5104,0.28089,48986.0,0.4364,29,30.918,0.3693,0.1257,0.0316,-0.0354,0.003,1.0,0.003,,,,,,,,,,,,,,,,,
13038,1,0.10507,0.00508,0.10485,0.005,0.1062,0.005,19.1765,0.234634,38.4295,0.236183,-9.0,0,0,-0.02399,0.023079,1.43036,0.14627,18.9637,0.0370706,0.000466167,1.59164e-05,0.000662813,-9.71472e-07,-2.92174e-07,347.827,0.5046,-9,-9,-9.0,-60.2355,250,0.033158,8.87462,-9.0,53988.7,0.1443,53,41.1666,0.8814,0.0531,0.1102,0.02,0.008,1.0,0.012,,,,,,,,,,,,,,,,,
15171,1,0.13826,0.00107,0.13818,0.0005,0.1392,0.0005,19.6973,0.157441,38.9503,0.15974,-9.0,0,1,-0.072561,0.025914,0.67029,0.14725,19.4545,0.0577537,0.000296608,1.57775e-05,0.000256604,-1.44907e-07,-2.98156e-07,304.793,-1.0645,-9,-9,1.163,-19.2613,250,0.0919506,9.85121,0.142,54029.1,0.1382,65,79.4026,0.10788,0.0588,0.0179,0.0281,0.003,1.0,0.008,,,,,,,,,,,,,,,,,
17391,1,0.1836,0.00111,0.18345,0.0005,0.1849,0.0005,20.3465,0.29295,39.5995,0.294191,-9.0,0,0,0.024238,0.046001,0.34173,0.659,20.4262,0.0693015,0.000121206,7.73646e-06,-0.0104561,2.28557e-06,-2.3522e-07,347.552,-0.9314,-9,-9,-9.0,-36.6158,250,0.0317044,7.0,-9.0,54345.1,1.7315,40,34.3364,0.7225,0.1583,0.0142,0.0028,0.006,1.0,0.016,,,,,,,,,,,,,,,,,
1316431,10,0.19828,0.0051,0.19815,0.005,0.199,0.005,20.6349,0.172306,39.8879,0.174409,-9.0,0,0,-0.092458,0.026912,1.29871,0.1308,20.254,0.0387095,0.000142036,5.06398e-06,1.36672e-05,-7.13073e-08,-1.10678e-07,42.2394,-0.4084,-999,-999,-9.0,-32.5934,250,0.0435636,7.0,2.0,57018.9,0.1316,26,33.1222,0.15858,0.0619,0.0609,0.0442,0.004,1.0,0.007,,,,,,,,,,,,,,,,,
16032,1,0.20331,0.00112,0.20318,0.0005,0.204,0.0005,20.6747,0.171689,39.9277,0.173799,-9.0,0,0,-0.103496,0.034717,-0.740612,0.23563,20.5278,0.0476505,0.000110378,4.84426e-06,0.0016901,-3.98825e-07,-1.22406e-07,44.0692,-0.4108,-9,-9,-9.0,-31.2577,250,0.056301,7.0,-9.0,54046.4,0.1779,42,25.8042,0.97667,0.0854,0.0131,0.0115,0.008,1.0,0.005,,,,,,,,,,,,,,,,,
17811,1,0.212,0.00113,0.21186,0.0005,0.2132,0.0005,20.6606,0.192614,39.9136,0.194498,-9.0,0,0,-0.130649,0.032976,1.08099,0.30058,20.2386,0.0424726,0.000144066,5.63566e-06,-2.27791e-05,-7.01687e-07,-1.22861e-07,12.8787,-0.9474,-9,-9,-9.0,-35.4819,250,0.0381921,7.0,-9.0,54355.4,0.2847,38,29.9375,0.82167,0.1008,0.0127,0.0891,0.006,1.0,0.005,,,,,,,,,,,,,,,,,
6933,1,0.21398,0.0051,0.21383,0.005,0.2152,0.005,20.6344,0.195634,39.8874,0.197488,-9.0,0,0,-0.022316,0.032651,0.084513,0.23882,20.5739,0.0362115,0.000105786,3.52817e-06,0.00102712,-2.47341e-07,-8.24149e-08,11.3517,1.0756,-9,-9,-9.0,-37.5118,250,0.0202861,7.0,-9.0,53679.9,0.2384,32,34.3579,0.35541,0.0864,0.0568,-0.0314,0.004,1.0,0.008,,,,,,,,,,,,,,,,,
