SNID,RA,DEC,zHEL,TYPE
1322975,52.880024,-28.727432,0.84705,None
1323016,10.056409,-43.452343,0.33582,None
1323106,34.085434,-5.013814,0.34529,None
1323349,37.200703,-4.247733,0.5061,None
1323600,41.010361,-1.831778,0.37145,None
1323740,52.49036,-28.548483,0.77207,None
1323777,53.455006,-28.234989,0.53348,None
1323831,52.853745,-27.137775,0.31131,None
1324062,53.323368,-27.906645,0.7039,None
1324509,54.563225,-28.812569,0.21105,None
1324536,54.476437,-29.947796,0.58955,None
1324542,53.895199,-29.047989,0.5421,None
1324544,54.369358,-29.302443,0.53027,None
1324562,53.795391,-28.448479,0.35349,None
1324582,53.309258,-29.190933,0.38237,None
1324685,52.068111,-28.828848,0.54244,None
1324790,53.612099,-27.337799,0.35775,None
1325191,52.25911,-27.324074,0.79883,None
1326273,52.117321,-27.785505,0.57013,None
1326299,52.642696,-27.520714,0.67448,None
1326367,53.73613,-27.140719,0.55856,None
1327978,8.279955,-44.140156,0.20786,None
1328016,10.347795,-44.268295,0.35167,None
1328089,6.994421,-43.390152,0.5698,None
1328103,7.202621,-43.288788,0.57589,None
1328105,8.187062,-43.576935,0.44259,None
1329168,52.65675,-27.635353,0.67717,None
1329312,36.263298,-5.541797,0.34586,None
1329365,36.528843,-4.653905,0.6123,None
1329615,35.442699,-5.639848,0.40474,None
1329622,35.499458,-6.228539,0.48727,None
1329795,41.792191,-0.012864,0.52669,None
1330031,9.140839,-43.487255,0.10643,None
1330339,55.219448,-29.516827,0.57968,None
1330350,52.063938,-27.787806,0.76374,None
1330403,54.519131,-29.132799,0.77713,None
1330530,54.110844,-27.915379,0.33682,None
1330533,53.947941,-27.633751,0.36495,None
1330559,54.030827,-27.08321,0.68194,None
1330642,37.040554,-4.047055,0.63521,None
1330817,41.108952,-1.447716,0.27144,None
1330828,40.827564,-0.145322,0.36807,None
1330903,41.116287,-0.645018,0.56544,None
1330964,53.912453,-27.409948,0.4514,None
1330995,35.646164,-6.961792,0.71965,None
1331123,8.036339,-42.554184,0.22248,None
1331130,8.05313,-43.207363,0.39292,None
1331344,34.27129,-5.076359,0.55122,None
1331513,41.409588,-0.239845,0.40675,None
1331660,54.531155,-26.868364,0.72139,None
1331700,9.172572,-44.025627,0.36123,None
1331707,8.412318,-43.710297,0.65516,None
1331719,8.706694,-44.577705,0.5874,None
1331836,35.063015,-5.170101,0.35778,None
1331883,36.733212,-5.246315,0.62011,None
1331887,36.783711,-5.468542,0.78539,None
1331925,35.535694,-4.20036,0.61628,None
1331976,36.830399,-5.18772,0.56062,None
1331993,35.971802,-4.459333,0.721,None
1332008,41.853058,-1.547622,0.61272,None
1332392,35.978176,-5.898362,0.51318,None
1332614,52.131775,-28.403044,0.51917,None
1332632,52.663742,-28.479296,0.62383,None
1332689,53.268879,-26.706299,0.48824,None
1332701,54.545445,-27.805193,0.79232,None
1332709,55.129715,-27.696453,0.69431,None
1332721,55.302475,-27.368549,0.42274,None
1332747,53.140884,-27.796587,0.34357,None
1332795,54.081608,-26.713064,0.68047,None
1332819,51.964768,-28.707645,0.34234,None
1333246,41.383972,-0.061614,0.43879,None
1333248,41.47596,-0.840537,0.69519,None
1333291,36.347591,-4.368912,0.3657,None
1333442,36.550358,-4.417606,0.69344,None
1333489,52.939652,-28.331986,0.68244,None
1333576,40.547951,-0.998149,0.59011,None
1333949,9.689554,-43.753761,0.66047,None
1334084,41.734005,-0.690615,0.13431,None
1334087,41.008358,-0.467395,0.26722,None
1334253,54.847382,-26.903158,0.62135,None
1334257,54.055016,-27.664705,0.68067,None
1334265,53.828198,-27.346083,0.58646,None
1334302,7.367349,-43.388157,0.4557,None
1334321,8.715216,-44.801804,0.80454,None
1334423,42.213657,-0.152201,0.35888,None
1334448,34.489563,-4.862434,0.51812,None
1334581,35.560623,-4.371332,0.82885,None
