SNID,RA,DEC,zHEL,TYPE
1290043,53.040909,-27.713324,0.73556,None
1290176,52.03558,-28.064798,0.79602,None
1290191,52.97329,-28.748177,0.59567,None
1290323,53.853111,-28.123365,0.59969,None
1290394,8.204175,-42.305821,0.57271,None
1290593,52.669548,-27.690344,0.67594,None
1290816,54.172512,-27.84,0.21892,None
1290948,54.619995,-27.671337,0.53736,None
1290967,54.056568,-26.969482,0.28158,None
1290995,54.029472,-26.593786,0.5441,None
1291090,9.463052,-43.721462,0.29292,None
1291143,36.056412,-7.366598,0.47937,None
1291149,35.334217,-7.2576,0.23156,None
1291155,34.822487,-6.12875,0.51213,None
1291159,34.919987,-6.725581,0.54102,None
1291242,35.999111,-6.289883,0.28008,None
1291254,10.235841,-44.621086,0.35116,None
1291346,35.23383,-5.434015,0.29876,None
1291408,9.866796,-43.877441,0.34818,None
1291511,9.433405,-44.809784,0.37325,None
1291580,54.13131,-29.701744,0.31315,None
1291733,9.754608,-44.082146,0.54895,None
1291783,8.856014,-43.791721,0.39922,None
1291788,53.768215,-29.662418,0.3845,None
1291794,55.169327,-28.711853,0.3956,None
1291957,7.200018,-43.562267,0.37244,None
1292033,43.268463,0.069686,0.32565,None
1292040,43.095604,0.622206,0.16979,None
1292145,53.630531,-29.648947,0.493,None
1292227,41.603012,-1.844187,0.29279,None
1292332,41.143486,-1.285123,0.27358,None
1292336,40.998829,-0.906124,0.23446,None
1292560,35.055779,-5.361129,0.22582,None
1292767,37.096813,-4.54283,0.30996,None
1292823,36.623581,-4.401216,0.34672,None
1292997,35.598572,-4.87292,0.41562,None
1293006,33.76149,-5.317365,0.50562,None
1293028,35.78133,-3.970404,0.75509,None
1293046,37.167393,-4.732077,0.60863,None
1293275,36.095104,-6.315112,0.30283,None
1293319,36.002407,-6.497732,0.2979,None
1293366,36.23521,-6.036393,0.32145,None
1293465,36.421776,-6.316606,0.4992,None
1293758,8.483875,-43.349716,0.14896,None
1293783,52.130669,-28.779482,0.32927,None
1293789,52.168682,-28.185522,0.42914,None
1293832,52.388741,-27.570766,0.81398,None
1293921,52.318111,-27.868938,0.50552,None
1294137,42.648834,0.937952,0.4719,None
1294340,41.643936,-1.295734,0.36186,None
1294341,41.784325,-1.216823,0.36897,None
1294351,41.592354,-0.417758,0.33926,None
1294667,35.869144,-4.982107,0.6295,None
1294743,36.102535,-4.674933,0.31363,None
1294806,55.059059,-28.908781,0.52588,None
1294948,55.08955,-29.048574,0.30291,None
1294971,54.956329,-29.642572,0.58877,None
1295024,35.051903,-7.049936,0.33494,None
1295027,35.432739,-6.940557,0.42676,None
1295079,35.172302,-6.313821,0.54562,None
1295249,53.692104,-27.077173,0.53309,None
1295285,36.886341,-4.364003,0.52634,None
1295291,36.05827,-4.349054,0.86329,None
1295315,55.076344,-27.631439,0.34934,None
1295436,36.773224,-4.990017,0.29687,None
1295509,52.941841,-28.29143,0.68428,None
1295527,51.799862,-27.99334,0.88568,None
1295550,52.003124,-28.844362,0.87345,None
1295592,52.805687,-28.313438,0.35684,None
1295685,7.336062,-42.859375,0.56046,None
1295794,52.681576,-27.389782,0.67164,None
1295800,52.383202,-28.78282,0.74924,None
1296161,35.836498,-4.017581,0.86394,None
1296173,35.747959,-4.177312,0.65898,None
1296321,40.916874,-0.761946,0.18531,None
1296657,36.255188,-6.278562,0.14715,None
1296671,35.407623,-6.115394,0.64986,None
1296793,35.009457,-6.524715,0.64526,None
1296802,35.631126,-4.987166,0.74534,None
1296919,36.812332,-3.759846,0.67832,None
1296963,43.114273,-0.456215,0.48917,None
1297026,35.820992,-5.182148,0.25956,None
1297061,53.668201,-27.391729,0.53445,None
1297063,53.751694,-27.299524,0.4357,None
1297064,53.489235,-26.466818,0.65109,None
1297070,53.470223,-27.484638,0.73135,None
1297157,54.004135,-26.429258,0.54947,None
1297318,53.74073,-28.626982,0.33529,None
1297353,54.054771,-28.395136,0.54459,None
1297365,54.320938,-28.519957,0.34365,None
1297377,52.657703,-28.738693,0.61044,None
1297465,51.795311,-27.822104,0.27836,None
1297490,53.260059,-28.290663,0.73743,None
1297501,51.838791,-28.125025,0.21541,None
1297532,53.222633,-28.768408,0.86532,None
1297580,52.221073,-28.735945,0.63626,None
1297742,8.609741,-43.095085,0.46364,None
