SNID,RA,DEC,zHEL,TYPE
1811099,55.296959,-29.435276,0.49058,None
1811128,36.064106,-4.327235,0.92613,None
1814082,35.964188,-6.785188,0.64981,None
1815065,43.229248,0.18329,0.13617,None
1817265,52.050282,-28.3801,0.88074,None
1817269,52.228951,-28.005026,0.5307,None
1826039,52.910095,-27.696438,0.83988,None
1833067,9.696743,-44.27359,0.55688,None
1833321,53.790127,-27.254196,0.62542,None
1833339,54.653015,-27.661984,0.13092,None
1833468,36.869011,-4.970802,0.78516,None
1833564,52.822266,-27.666786,0.65526,None
1834104,54.906273,-27.837975,0.23972,None
1835110,54.590889,-28.885368,0.34598,None
1837071,41.769619,-0.731298,0.12995,None
1837096,55.002415,-26.924477,0.37987,None
1839117,37.362591,-4.74307,0.608,None
1840041,35.022488,-4.16115,0.23993,None
1842087,53.078579,-27.707424,1.0843,None
1847028,40.804569,-0.200573,0.58138,None
1847079,43.356792,0.404488,0.33134,None
1847100,36.01508,-6.271034,0.38,None
1847148,41.761555,-1.378048,0.5074,None
1847151,41.519859,-0.93914,0.40786,None
1847165,41.00314,-1.140671,0.3885,None
1847216,36.167896,-6.894193,0.48023,None
1847303,36.655132,-3.639226,0.48082,None
1847317,53.168949,-28.308271,0.81844,None
1848092,42.449226,0.131475,0.58883,None
1848198,41.502583,-0.927966,0.3612,None
1849051,36.421097,-6.704932,0.3065,None
1849109,35.525955,-5.678954,0.6253,None
1849244,34.769779,-6.160843,0.57826,None
1849276,36.269764,-3.84094,0.61542,None
1850045,8.291803,-42.122124,0.31413,None
1850154,52.697018,-28.675591,0.56884,None
1854103,54.290012,-28.73485,0.46733,None
1856065,36.902603,-4.634946,0.79034,None
1860025,8.479925,-42.09383,0.23625,None
1861164,53.776661,-27.3018,0.435,None
1861178,34.34734,-4.237392,0.29201,None
1861210,53.857864,-29.704573,0.54285,None
1861451,36.758095,-5.481236,0.7819,None
1861472,35.786881,-4.196468,0.83925,None
1861474,36.837822,-4.352731,0.691,None
1862039,42.256294,0.393121,0.28792,None
1862183,54.030205,-27.823437,0.44918,None
1862207,54.650517,-28.023901,0.54439,None
1864046,52.431057,-28.635309,0.74939,None
1864084,35.890801,-5.23655,0.60665,None
1867019,8.633057,-42.893463,0.22191,None
1871017,54.025879,-27.746033,0.3377,None
1872097,52.090488,-27.373283,0.84207,None
1876204,52.900402,-27.945885,0.51067,None
1876263,7.079396,-42.552193,0.64763,None
1876287,8.322135,-43.951634,0.56558,None
1876301,7.302457,-42.072372,0.60195,None
1876304,8.379971,-43.616207,0.68356,None
1876305,7.448677,-42.036743,0.53784,None
1876308,9.107766,-43.787014,0.4225,None
1876421,34.837959,-6.329447,0.34423,None
1876431,35.836479,-6.390174,0.466,None
1876462,36.788052,-4.333496,0.841,None
1876533,36.780487,-4.078004,0.491,None
1876602,7.07827,-43.142624,0.73117,None
1878148,43.070988,0.886,0.2254,None
1878288,54.898056,-28.903999,0.48501,None
1878334,41.938919,-0.508446,0.36142,None
1878335,34.878243,-5.335891,0.565,None
1878612,8.84179,-44.720795,0.64605,None
1878692,36.651753,-4.789342,0.886,None
1878719,43.562389,0.202577,0.45854,None
1878756,36.122387,-4.555696,0.55419,None
1879187,42.427391,0.452722,0.59271,None
1879188,42.174973,0.280719,0.64846,None
1879208,54.109879,-27.698069,0.19515,None
1879256,7.782153,-43.465099,0.25028,None
1879263,8.531395,-42.9744,0.463,None
1879313,54.232246,-28.475178,0.61028,None
1879412,35.774647,-4.46905,0.82132,None
1879414,36.19899,-5.209655,0.39,None
1879426,52.474308,-27.6173,0.2299,None
1879483,36.244572,-4.231886,0.87716,None
1879532,6.966269,-42.884419,0.37822,None
1879649,54.78249,-26.191349,0.1202,None
1880304,54.742741,-30.03557,0.44469,None
1880429,41.663216,-1.377551,0.49816,None
1880486,41.258328,-1.713837,0.63527,None
1880513,41.812069,-1.588004,0.64577,None
1880545,6.722732,-43.155621,0.55227,None
1880632,36.659142,-4.481314,0.4065,None
1880686,53.438702,-26.467533,0.31457,None
1881037,52.818489,-28.881416,0.76652,None
1882097,41.389313,-1.427397,0.481,None
1883111,7.750012,-42.812721,0.43385,None
