SNID,RA,DEC,zHEL,TYPE
1511024,40.833492,-0.306812,0.3728,None
1512067,55.255776,-28.718895,0.45444,None
1512101,35.06171,-6.015582,0.57,None
1514043,34.86018,-6.166523,0.52831,None
1514059,55.14592,-28.627947,0.5248,None
1516019,9.958631,-43.564758,0.42539,None
1519027,35.704727,-7.163075,0.51525,None
1519038,53.196514,-27.119707,0.11992,None
1528034,41.438282,-1.612107,0.64009,None
1530098,7.103809,-43.31731,0.54873,None
1530120,34.142292,-5.6371,0.40584,None
1530191,35.990589,-3.685468,0.5571,None
1531033,8.979524,-44.621147,0.61002,None
1531078,35.899616,-6.848732,0.67847,None
1531089,10.177927,-43.92181,0.29241,None
1531108,34.103203,-4.686732,0.345,None
1531112,33.822315,-5.316352,0.33582,None
1531113,33.677765,-4.50969,0.45817,None
1531145,35.740257,-4.793823,0.45793,None
1532056,8.121264,-44.128826,0.47379,None
1532057,9.635885,-44.51313,0.50504,None
1533035,35.171822,-4.982737,0.58247,None
1533036,9.204474,-43.156883,0.65446,None
1534078,35.533848,-4.363519,0.61356,None
1535064,37.040596,-5.304894,0.8022,None
1536021,6.62507,-43.462746,0.53524,None
1536026,8.825304,-42.616322,0.44236,None
1536028,8.968451,-43.358021,0.45221,None
1536112,53.059235,-28.28966,0.75956,None
1537020,10.090468,-44.028614,0.40697,None
1537077,53.093514,-27.49415,0.74518,None
1538019,41.773533,-1.736025,0.29162,None
1547048,35.452587,-6.1008,0.54579,None
1547071,52.68322,-28.84713,0.29961,None
1547086,53.168415,-28.517849,0.27627,None
1548070,53.050964,-27.758246,0.67716,None
1549078,53.956108,-29.754837,0.60616,None
1550021,8.13432,-43.228165,0.20676,None
1550103,53.425472,-28.878401,0.53223,None
1551020,7.181709,-42.200169,0.46394,None
1551083,52.208458,-28.025246,0.80373,None
1551108,35.383957,-4.658808,0.868,None
1552028,34.482193,-5.541375,0.453,None
1552143,54.115929,-26.586367,0.76058,None
1555053,53.683285,-26.644318,0.73139,None
1559048,36.981381,-4.575631,0.98157,None
1559051,36.109379,-4.250821,0.70648,None
1559124,54.731361,-29.125114,0.65311,None
1559147,37.158913,-4.411767,0.6336,None
1559178,42.992748,0.206595,0.43651,None
1560034,8.615148,-44.210461,0.26982,None
1560099,52.712437,-28.213356,0.68072,None
1562077,53.485966,-28.208237,0.47898,None
1562098,34.776108,-6.165384,0.57747,None
1563063,54.621529,-29.28332,0.71612,None
1564017,6.612682,-42.902992,0.65916,None
1565032,34.179615,-4.95408,0.46219,None
1566028,35.806728,-6.998018,0.32165,None
1567044,54.657242,-28.392786,0.42324,None
1569050,40.875851,-1.923158,0.33086,None
1570024,54.081772,-26.574581,0.55123,None
1574017,7.342099,-43.981133,0.53399,None
1574019,7.090076,-43.54166,0.60551,None
1574028,7.415122,-43.250103,0.65712,None
1574062,36.071629,-7.03464,0.55144,None
1574104,40.412304,-0.686207,0.27399,None
1575019,6.557232,-42.931027,0.65338,None
1575072,35.743038,-6.869674,0.59156,None
1576034,9.62025,-44.509129,0.768,None
1578063,34.529068,-5.04724,0.64434,None
1578103,41.942383,-1.386431,0.16092,None
1579110,40.968491,-0.866923,0.62336,None
1579146,35.429092,-4.673863,0.80472,None
1581017,51.986,-27.793837,0.83888,None
1581048,54.883518,-27.715591,0.40244,None
1588019,53.405987,-27.74901,0.68831,None
1590044,9.305844,-44.149902,0.63048,None
1590122,54.063477,-28.557043,0.78017,None
1590133,53.607067,-28.308249,0.69426,None
1592028,9.05098,-42.729736,0.32608,None
1592067,41.57222,-0.891894,0.69314,None
1593067,54.871407,-29.8326,0.34822,None
1594042,35.477421,-6.693642,0.62112,None
1595028,35.630413,-6.797608,0.46641,None
1595110,54.846226,-29.236843,0.59325,None
1595118,52.932434,-28.699745,0.91014,None
1595127,53.150955,-28.963417,0.56799,None
1596033,8.389612,-44.28191,0.47043,None
1598039,53.091919,-28.32674,0.62354,None
1599030,8.661484,-44.278481,0.36872,None
1600036,7.331481,-43.519386,0.8153,None
1602033,36.406517,-3.792144,0.61096,None
1617030,53.294018,-28.177277,0.73681,None
1617068,36.283791,-4.507845,0.9323,None
1618036,7.408281,-43.348686,0.39319,None
1618042,52.18623,-28.556389,0.4295,None
1620051,41.023613,-1.86645,0.38353,None
1625037,43.182114,0.791912,0.31956,None
1625059,43.113087,-0.755391,0.59391,None
1632070,35.710873,-6.952402,0.42627,None
1634024,34.281559,-4.872537,0.5776,None
1635042,8.290318,-43.226593,0.55948,None
1636043,9.855684,-43.611569,0.54055,None
1636093,8.546782,-42.989124,0.47891,None
1638030,41.714397,-1.379116,0.37235,None
1639025,10.120909,-43.370361,0.6631,None
1640083,9.130913,-44.38554,0.58172,None
1641173,36.320602,-4.489731,0.4448,None
1641279,7.792492,-42.662983,0.2249,None
1641288,8.136711,-43.753716,0.54642,None
1641368,37.248722,-4.295353,0.60833,None
1642117,35.741726,-4.496129,0.81384,None
1642138,54.310532,-26.419895,0.66033,None
1642158,40.509708,-0.532766,0.68826,None
1642178,52.388535,-28.350605,0.6874,None
1643063,34.191608,-5.719122,0.57319,None
1643213,52.805611,-28.241674,0.6559,None
1643292,7.952912,-43.73267,0.49292,None
1643312,55.241985,-28.717827,0.34083,None
1643313,54.514488,-29.538906,0.39093,None
1643316,53.841248,-29.68788,0.5495,None
1643338,35.860195,-4.512352,0.56915,None
1644061,52.847565,-28.881445,0.61349,None
1644163,41.037304,-1.175506,0.56317,None
1644180,51.558086,-28.233629,0.6122,None
1644211,9.110494,-43.358231,0.45849,None
1644213,7.963182,-43.70105,0.54622,None
1644290,53.656052,-29.562813,0.53786,None
1645092,35.902691,-6.229933,0.51459,None
1645125,35.159782,-5.767457,0.44537,None
1645145,35.776611,-4.949656,0.82775,None
1645158,54.691826,-27.787437,0.36097,None
1645195,41.268093,-1.604364,0.52692,None
1645208,52.949165,-29.020193,0.69581,None
1646092,54.967693,-28.979473,0.7213,None
1646094,54.672676,-29.498604,0.59293,None
1647048,34.744873,-5.13904,0.71023,None
1650024,34.649418,-5.065942,0.31102,None
1652139,53.220951,-28.031702,0.78334,None
1653101,53.505249,-28.644556,0.3305,None
1654105,53.071022,-28.529701,0.56331,None
1655086,51.794292,-28.319025,0.42839,None
1659122,54.53492,-27.754091,0.51927,None
1660018,36.2099,-5.864362,0.4355,None
1662023,35.454948,-6.451896,0.31374,None
1673068,53.431774,-27.463429,0.52838,None
1673097,43.25098,0.508753,0.59963,None
1674022,35.210766,-4.301476,0.60394,None
1682020,8.463544,-42.618359,0.22015,None
1692030,36.156723,-4.238164,0.73942,None
1697026,36.702118,-5.116044,0.26146,None
1699061,54.536156,-26.764792,0.53629,None
1699105,54.708187,-28.239918,0.46642,None
1700105,52.415016,-28.440306,0.76588,None
1700109,52.432846,-27.649979,0.74189,None
1701055,52.244515,-28.94447,0.26446,None
1701088,55.073906,-28.443201,0.72463,None
1702083,55.036106,-29.200348,0.38932,None
1702096,53.458302,-29.470303,0.3886,None
1702112,53.606587,-28.116587,0.47603,None
1703026,40.982197,-0.732837,0.36491,None
1703072,53.82391,-26.152575,0.49475,None
1718059,52.708935,-28.887663,0.2469,None
1719037,54.677372,-29.447645,0.40795,None
1721068,53.32127,-28.890017,0.29425,None
1723034,54.346748,-27.856699,0.33833,None
1770206,9.625751,-44.420441,0.58524,None
1770225,36.714123,-4.196984,0.582,None
1770254,36.174473,-4.716605,0.7362,None
1770386,9.657095,-44.625248,0.36892,None
1770442,33.758072,-5.516199,0.34691,None
1770487,35.067463,-5.240982,0.5377,None
1770680,35.368549,-6.464255,0.61041,None
1770702,41.891331,-1.116122,0.33943,None
1773049,10.422538,-44.600613,0.35118,None
1773078,9.78972,-43.244484,0.27235,None
1773189,36.169071,-5.408982,0.5787,None
1773237,7.16946,-43.127178,0.3929,None
1773339,8.747007,-44.425732,0.28509,None
1774102,35.505146,-4.633047,0.31733,None
1776304,40.803799,-1.508133,0.45517,None
1776329,41.586315,-1.120459,0.42548,None
1777122,34.058304,-4.097035,0.45551,None
1777124,34.096325,-3.997783,0.30853,None
1780045,55.173668,-29.151709,0.24326,None
1780122,10.287381,-43.286667,0.51096,None
1780287,34.857613,-4.540713,0.5262,None
1782065,54.268028,-29.632284,0.20216,None
1783052,8.791119,-43.539066,0.4796,None
1784110,34.767456,-4.11838,0.46114,None
1790098,8.477973,-43.641621,0.394,None
1791048,54.440933,-27.145966,0.21139,None
1791116,9.085548,-44.539425,0.31286,None
1792093,36.492077,-3.890224,0.27761,None
1795052,36.358864,-5.184104,0.68058,None
1797044,35.80064,-5.055236,0.46789,None
1810037,7.220616,-43.254185,0.49761,None
1810087,54.615967,-29.858679,0.55997,None
1810236,53.537632,-27.44986,0.42981,None
1810306,43.102554,-0.521147,0.64245,None
