features,n_features,rms
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$ + $c$,7,0.1259543304503067
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $c$,7,0.12598157033412086
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $x_1$ + $c$,7,0.12606345938948393
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $z$ + $c$,7,0.12613175015960187
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $x_1$ + $c$,7,0.1261332629985017
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $x_1$ + $c$,6,0.12613933822432655
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $z$ + $c$,7,0.1262112475912477
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $c$,6,0.12621147876748146
$g - r$ + $z$ + $x_1$ + $c$,4,0.1262490110361643
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $x_1$ + $c$,6,0.1262949881099899
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $c$,7,0.1263007788960546
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $x_1$ + $c$,7,0.12640210639393784
SFR + $\sigma_v$ + Age + $z$ + $x_1$ + $c$,6,0.1264030596027681
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$ + $c$,6,0.1264150348351194
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $z$ + $c$,6,0.12650551657210726
$D_n4000$ + Age + $z$ + $x_1$ + $c$,5,0.1265499095715858
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$ + $c$,6,0.126572742068219
$\log M_\star$ + $\sigma_v$ + Age + $z$ + $x_1$ + $c$,6,0.1265854979714107
SFR + $D_n4000$ + $z$ + $x_1$ + $c$,5,0.12658805159248362
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $z$ + $c$,7,0.1265890692725546
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $x_1$ + $c$,6,0.12665419267385672
$\log M_\star$ + SFR + $\sigma_v$ + $z$ + $x_1$ + $c$,6,0.12668557026994912
$\sigma_v$ + Age + $z$ + $x_1$ + $c$,5,0.1267373724659287
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $z$ + $c$,6,0.12677579431987293
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $x_1$ + $c$,6,0.1267955247208627
$\sigma_v$ + $D_n4000$ + $z$ + $x_1$ + $c$,5,0.1268230238924049
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $x_1$ + $c$,6,0.12684515283254363
$\log M_\star$ + SFR + $g - r$ + Age + $z$ + $c$,6,0.12686550713503467
SFR + $\sigma_v$ + $D_n4000$ + Age + $x_1$ + $c$,6,0.12688409130388853
$\log M_\star$ + SFR + $g - r$ + Age + $x_1$ + $c$,6,0.12696749466576118
SFR + $\sigma_v$ + $g - r$ + Age + $x_1$ + $c$,6,0.12702900222139218
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $x_1$ + $c$,6,0.1270340539076472
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $z$ + $c$,6,0.1270557169651798
$\log M_\star$ + Age + $z$ + $x_1$ + $c$,5,0.1270840440412687
SFR + $D_n4000$ + $g - r$ + Age + $x_1$ + $c$,6,0.1271365329690035
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $z$ + $c$,6,0.1271647697019711
SFR + $\sigma_v$ + $g - r$ + Age + $z$ + $c$,6,0.12721343708396987
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $c$,6,0.12721964179559886
$\log M_\star$ + $\sigma_v$ + $g - r$ + $z$ + $c$,5,0.12724461686714325
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $z$ + $c$,6,0.12727800698677622
$\log M_\star$ + $D_n4000$ + $g - r$ + $x_1$ + $c$,5,0.12729883646297424
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $x_1$ + $c$,6,0.12732947333560435
$\log M_\star$ + $\sigma_v$ + $z$ + $x_1$ + $c$,5,0.1274148219786856
$\log M_\star$ + $\sigma_v$ + $g - r$ + $x_1$ + $c$,5,0.1274666696184022
$\sigma_v$ + $D_n4000$ + $g - r$ + $x_1$ + $c$,5,0.12747762731233295
$\log M_\star$ + SFR + $D_n4000$ + Age + $z$ + $c$,6,0.1275115159509274
$\log M_\star$ + SFR + $D_n4000$ + Age + $x_1$ + $c$,6,0.12757428295811898
SFR + Age + $z$ + $x_1$ + $c$,5,0.1275902445088897
$\log M_\star$ + SFR + $z$ + $x_1$ + $c$,5,0.12759629637601963
$\log M_\star$ + SFR + $g - r$ + $z$ + $c$,5,0.1276031688792848
$\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $c$,5,0.1277542773089252
$D_n4000$ + $z$ + $x_1$ + $c$,4,0.1278125179165837
$\log M_\star$ + $D_n4000$ + $g - r$ + $z$ + $c$,5,0.1278254383205027
SFR + $\sigma_v$ + $D_n4000$ + Age + $z$ + $c$,6,0.12784954976857826
SFR + $D_n4000$ + $g - r$ + Age + $z$ + $c$,6,0.1279238994531529
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $x_1$ + $c$,5,0.1279898882168888
SFR + $\sigma_v$ + $D_n4000$ + $x_1$ + $c$,5,0.128019185537173
SFR + $\sigma_v$ + $g - r$ + $x_1$ + $c$,5,0.1281753606419745
SFR + $D_n4000$ + $g - r$ + $z$ + $c$,5,0.1281854604631467
SFR + $D_n4000$ + $g - r$ + $x_1$ + $c$,5,0.12820121872993856
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $c$,6,0.12826264913232988
$\log M_\star$ + $g - r$ + Age + $z$ + $c$,5,0.12828877219082177
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $z$ + $c$,5,0.12832952004705728
$D_n4000$ + $g - r$ + Age + $x_1$ + $c$,5,0.1283661174034547
$\log M_\star$ + SFR + $g - r$ + $x_1$ + $c$,5,0.12837323690176172
SFR + $\sigma_v$ + $g - r$ + $z$ + $c$,5,0.12838095057190196
$\sigma_v$ + $g - r$ + Age + $z$ + $c$,5,0.12844725528140127
$\log M_\star$ + SFR + $D_n4000$ + $z$ + $c$,5,0.12847462667375767
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $c$,7,0.12850736467485743
$\log M_\star$ + $g - r$ + Age + $x_1$ + $c$,5,0.1285103227256132
$\log M_\star$ + SFR + $D_n4000$ + $x_1$ + $c$,5,0.12852227030546468
Age + $z$ + $x_1$ + $c$,4,0.1285722203743176
$\log M_\star$ + $z$ + $x_1$ + $c$,4,0.1285976870049574
$\sigma_v$ + $g - r$ + Age + $x_1$ + $c$,5,0.12860596359100507
$\log M_\star$ + SFR + $\sigma_v$ + Age + $z$ + $c$,6,0.12863264787910964
SFR + $g - r$ + Age + $x_1$ + $c$,5,0.1288866625337639
$\log M_\star$ + $D_n4000$ + Age + $z$ + $c$,5,0.1290284589550594
$\log M_\star$ + $g - r$ + $x_1$ + $c$,4,0.12903199502954898
SFR + $g - r$ + Age + $z$ + $c$,5,0.1290446214740009
$\log M_\star$ + SFR + $\sigma_v$ + Age + $x_1$ + $c$,6,0.12905550854099307
$D_n4000$ + $g - r$ + Age + $z$ + $c$,5,0.12906502774580772
$\sigma_v$ + $D_n4000$ + Age + $x_1$ + $c$,5,0.12906932616402939
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $c$,6,0.1291278378049951
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $c$,6,0.12917391969281294
$\log M_\star$ + $g - r$ + $z$ + $c$,4,0.1291888494796408
$\sigma_v$ + $D_n4000$ + Age + $z$ + $c$,5,0.129280736149809
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $c$,5,0.12931048178269694
SFR + $\sigma_v$ + $z$ + $x_1$ + $c$,5,0.1293585420127652
$D_n4000$ + $g - r$ + $x_1$ + $c$,4,0.1293871808702081
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $c$,6,0.1294154926261754
$\sigma_v$ + $g - r$ + $x_1$ + $c$,4,0.12947636389799433
SFR + $\sigma_v$ + $D_n4000$ + $z$ + $c$,5,0.12951700297039065
SFR + $D_n4000$ + Age + $x_1$ + $c$,5,0.12953597173178602
$\log M_\star$ + $\sigma_v$ + Age + $z$ + $c$,5,0.1295502146350317
$\log M_\star$ + SFR + $\sigma_v$ + $z$ + $c$,5,0.12957812953313821
$\log M_\star$ + $D_n4000$ + Age + $x_1$ + $c$,5,0.129609122915626
$\log M_\star$ + $D_n4000$ + $x_1$ + $c$,4,0.1296241320278643
$\sigma_v$ + $g - r$ + $z$ + $c$,4,0.12968718983990304
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $c$,6,0.12973833426491496
$\log M_\star$ + $D_n4000$ + $z$ + $c$,4,0.1297507371058965
SFR + $g - r$ + $x_1$ + $c$,4,0.12975511666901984
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $c$,6,0.12987313551594187
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + $c$,5,0.12998236194428917
$\log M_\star$ + $\sigma_v$ + Age + $x_1$ + $c$,5,0.13001481494646636
SFR + $g - r$ + $z$ + $c$,4,0.1300378300066613
SFR + $D_n4000$ + Age + $z$ + $c$,5,0.13005212977681396
$D_n4000$ + $g - r$ + $z$ + $c$,4,0.13006299350156103
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $c$,5,0.130131169068796
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $c$,5,0.1302500826212206
$g - r$ + Age + $x_1$ + $c$,4,0.13027409098137746
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,7,0.13031431270790006
$\sigma_v$ + $D_n4000$ + $g - r$ + Age + $c$,5,0.13033118005634184
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,8,0.13036512092039224
$\sigma_v$ + $z$ + $x_1$ + $c$,4,0.13038284808062192
SFR + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,7,0.13041231089046446
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + $c$,5,0.13046882114858158
SFR + $\sigma_v$ + Age + $x_1$ + $c$,5,0.13047354272382702
$\log M_\star$ + $\sigma_v$ + $z$ + $c$,4,0.13051233934260875
$\sigma_v$ + $D_n4000$ + $x_1$ + $c$,4,0.13052568451927601
$\log M_\star$ + SFR + $\sigma_v$ + $g - r$ + Age + $z$ + $x_1$,7,0.13059906412311204
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,7,0.13073540621924645
$\log M_\star$ + SFR + $\sigma_v$ + $x_1$ + $c$,5,0.1307575974429968
SFR + $z$ + $x_1$ + $c$,4,0.13075935615512205
$\log M_\star$ + SFR + Age + $z$ + $c$,5,0.13081859021821118
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,7,0.13086022297265862
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,6,0.13088419224491316
$\log M_\star$ + SFR + Age + $x_1$ + $c$,5,0.1308924964405065
$\log M_\star$ + SFR + $D_n4000$ + $g - r$ + $z$ + $x_1$,6,0.13090146047347043
SFR + $\sigma_v$ + Age + $z$ + $c$,5,0.13091130511808555
$D_n4000$ + Age + $x_1$ + $c$,4,0.13093202885257083
$g - r$ + Age + $z$ + $c$,4,0.13093439873172455
SFR + $\sigma_v$ + $g - r$ + Age + $c$,5,0.13097632618521224
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $c$,5,0.13106364298029116
$\sigma_v$ + $D_n4000$ + $z$ + $c$,4,0.1310771502239306
$\log M_\star$ + $\sigma_v$ + $g - r$ + Age + $c$,5,0.1310973818169019
$\log M_\star$ + $D_n4000$ + $g - r$ + Age + $z$ + $x_1$,6,0.1310984942280458
$\log M_\star$ + $\sigma_v$ + $g - r$ + $c$,4,0.13117049784349946
$\sigma_v$ + Age + $x_1$ + $c$,4,0.13118846202823164
$\log M_\star$ + SFR + $z$ + $c$,4,0.1311949434530645
$\log M_\star$ + SFR + $\sigma_v$ + $D_n4000$ + Age + $z$ + $x_1$,7,0.13128794606489022
$\log M_\star$ + $\sigma_v$ + $D_n4000$ + Age + $c$,5,0.1312906304044297
$\log M_\star$ + $D_n4000$ + $g - r$ + $c$,4,0.13131770275430737
$\log M_\star$ + SFR + $g - r$ + Age + $z$ + $x_1$,6,0.1313321789681948
$\sigma_v$ + $D_n4000$ + $g - r$ + $c$,4,0.13144303176295816
SFR + $\sigma_v$ + $D_n4000$ + Age + $c$,5,0.13155323554759082
$\log M_\star$ + SFR + $D_n4000$ + Age + $z$ + $x_1$,6,0.1316697952715357
$\log M_\star$ + $D_n4000$ + $g - r$ + $z$ + $x_1$,5,0.13168501423306544
