Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,ra_host,dec_host,mass_err,mass,restframe_gz,restframe_gz_err,d_dlr,ANGSEP_ARCSEC,TARGETID,RA,DEC,DESI_TARGET,SPECTYPE,Z,ZWARN,ABS_DIFF,RESIDUAL,residual_centered,VDISP,LOGMSTAR,SFR,AGE,DN4000,ABSMAG01_SDSS_G,ABSMAG01_SDSS_R,sigma_mu_meas2,sigma_mu_meas,SDSS_g_minus_r
95,ZTF18aangpkx,0.07000448,1.504e-05,z_gal,58981.91109258661,0.000787031,-2.018797821,-0.017701057,0.067591432,2.4064848806294584e-05,0.084433745,0.027973613,-5.96e-08,0.000429447,2.457031448492097e-05,-2.55e-07,-5.74e-07,0.000104916,0.019963245,3.1,0,0.014280293,255.339058,32.785825,snia,,1.0,1.0,2020jbl,100.0,255.33879371250288,32.785592599030245,0.1464547711752676,10.846,1.30469653,0.018439088915,0.1565188478663892,0.0,39632936680554869,255.33879371250288,32.785592599030245,5764607523034234880,GALAXY,0.0699955290151989,0,8.950984801095463e-06,8.950984801095463e-06,-0.2700880219097037,254.93884,11.093539,0.0,12.622437,2.0683198,-20.188242,-21.163305,0.003743921095973,0.0611875893950159,0.9750630000000022
97,ZTF18aanygjk,0.06180617,1.349e-05,z_gal,58652.93163705723,0.001404977,0.7993006161741982,0.013729996,0.058166647,4.25461133984037e-05,0.076688543,0.027408719,1.6422299939023917e-07,0.00024552,-0.000104731,-4.43e-07,-1e-06,6.17362360704288e-05,0.029561967,3.1,0,6.7873667915208295e-06,273.063952,56.619776,snia-cosmo,norm,1.0,1.0,2019haw,100.0,273.0636098021655,56.62001818856893,0.1203702621082134,10.843,1.15669653,0.017029386366,0.1615300101581802,0.0,39633343226054145,273.0636098021655,56.62001818856893,5764607523034234880,GALAXY,0.0618049716156334,0,1.1983843666019125e-06,1.1983843666019125e-06,-0.2612479255036994,182.32726,10.66422,0.0,6.306389,1.8420064,-20.524254,-21.360054,0.0035553029332442,0.0596263610598893,0.8358000000000025
100,ZTF18aaobjwr,0.11038691,2.816e-05,z_gal,58236.18836638301,0.000244664,-2.011303058,-0.075619705,0.2056664105366508,1.0248506292672528e-05,0.2760527626222016,0.039586642,-5.75e-07,0.002029624,0.001157062,-1.1e-06,-3.19e-07,0.000903837,0.015558706,3.1,0,0.028544286,174.146216,34.589456,snia-cosmo,norm,1.0,1.0,,98.79518072289156,174.14519783444467,34.589449698793885,0.1198165264060012,10.634,1.37969653,0.028653097564,0.5231134783081158,0.0,39632970813803077,174.14519783444467,34.589449698793885,5764607523034234880,GALAXY,0.1103801763014126,0,6.733698587405024e-06,6.733698587405024e-06,0.1277219850060262,160.2365,10.963148,0.0,12.652092,1.9336098,-19.790714,-20.754736,0.0106418616109082,0.1031593990429776,0.9640219999999999
106,ZTF18aaommeg,0.11006606,3.454e-05,z_gal,58246.94116709788,0.000360338,1.0092778014410284,0.042740845,0.2168229626768152,1.1496013602736287e-05,0.1305684490880286,0.03169832,-2.59e-07,-0.01277907,0.000362167,-4.12e-08,-2.99e-07,-0.000821745,0.029914748,3.1,0,0.1500615826931261,254.714877,30.184943,snia-cosmo,91t,1.0,1.0,,100.0,254.714788589854,30.1852124220346,0.1386217876093076,9.947,1.39869653,0.036619666847,0.4425544705336694,0.2451937483639593,39628487044107823,254.7147765985549,30.18514510601365,5764607523034234880,GALAXY,0.1100596481425473,0,6.411857452690017e-06,6.411857452690017e-06,-0.1635534384553096,130.79572,10.360495,0.8612611,12.653754,1.6253978,-17.873327,-19.112345,0.0063294153143673,0.0795576226037917,1.2390180000000015
108,ZTF18aaoufjt,0.02983007,1.097e-05,z_gal,58636.56445397208,0.000456535,1.160252848329491,0.7339740375574045,0.1543407432181993,1.5321293405049684e-05,0.145090175,0.02940539,-1.8e-07,-0.00137968,0.000167007,-3.54e-08,-3.99e-07,-0.000159215,0.015648105,3.1,0,0.9096677003453228,215.321789,35.508844,snia-cosmo,99aa,1.0,1.0,2019fyi,100.0,215.3224707102314,35.50939535033654,0.1069766329625306,9.882,0.92369653,0.020615528128,0.3795127493702664,0.0,39632991214896898,215.3224707102314,35.50939535033654,5764607523034234880,GALAXY,0.0298286782779003,0,1.3917220996993718e-06,1.3917220996993718e-06,0.4524596047418399,79.392876,10.125119,0.22426127,6.317301,1.5432004,-18.770613,-19.432638,0.0043042491084149,0.0656067763909716,0.6620249999999999
124,ZTF18aaqehoc,0.06206565,1.248e-05,z_gal,58251.28410292513,0.000983904,-0.524963638,0.037731701,0.048216746,2.928278289962116e-05,0.046799488,0.026904385,1.822633591636829e-07,-0.000413942,-0.00016679,1.3969782796566261e-08,-6.79e-07,-0.000164359,0.014565016,3.1,0,0.000242107,228.185602,40.10991,snia-cosmo,norm,1.0,1.0,2018bgq,100.0,228.1856547901496,40.1098932817581,0.1066255128944288,9.989,1.06469653,0.019104973175,0.0362196837611837,2.347618936786875e-10,39633077516894347,228.1856547901496,40.1098932817581,5764607523034234880,GALAXY,0.062080482156878,0,1.4832156878002987e-05,-1.4832156878002987e-05,-0.1690404900173483,125.0,10.13401,0.0,6.2864804,1.3995366,-18.77958,-19.558218,0.0034187102588327,0.0584697379747231,0.7786380000000008
130,ZTF18aaqgbju,0.09368286,1.967e-05,z_gal,58238.73919288484,0.000773461,0.817581232,0.037949103,0.2044590812693059,2.6618894678291964e-05,0.1664926323639058,0.031328895,6.678535854519991e-07,-0.006173479,-0.001298784,-1.35e-06,-6.37e-07,-0.000445721,0.027459245,3.1,0,0.7011381355033587,236.566628,29.094635,snia,,1.0,1.0,2018bfk,100.0,236.56668058493224,29.09420980301825,0.125,9.201,0.49969653,0.069260378284,1.2546506128504706,0.0,39628460494161263,236.56668058493224,29.09420980301825,5764607523034234880,GALAXY,0.0936831941573041,0,3.341573040910317e-07,-3.341573040910317e-07,-0.6351704633826039,125.0,9.068043,0.05407549,6.031671,1.0428678,-18.012531,-18.33588,0.0068231764239229,0.082602520687464,0.32334900000000033
141,ZTF18aaqpsvo,0.13505192,1.142e-05,z_gal,58250.29847086867,0.000115036,-0.869565262,-0.02446805,0.3616071741198539,5.36422976453199e-06,0.3847845450746637,0.049922132,4.995018350010207e-07,0.002588668,-0.006243616,-9.06e-07,-1.88e-07,0.000880444,0.010518608,3.1,0,0.088253658,199.627167,32.002056,snia-cosmo,norm,1.0,1.0,,100.0,199.62735146103432,32.00240131410042,0.1030776406404415,9.587,0.89969653,0.085615419172,0.6463376103633857,0.0,39628522506948091,199.62735146103432,32.00240131410042,5764607523034234880,GALAXY,0.1350519855290652,0,6.552906520185253e-08,-6.552906520185253e-08,0.501023677933496,125.0,9.399792,0.0,6.167807,1.2641221,-18.214235,-18.69959,0.0205907188928062,0.1434946650325586,0.485355000000002
144,ZTF18aaqskoy,0.08608382,1.118e-05,z_gal,58255.06816909655,0.000827888,1.0675247771883958,-0.111923985,0.075821674,2.4523893306833272e-05,0.07175291,0.02862336,2.505742198554059e-07,-0.000792972,-0.000358985,-1.61e-08,-5.91e-07,-0.000276797,0.020519228,3.1,0,0.999883798,255.907767,36.429186,snia-cosmo,norm,1.0,1.0,2018bhv,100.0,255.907052662628,36.42818617954353,0.1203702621082134,8.656,0.53269653,0.116927327858,4.30325652414537,8.232536802815629e-11,39633011351751482,255.907052662628,36.42818617954353,2594,GALAXY,0.0860841968741968,0,3.768741967946632e-07,-3.768741967946632e-07,-0.0169811702148301,125.0,8.557097,0.054797836,5.883956,1.2455878,-16.351871,-16.662607,0.0043366902149435,0.0658535512705543,0.3107360000000021
155,ZTF18aarldnh,0.10782074,2.537e-05,z_gal,58257.43942868407,0.000301456,-0.331465331,0.0443338,0.1136617087759077,1.0423735588864578e-05,0.1572547073319985,0.032033119,9.215150895714162e-09,0.010073849,-1.72e-05,-5.14e-07,-2.87e-07,0.001054041,0.012308656,3.1,0,0.026101627,195.655415,55.9257,snia-cosmo,norm,1.0,1.0,2018lpd,100.0,195.65601543920727,55.92418474898652,0.1161077086157504,11.015,1.11069653,0.023430749028,0.8435537336595309,0.0,39633335768580547,195.65601543920727,55.92418474898652,5764607523034234880,GALAXY,0.10780528078591,0,1.5459214090005058e-05,1.5459214090005058e-05,-0.1412314249789616,187.04166,11.101916,0.12970844,10.842422,1.8172846,-20.780062,-21.712013,0.0048462559750653,0.0696150556637381,0.931950999999998
