SNID,RA,DEC,zHEL,TYPE
14451,308.195,0.9271,0.1784,None
17220,9.7015,-0.1792,0.17903,None
370428,184.375,47.5482,0.177,None
5635,333.183,-0.0349,0.17979,None
6936,323.234,-0.6998,0.18021,None
300179,351.142,0.227,0.1804,None
13045,345.025,0.5377,0.1806,None
1347120,52.8899,-28.9121,0.18,None
2372,40.5207,-0.5409,0.18047,None
1303496,53.8482,-29.5918,0.18021,None
13254,42.0587,-0.347,0.18075,None
14284,49.0493,-0.6009,0.18107,None
420159,333.685,1.2178,0.182,None
330023,35.7981,-2.7801,0.1816,None
350548,128.848,44.9136,0.18,None
360112,130.673,43.5966,0.18,None
17215,54.9264,1.0923,0.18137,None
370595,150.498,1.3251,0.18,None
15443,49.8674,-0.318,0.18191,None
1339392,54.1245,-28.5698,0.18191,None
17332,43.7735,-0.1474,0.18284,None
1580,45.3231,-0.6441,0.18293,None
15453,319.668,-1.0243,0.1837,None
17391,347.552,-0.9314,0.1849,None
17168,339.724,-1.1671,0.18519,None
20048,339.308,0.7364,0.18531,None
1296321,40.9169,-0.7619,0.18531,None
15421,33.7416,0.6025,0.18545,None
8213,357.521,-0.9214,0.18611,None
15461,326.848,-0.4947,0.18617,None
1336453,40.9697,-1.2293,0.18579,None
6422,349.139,-0.6632,0.18645,None
16281,352.942,-0.6681,0.18651,None
370563,150.952,2.646,0.184,None
15365,354.557,1.2491,0.18796,None
18807,46.6409,0.7933,0.1879,None
5994,312.603,-0.1679,0.1892,None
12927,41.7861,0.7751,0.18978,None
16100,30.4363,-1.0324,0.19,None
1273127,8.5563,-43.2759,0.19024,None
18787,29.7298,-1.0271,0.19023,None
18749,12.5473,0.6754,0.19064,None
440643,53.6036,-26.7739,0.19,None
6304,26.4976,1.196,0.19094,None
762,15.5353,-0.879,0.19138,None
20687,16.7181,1.1541,0.19154,None
2440,42.6337,0.8078,0.19114,None
16276,20.5787,1.0106,0.1952,None
2246,50.0904,-0.8856,0.1949,None
20821,55.5726,1.0631,0.1959,None
14984,313.834,-0.0928,0.1967,None
15674,340.829,0.2629,0.197,None
000236,131.58,44.0731,0.1953,None
15129,318.902,-0.3214,0.19739,None
1298893,35.724,-6.2568,0.19712,None
1334620,35.7529,-6.2642,0.1972,None
13070,357.785,-0.7463,0.19863,None
18804,25.2656,-0.4484,0.19843,None
1302058,53.3964,-29.1906,0.1983,None
15222,2.8534,0.7027,0.19943,None
1316431,42.2394,-0.4084,0.199,None
13370,27.1515,0.3282,0.1996,None
360145,163.669,59.019,0.198,None
19658,8.9032,-0.2327,0.2,None
18768,17.2167,1.1979,0.2002,None
110460,53.8448,-27.8403,0.2,None
