SNID,RA,DEC,zHEL,TYPE
13830,351.562,-0.3823,0.33147,None
120369,150.995,2.2624,0.329,None
1338675,36.7437,-4.9677,0.33153,None
4241,12.2377,-0.9057,0.332,None
480184,129.736,43.3139,0.33,None
370394,132.379,45.0022,0.33,None
03D1fc,36.4316,-4.1441,0.332,None
580235,150.235,2.5796,0.33,None
20106,346.554,0.329,0.333,None
370344,150.174,1.8316,0.33,None
470041,131.337,44.7548,0.331,None
1306141,54.8978,-28.9108,0.33286,None
130862,184.002,47.9204,0.332,None
1309492,53.3008,-28.0249,0.33403,None
1346956,54.3435,-28.8264,0.334,None
16093,350.362,1.1325,0.33603,None
500511,184.696,47.6473,0.334,None
1346966,55.3407,-29.1493,0.33558,None
1314897,36.6066,-4.1552,0.33769,None
470015,54.1486,-28.6251,0.338,None
040782,242.077,54.9081,0.3373,None
04D3kr,214.15,52.4789,0.337,None
1300912,52.0379,-27.5329,0.33834,None
380318,150.413,3.2498,0.3367,None
580276,53.5214,-28.8077,0.339,None
1343337,54.5592,-28.7099,0.33947,None
04D3nh,215.611,52.3334,0.34,None
320258,34.748,-4.8807,0.342,None
2533,31.2207,-0.3265,0.3422,None
1336009,8.9162,-44.8937,0.3427,None
1346387,52.695,-28.6493,0.345,None
350606,54.2033,-26.7605,0.345,None
1329312,36.2633,-5.5418,0.34586,None
470110,52.0706,-28.6233,0.346,None
03D1bp,36.6572,-4.8388,0.347,None
310090,351.308,-0.6051,0.3485,None
050301,244.724,55.7829,0.347,None
330089,36.1903,-4.8221,0.3498,None
160198,242.905,53.9703,0.3489,None
1258906,10.262,-44.3941,0.35013,None
070955,241.475,55.1978,0.3491,None
380279,149.827,2.9349,0.3479,None
04D2mc,150.148,1.7842,0.348,None
05D2ie,150.262,2.6581,0.348,None
440185,54.3495,-28.44,0.35,None
20186,357.295,0.7979,0.3512,None
000196,150.115,2.694,0.3491,None
050296,243.451,55.6085,0.3508,None
05D2hc,150.019,1.886,0.35,None
120400,149.628,2.8718,0.35,None
160197,241.617,53.8718,0.3535,None
1688,321.358,0.3245,0.35916,None
1334423,42.2137,-0.1522,0.35888,None
04D3fk,214.609,52.5285,0.3578,None
04D2fs,150.092,1.7654,0.357,None
1280217,40.8943,-1.5184,0.36,None
160070,243.192,54.8737,0.3589,None
1307830,53.2945,-27.9578,0.36,None
050293,244.449,55.3023,0.36,None
160126,163.283,57.2013,0.3595,None
470244,130.408,43.7715,0.36,None
420417,333.495,-0.1916,0.363,None
1294014,42.8035,-0.6691,0.36367,None
1346137,53.2592,-26.8541,0.36379,None
560121,36.3388,-4.3953,0.366,None
100358,352.444,0.5905,0.3678,None
190209,333.082,1.0359,0.3681,None
1308582,37.1372,-4.3728,0.36812,None
350083,130.138,44.3739,0.367,None
04D1hd,36.5368,-4.1096,0.369,None
1343533,7.3584,-42.2673,0.36947,None
1283936,8.8776,-44.3713,0.3696,None
15704,40.2107,0.6588,0.37055,None
18091,23.3675,0.5247,0.37114,None
510578,241.233,53.9121,0.37,None
04D2cf,150.484,1.8795,0.369,None
05D4bm,334.269,-17.6776,0.372,None
13136,6.1407,-0.2791,0.37206,None
05D3jr,214.87,52.8648,0.37,None
390471,214.52,53.014,0.37,None
320469,34.4183,-4.8371,0.372,None
1291957,7.2,-43.5623,0.37244,None
000199,151.231,2.5909,0.37,None
16232,17.2054,-0.9896,0.37573,None
1299643,55.1026,-26.7221,0.37727,None
1282736,35.8093,-6.2681,0.37908,None
590031,149.073,2.0023,0.377,None
7779,310.08,-0.0072,0.3812,None
320099,36.0675,-3.916,0.381,None
500057,214.473,53.8417,0.38,None
110425,132.012,44.4493,0.38,None
1299785,53.9115,-28.3193,0.38182,None
000011,149.976,2.4119,0.38,None
040150,162.098,57.1482,0.381,None
580275,54.1391,-28.6139,0.383,None
1343401,34.5721,-5.6549,0.38397,None
1281886,41.7252,-1.0099,0.38493,None
360139,185.739,47.5675,0.385,None
1338170,6.6699,-42.9641,0.3878,None
550218,332.927,0.9013,0.389,None
050251,214.327,53.9783,0.3872,None
420352,35.1822,-3.9625,0.39,None
1290779,54.7233,-27.9051,0.39,None
120086,150.789,2.1434,0.391,None
1291794,55.1693,-28.7119,0.3956,None
1296273,41.0798,-0.4504,0.398,None
1333438,52.3525,-28.9967,0.4,None
05D4ff,334.084,-18.0426,0.402,None
110734,131.069,45.3442,0.4013,None
580312,35.2534,-4.8171,0.404,None
1329615,35.4427,-5.6398,0.40474,None
06D3ed,214.699,52.7566,0.404,None
350050,161.08,58.0762,0.404,None
05D4dt,333.608,-17.6711,0.407,None
1308314,53.4156,-28.9407,0.407,None
1341370,8.9639,-44.6767,0.41,None
1306390,43.3164,-0.0301,0.41009,None
450339,36.2874,-3.3534,0.4104,None
06D4cq,334.231,-17.712,0.411,None
020090,212.879,53.5796,0.4094,None
1307277,41.7388,-0.2355,0.41216,None
530251,334.634,1.1149,0.413,None
520071,215.504,53.6193,0.411,None
1315296,40.3016,-0.7644,0.41363,None
04D2fp,149.867,2.321,0.415,None
440162,353.266,-0.9127,0.421,None
550137,334.754,0.0297,0.421,None
1289600,52.0477,-27.8629,0.42019,None
05D3cf,214.223,52.3451,0.419,None
1340454,54.7539,-27.8432,0.42047,None
550202,351.8,-0.7829,0.422,None
1306626,54.8773,-27.239,0.4214,None
110430,132.249,44.8657,0.42,None
1306991,8.4681,-42.0948,0.42306,None
04D4gg,334.039,-17.2944,0.424,None
1345594,33.8987,-5.5998,0.4236,None
490037,149.957,0.8166,0.4219,None
160200,242.608,54.1496,0.4234,None
1302523,36.3176,-4.6598,0.42505,None
1312274,42.611,-0.3617,0.42551,None
1295027,35.4327,-6.9406,0.42676,None
1258940,42.7148,-0.5251,0.42694,None
050003,242.219,55.0048,0.4268,None
110542,131.82,45.2976,0.4261,None
110719,129.923,43.9644,0.427,None
05D2cb,149.852,2.3282,0.427,None
440236,37.1019,-4.4246,0.43,None
1306029,40.8416,-1.9578,0.43,None
100101,132.141,43.9852,0.4288,None
080723,34.9864,-3.9606,0.4313,None
06D4co,333.861,-17.8692,0.437,None
000142,162.309,58.4672,0.436,None
