SNID,RA,DEC,zHEL,TYPE
1283878,37.1332,-4.0413,0.3139,None
1341894,35.3025,-4.6502,0.31401,None
19632,40.2865,0.1444,0.31475,None
530112,333.569,0.9209,0.316,None
15383,34.1495,-0.1552,0.31606,None
6649,34.2759,0.5348,0.3162,None
110716,128.986,43.4945,0.315,None
15776,32.8294,-0.9983,0.31696,None
6100,333.483,1.0865,0.3177,None
100163,35.4423,-5.1516,0.3188,None
1345553,35.3447,-4.668,0.31902,None
080646,334.622,0.9415,0.3197,None
550059,351.303,-1.0245,0.32,None
310188,35.2776,-4.5196,0.32,None
440509,34.8496,-5.4304,0.32,None
170078,186.183,47.6681,0.32,None
330128,36.8228,-3.8213,0.322,None
1266657,43.2731,0.5575,0.322,None
120085,150.471,2.0426,0.3206,None
580104,36.1196,-4.9673,0.3232,None
1261579,36.1196,-4.9673,0.3232,None
7475,4.7535,-0.2815,0.3242,None
05D2ab,150.462,2.1063,0.323,None
050291,244.566,55.3847,0.3253,None
500301,215.548,52.6318,0.325,None
18617,345.762,0.8492,0.32732,None
1305626,35.6546,-4.1333,0.3268,None
1308326,42.2701,0.5823,0.32717,None
14456,343.551,1.0507,0.32956,None
050303,241.437,56.0744,0.3282,None
530219,351.529,-0.3194,0.33,None
430003,333.38,-0.4529,0.33,None
1337687,55.0471,-26.9756,0.32917,None
1306073,36.8506,-3.7494,0.32964,None
6924,358.969,0.877,0.3302,None
1316465,52.7975,-27.9593,0.32961,None
13934,342.111,-0.4353,0.33093,None
540163,36.0723,-3.3093,0.3305,None
1301933,36.6637,-4.9708,0.33065,None
