sn_name,host_name,scope,survey,band,flux,flux_error,magnitude,magnitude_error,is_validated
2004ef,2004ef,global,2MASS,H,33704.66960981181,1087.9307549543419,11.213174814195252,0.03504459276200939,False
2004ef,2004ef,global,2MASS,J,27792.190001027186,845.0100460610419,11.895293074592432,0.03301025960798935,True
2004ef,2004ef,global,2MASS,K,24786.88183296343,1702.0422905299995,11.076645259110377,0.0745518265379769,True
2004ef,2004ef,global,DES,Y,,,,,
2004ef,2004ef,global,DES,g,6761.029050324431,5.271517555826078,14.324967995033061,0.0008465111697879391,False
2004ef,2004ef,global,DES,i,,,,,
2004ef,2004ef,global,DES,r,13095.825780914398,13.377083227880162,13.607167777883612,0.0011090174459770044,False
2004ef,2004ef,global,DES,z,21612.313958029543,32.40344121465307,13.063246830431423,0.0016277949781346012,False
2004ef,2004ef,global,GALEX,FUV,351.17662319549703,15.204794587451612,17.536186003804794,0.04700724476869988,False
2004ef,2004ef,global,GALEX,NUV,406.71264286157,4.253976603422342,17.3767808178226,0.01135578762892704,False
2004ef,2004ef,global,PanSTARRS,g,6428.20137012151,8.977126798302985,14.37977631741844,0.0015162043009759225,False
2004ef,2004ef,global,PanSTARRS,i,15999.057155281194,12.118248091186809,13.389764025285778,0.0008223473311524825,False
2004ef,2004ef,global,PanSTARRS,r,11572.33784517503,11.419210314102989,13.741447239894761,0.0010713337964973748,False
2004ef,2004ef,global,PanSTARRS,y,21312.464520247333,63.384587686869146,13.078415816627615,0.003228938951957266,False
2004ef,2004ef,global,PanSTARRS,z,18919.15467061909,27.559387293794966,13.20774568068217,0.001581530850917986,False
2004ef,2004ef,global,SDSS,g,5762.3136565290915,22.924636383511377,14.498507764309284,0.004319320190662836,False
2004ef,2004ef,global,SDSS,i,15315.494426524216,44.836471002325496,13.437172446009804,0.0031784123457953735,False
2004ef,2004ef,global,SDSS,r,11039.106640859949,33.43888867002659,13.792665178075808,0.0032887263988075526,False
2004ef,2004ef,global,SDSS,u,853.5354154777516,29.391402123996407,16.571946135326066,0.03738596513673858,True
2004ef,2004ef,global,SDSS,z,18715.962684894926,116.20973936782202,13.219469573393003,0.006741246290978738,True
2004ef,2004ef,global,WISE,W1,15500.435811261541,116.11832909084148,10.725140227515361,0.00813329840715402,True
2004ef,2004ef,global,WISE,W2,8036.379021378475,165.34923508150226,10.798348971804417,0.022338377029060795,False
2004ef,2004ef,global,WISE,W3,18460.171690245486,811.725925397824,8.060410660255293,0.04774012138089156,False
2004ef,2004ef,global,WISE,W4,14281.597745977802,2633.0500790512297,6.89305800845742,0.20016685259399852,False
2004ef,2004ef,local,2MASS,H,593.734367144609,96.26393873523152,15.598419530163845,0.17602780648772126,True
2004ef,2004ef,local,2MASS,J,503.94834086101116,74.67168403142915,16.249134950696057,0.1608717417630749,True
2004ef,2004ef,local,2MASS,K,366.9818265372952,149.99879717485777,15.650588605241667,0.4437650104621537,True
2004ef,2004ef,local,DES,Y,,,,,
2004ef,2004ef,local,DES,g,102.14850683011849,0.5858827984158991,18.876919943361496,0.006227139034915287,True
2004ef,2004ef,local,DES,i,,,,,
2004ef,2004ef,local,DES,r,209.84181827971454,1.5764436746613546,18.095269898097424,0.008156357544035294,True
2004ef,2004ef,local,DES,z,361.72261977909847,4.04693974900769,17.50406083109509,0.012146772817748832,True
2004ef,2004ef,local,GALEX,FUV,2.335172831443724,1.292275456128727,22.9792024269689,0.6008221078229733,False
2004ef,2004ef,local,GALEX,NUV,4.497313745290325,0.40483483218930766,22.267617034418294,0.09773149088569037,False
2004ef,2004ef,local,PanSTARRS,g,97.22101736402877,0.835282308669965,18.930599596467,0.00932788019618602,True
2004ef,2004ef,local,PanSTARRS,i,266.1874566877798,1.1348919875497383,17.837031033119064,0.004628889152834816,True
2004ef,2004ef,local,PanSTARRS,r,190.1279919586848,1.0721067592074722,18.202384846470665,0.006122119612584397,True
2004ef,2004ef,local,PanSTARRS,y,388.32516901890074,6.001990810692782,17.42701115013642,0.016780682641902068,True
2004ef,2004ef,local,PanSTARRS,z,321.0903690205836,2.5920531036466357,17.633431801826067,0.00876448603305429,True
2004ef,2004ef,local,SDSS,g,88.47889754557397,2.669307983947151,19.032900743377617,0.03275433757160771,True
2004ef,2004ef,local,SDSS,i,258.1811210123663,5.072861007660366,17.870188794599976,0.021332331250328167,True
2004ef,2004ef,local,SDSS,r,182.86049876832922,3.921303345138574,18.244700249973874,0.023282004973696972,True
2004ef,2004ef,local,SDSS,u,20.872923199669078,2.825896150047631,20.601041812101045,0.14698829774620908,True
2004ef,2004ef,local,SDSS,z,329.57255789148707,11.138491801139725,17.605122393320677,0.03669316591728819,True
2004ef,2004ef,local,WISE,W1,23.639884776216164,4.263168350484064,17.766886611479435,0.19579291193404022,False
2004ef,2004ef,local,WISE,W2,12.430960902231401,6.816655144920318,17.824738248708172,0.5953556244804465,False
2004ef,2004ef,local,WISE,W3,-8.51384904282827,28.48127352396967,,,False
2004ef,2004ef,local,WISE,W4,4.5729848144661664,51.2706047887877,15.62950060195202,12.172464566927472,False
2011fe,2011fe,global,2MASS,H,-41.61415716442328,134.8652356008286,,,True
2011fe,2011fe,global,2MASS,J,79.74705445741536,84.46478374022028,18.25081337276207,1.1499285626370872,True
2011fe,2011fe,global,2MASS,K,-31.97239152626089,146.55964975762552,,,True
2011fe,2011fe,global,DES,Y,,,,,
