transient_name,transient_spectroscopic_class,transient_photometric_class,transient_ra_deg,transient_dec_deg,transient_redshift,transient_processing_status,host_name,host_ra_deg,host_dec_deg,host_redshift,host_EBV_MW,local_log_mass_50,local_log_sfr_50,local_log_ssfr_50,local_log_age_50,local_mass_surviving_ratio,global_log_mass_50,global_log_sfr_50,global_log_ssfr_50,global_log_age_50,global_mass_surviving_ratio
2004ef,SN Ia,,340.54174583333327,19.994555555555557,0.03002,,2004ef,340.54385948,19.9969434,0.030988,0.04736369989812374,9.222703316866134,-1.142086258466557,-10.36921739121696,7.884289152714538,0.5738302241278326,10.949362946858795,-0.09614224241865149,-11.008361250615602,8.004164833176926,0.5812202351785152
2018gv,Ia,,121.39420833333334,-11.437861111111111,0.00527,,2018gv,121.4083,-11.427,0.00527,0.0499311912804842,8.457112058220982,-0.7659683663230099,-9.192190138203234,6.121817030653438,0.6454030932745032,9.604148924470687,-0.9337011359590897,-10.543634165614304,9.103129373228263,0.5641726973146257
2011fe,Ia,,210.7741667,54.27369444,0.008406591093,,2011fe,210.77531071,54.27578815,,0.007580160591751337,7.02760380445341,-1.2371411808886281,-8.107069142969165,2.3810333130194836,0.7264823091954358,,,,,
2014J,Ia,,148.92558,69.673889,0.001159556994,,2014J,148.9694963,69.67958674,,0.13448579847812653,9.850763925915858,0.646874722643664,-9.199684851386559,6.7091173380961076,0.6209061007551656,10.269167421382017,0.5394171657420631,-9.71664067811417,6.9548386145255074,0.6011030480239274
