CID,IDSURVEY,zHD,zHDERR,zCMB,zCMBERR,zHEL,zHELERR,m_b_corr,m_b_corr_err_DIAG,MU_SH0ES,MU_SH0ES_ERR_DIAG,CEPH_DIST,IS_CALIBRATOR,USED_IN_SH0ES_HF,c,cERR,x1,x1ERR,mB,mBERR,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,RA,DEC,HOST_RA,HOST_DEC,HOST_ANGSEP,VPEC,VPECERR,MWEBV,HOST_LOGMASS,HOST_LOGMASS_ERR,PKMJD,PKMJDERR,NDOF,FITCHI2,FITPROB,m_b_corr_err_RAW,m_b_corr_err_VPEC,biasCor_m_b,biasCorErr_m_b,biasCor_m_b_COVSCALE,biasCor_m_b_COVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
AT2016cyt,150,0.03059,0.00086,0.02965,9e-05,0.03074,9e-05,16.1056,0.162287,35.3586,0.164518,-9.0,0,0,-0.09905,0.034635,-1.7723,0.08762,16.1442,0.05908,0.00625641,0.000340441,5.53991e-05,-4.18032e-06,-9.19528e-06,317.399,15.1255,-999,-999,-9.0,-274.78,250,0.0716183,10.685,0.001,57580.5,0.1242,26,36.853,0.077061,0.0737,0.062,0.031,0.001,1.0,0.002,SN Ia,,AT2016cyt,317.40113927,15.12496282,0.030374,0.0716386167705059,9.663419754225202,-1.0557908739458732,-10.74263568839794,7.812606927186588,0.5769825387151184,11.07430317852756,-1.6190168337399518,-12.701014486442306,9.79228277072933,0.5718819692306787
2013fy,56,0.03075,0.00087,0.03099,0.00015,0.03167,0.00015,16.0992,0.342093,35.3522,0.343157,-9.0,0,0,0.027979,0.072823,0.50174,0.62502,16.0923,0.0594961,0.00656235,0.000359603,0.0101633,-0.000121902,-1.74315e-05,324.363,-47.0319,-999,-999,-9.0,71.4876,250,0.0245505,10.7658,0.0,56600.6,0.5415,6,6.92108,0.32821,0.2039,0.0624,-0.0717,0.001,1.0,0.008,Ia,,,,,,,,,,,,,,,,
ASASSN-15uw,150,0.03076,0.00087,0.03004,0.00015,0.03081,0.00015,16.3554,0.21095,35.6084,0.212671,-9.0,0,0,0.045816,0.034032,-0.702146,0.13127,16.5948,0.0396924,0.00413112,0.000151026,-0.00038119,-1.68851e-06,-4.24671e-06,38.893,-6.0629,-999,-999,-9.0,-208.768,250,0.0231664,10.3471,0.001,57393.2,0.1839,9,15.0361,0.0899494,0.0813,0.0623,-0.0582,0.001,1.0,0.01,SNIa,,ASASSN-15uw,38.89314068,-6.06388564,0.030811,0.0231628473103046,10.025103488268009,-1.3833970393744648,-11.407667747053104,7.612105280242332,0.5790777616026116,10.660166539124404,-1.3106014398278998,-11.9481955903624,10.77006104044849,0.5673324253606475
ASASSN-16hr,150,0.03083,0.00086,0.0298,1e-05,0.03086,1e-05,16.2118,0.277436,35.4648,0.278746,-9.0,0,1,0.054686,0.038983,1.05225,0.19827,16.3179,0.0799116,0.0053313,0.00039239,-0.000402036,-1.81632e-06,-1.16458e-05,336.382,38.9844,-999,-999,-9.0,-300.269,250,0.10526,9.46113,0.003,57597.1,0.033,9,7.82678,0.55169,0.0871,0.0615,0.0399,0.002,1.0,0.023,SN Ia,,ASASSN-16hr,336.3815404,38.98378365,,0.1052336034178733,9.43890974783098,-0.2107784237463814,-9.661015255790112,6.730381956924697,0.601529867074844,9.985027992461728,0.0567411551049285,-9.932981718448438,7.270507867954761,0.5872761026045293
2001ba,50,0.03096,0.00087,0.03136,0.00015,0.03022,0.00015,16.3951,0.204901,35.6481,0.206672,-9.0,0,0,-0.198625,0.04115,0.16331,0.091746,15.9327,0.0469911,0.00760176,0.000329007,-0.000737316,1.97353e-06,-9.63294e-06,174.507,-32.3308,-999,-999,-9.0,117.018,250,0.0548974,10.7576,0.28089,52034.8,0.1378,54,69.141,0.0804151,0.1033,0.062,0.1235,0.006,1.0,0.002,Ia,,2001ba,174.510017,-32.332944,,0.0548418635129928,,,,,,,,,,
2009fv,51,0.03108,0.00086,0.03072,1e-05,0.03065,1e-05,16.153,0.33102,35.406,0.332119,-9.0,0,0,0.16249,0.023124,-0.730586,0.12296,16.6725,0.0272199,0.00384593,9.64191e-05,-0.000170432,-8.43327e-07,-1.75441e-06,247.434,40.8116,-999,-999,-9.0,-103.764,250,0.00522305,11.4959,0.002,54994.6,0.2616,63,454.72,0.0,0.0579,0.061,-0.1431,0.005,1.0,0.022,Ia,,2009fv,247.4370474,40.81164266,,,,,,,,,,,,
2009fv,65,0.03108,0.00086,0.03072,1e-05,0.03065,1e-05,16.0844,0.37432,35.3374,0.375292,-9.0,0,0,0.25869,0.038898,-0.461572,0.11649,16.7939,0.0831719,0.00343913,0.000263452,0.000673398,-5.72448e-06,-3.31598e-06,247.434,40.8116,-999,-999,-9.0,-103.764,250,0.00522305,11.4959,0.838,54994.7,0.0187,15,69.3113,1.31695e-08,0.123,0.061,-0.2109,0.009,1.0,0.025,Ia,,2009fv,247.4370474,40.81164266,,,,,,,,,,,,
2008gg,51,0.03114,0.00087,0.03107,0.00015,0.03203,0.00015,16.417,0.235291,35.67,0.236835,-9.0,0,1,0.040009,0.031928,1.124,0.29643,16.3496,0.038031,0.00517779,0.000181367,-8.73066e-05,-4.27746e-06,-3.89823e-07,21.346,-18.1724,-999,-999,-9.0,-18.6955,250,0.0212022,10.9334,-9.0,54750.4,0.5095,26,23.0991,0.62733,0.1138,0.0616,-0.0777,0.002,1.0,0.009,SNIa,,2008gg,21.34047136,-18.16383331,0.032017,0.0210811260715126,,,,,,10.736226585499688,0.9605444277370474,-9.808124264089072,6.518242353552049,0.5936803960920164
2008gg,5,0.03114,0.00087,0.03107,0.00015,0.03203,0.00015,16.2879,0.182914,35.5409,0.184896,-9.0,0,1,0.033608,0.022555,0.83388,0.050831,16.2469,0.027168,0.00569157,0.000142418,-0.000344568,2.37676e-06,-2.4807e-06,21.346,-18.1724,-999,-999,-9.0,-18.6955,250,0.0212022,10.9334,0.48,54750.2,0.1752,68,98.7894,0.00871523,0.054,0.0616,-0.0743,0.001,1.0,0.009,SNIa,,2008gg,21.34047136,-18.16383331,0.032017,0.0210811260715126,,,,,,10.736226585499688,0.9605444277370474,-9.808124264089072,6.518242353552049,0.5936803960920164
1999cc,62,0.03116,0.00086,0.03132,1e-05,0.03111,1e-05,16.3347,0.166924,35.5877,0.169094,-9.0,0,1,-0.027281,0.026522,-1.60696,0.074875,16.5114,0.0311547,0.00446117,0.000128011,-0.00016901,5.05718e-07,-2.85617e-06,240.675,37.3596,-999,-999,-9.0,46.9799,250,0.0195936,11.2896,0.095,51315.9,0.1339,47,34.0611,0.92086,0.0603,0.0609,-0.0284,0.001,1.0,0.004,SN Ia,,1999cc,240.6722239,37.3569195,,,9.24092008992038,-0.6841953188870079,-9.936956946133025,8.227205538704933,0.571360083267799,,,,,
AT2017wb,150,0.03117,0.00086,0.03093,8e-05,0.03065,8e-05,16.2774,0.282294,35.5304,0.283582,-9.0,0,0,0.065589,0.033306,1.3617,0.16081,16.3747,0.0400489,0.00505953,0.000186628,-0.000166163,-5.8051e-06,-5.2309e-06,165.331,70.6649,-999,-999,-9.0,-70.0187,250,0.0212494,9.28082,0.014,57790.1,0.2213,14,23.3958,0.0541262,0.0797,0.0608,0.043,0.003,1.0,0.025,SN Ia,,AT2017wb,165.33336333,70.665277,0.017666,0.0212449610233306,9.17727787456236,-0.9072515689305328,-10.092557975564551,7.3288082582476255,0.583104851703384,9.18385989121959,-0.6493951505447076,-9.813540381584644,7.501638363237996,0.5807933188394862
MASTEROTJ08,150,0.03118,0.00087,0.03156,0.00015,0.03059,0.00015,16.4145,0.17243,35.6675,0.174531,-9.0,0,0,-0.038482,0.040854,-0.018273,0.17632,16.3293,0.0638763,0.00527579,0.000310387,-0.00113121,1.60845e-05,-1.07305e-05,128.237,-3.8579,-999,-999,-9.0,111.161,250,0.0313373,10.638,0.1,57803.9,0.8505,3,6.38778,0.172,0.0844,0.0615,-0.0213,0.001,1.0,0.003,SN Ia,,MASTEROTJ08,128.23876037,-3.85819438,0.030584,0.0313311594724655,9.405403961424238,-0.8337759995213542,-10.250354851843094,7.449447815776662,0.5880089856444247,10.644080123206647,-2.008998060206053,-12.664544863576396,9.339869568415448,0.5715138623435821
2007bd,51,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.2427,0.17387,35.4957,0.175954,-9.0,0,1,-0.056702,0.033189,-1.2054,0.22471,16.2903,0.0415602,0.0054687,0.000209333,0.000573057,-1.63554e-05,-5.38557e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.002,54206.7,0.2262,10,2.54105,0.99026,0.0848,0.0615,-0.0073,0.001,1.0,0.003,SN Ia,,2007bd,127.88703461,-1.19778704,0.03044,0.0292282854765653,9.374981457184044,-0.6291882912244512,-9.992559276861494,6.805209992604617,0.5849623830064412,11.031538716517115,-0.0907778372707387,-11.12739529283531,12.250723695841014,0.5605339925041425
2007bd,5,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.3263,0.146208,35.5793,0.14868,-9.0,0,1,-0.102398,0.023026,-1.07849,0.038739,16.2545,0.0285756,0.00565174,0.000148749,-0.0001799,3.81241e-07,-2.59892e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.16,54207.3,0.0461,40,91.8366,5.92132e-06,0.0546,0.0615,0.0334,0.001,1.0,0.003,SN Ia,,2007bd,127.88703461,-1.19778704,0.03044,0.0292282854765653,9.374981457184044,-0.6291882912244512,-9.992559276861494,6.805209992604617,0.5849623830064412,11.031538716517115,-0.0907778372707387,-11.12739529283531,12.250723695841014,0.5605339925041425
2007bd,64,0.0312,0.00087,0.03141,0.0001,0.03044,0.0001,16.2311,0.151414,35.4841,0.153803,-9.0,0,1,-0.054047,0.027002,-1.4426,0.06532,16.3202,0.0343354,0.00531998,0.000168239,-0.000161018,5.96236e-08,-3.75801e-06,127.889,-1.1994,-999,-999,-9.0,62.7014,250,0.0292147,10.4344,0.442,54206.5,0.0571,30,28.3614,0.55129,0.0604,0.0615,-0.009,0.001,1.0,0.003,SN Ia,,2007bd,127.88703461,-1.19778704,0.03044,0.0292282854765653,9.374981457184044,-0.6291882912244512,-9.992559276861494,6.805209992604617,0.5849623830064412,11.031538716517115,-0.0907778372707387,-11.12739529283531,12.250723695841014,0.5605339925041425
2006bt,57,0.03121,0.00086,0.03241,1e-05,0.03208,1e-05,16.519,0.222596,35.772,0.224228,-9.0,0,0,0.070684,0.028093,0.30314,0.12108,16.6542,0.0411002,0.00391136,0.000148063,-2.17092e-05,-1.37414e-06,-3.39191e-06,239.127,20.046,-999,-999,-9.0,349.34,250,0.0430539,10.8988,-9.0,53858.5,0.1446,55,80.9736,0.0128933,0.0622,0.0608,-0.0911,0.002,1.0,0.013,SNIa,,2006bt,239.1403094,20.05235889,0.03208175,0.0432305680960416,8.260321992792786,-0.2994414349527484,-8.521788049610452,2.0619491569952673,0.6845037144670855,11.141691092941954,-1.1964466731728698,-12.372483499159555,9.433266115871383,0.5733534110748458
2006bt,5,0.03121,0.00086,0.03241,1e-05,0.03208,1e-05,16.4898,0.225151,35.7428,0.226764,-9.0,0,0,0.083887,0.022449,0.22867,0.042043,16.6678,0.035106,0.00386256,0.000124891,-0.000260667,9.6557e-07,-2.21729e-06,239.127,20.046,-999,-999,-9.0,349.34,250,0.0430539,10.8988,0.04,53859.1,0.0614,37,396.488,0.0,0.0489,0.0608,-0.1,0.002,1.0,0.015,SNIa,,2006bt,239.1403094,20.05235889,0.03208175,0.0432305680960416,8.260321992792786,-0.2994414349527484,-8.521788049610452,2.0619491569952673,0.6845037144670855,11.141691092941954,-1.1964466731728698,-12.372483499159555,9.433266115871383,0.5733534110748458
2006bt,64,0.03121,0.00086,0.03241,1e-05,0.03208,1e-05,16.5337,0.21497,35.7867,0.216659,-9.0,0,0,0.064411,0.026739,0.18417,0.071311,16.6694,0.0395945,0.00385709,0.00014066,-0.000227852,6.06923e-07,-3.10179e-06,239.127,20.046,-999,-999,-9.0,349.34,250,0.0430539,10.8988,0.102,53858.3,0.1106,52,128.491,2.04871e-08,0.0572,0.0608,-0.0888,0.002,1.0,0.012,SNIa,,2006bt,239.1403094,20.05235889,0.03208175,0.0432305680960416,8.260321992792786,-0.2994414349527484,-8.521788049610452,2.0619491569952673,0.6845037144670855,11.141691092941954,-1.1964466731728698,-12.372483499159555,9.433266115871383,0.5733534110748458
ASASSN-15hg,150,0.03143,0.00086,0.03107,1e-05,0.02992,1e-05,16.3931,0.194347,35.6461,0.196214,-9.0,0,1,0.011862,0.035988,-1.28742,0.13594,16.6256,0.0503451,0.00401584,0.000186213,-0.000261138,-8.04685e-07,-5.0068e-06,148.452,9.1939,-999,-999,-9.0,-105.007,250,0.0420214,10.2789,0.006,57131.5,0.0208,10,11.5475,0.31648,0.0852,0.0603,-0.0466,0.001,1.0,0.006,SN Ia,,ASASSN-15hg,148.45511307,9.19379835,0.0299174,0.0418931628018617,9.1673129028024,-1.336006326578741,-10.527045228957972,8.118406066991714,0.5718923459641418,10.672158142035803,-0.8790829270588296,-11.561447896143088,9.395991121467532,0.5671511827455575
ATLAS17axb,150,0.03143,0.00087,0.03264,0.0001,0.03165,0.0001,16.3072,0.183588,35.5602,0.185563,-9.0,0,1,-0.102111,0.038173,-0.127194,0.14813,16.1111,0.0717496,0.00645015,0.00042625,-0.000343842,-3.08602e-06,-1.26911e-05,205.847,-19.9437,-999,-999,-9.0,351.466,250,0.0940993,9.60754,0.002,57796.7,0.2355,6,14.6283,0.0233537,0.0826,0.061,0.0485,0.001,1.0,0.005,SN Ia,,ATLAS17axb,205.84598635,-19.94372177,,0.0940343710780143,9.34284290709838,-1.2007192756583804,-10.565284991625678,7.880353602343746,0.5819913357470514,10.231832039331248,0.4767384096660595,-9.7655351821015,8.31426409898266,0.5785411685917775
