ZTF_Unnamed: 0,ztfname,ZTF_redshift,ZTF_redshift_err,ZTF_source,ZTF_t0,ZTF_x0,ZTF_x1,ZTF_c,ZTF_t0_err,ZTF_x0_err,ZTF_x1_err,ZTF_c_err,ZTF_cov_t0_x0,ZTF_cov_t0_x1,ZTF_cov_t0_c,ZTF_cov_x0_x1,ZTF_cov_x0_c,ZTF_cov_x1_c,ZTF_mwebv,ZTF_mwr_v,ZTF_mwebv_err,ZTF_fitprob,ZTF_ra,ZTF_dec,ZTF_sn_type,ZTF_sub_type,ZTF_lccoverage_flag,ZTF_fitquality_flag,ZTF_iau_name,ZTF_frac_fitted,ZTF_ra_host_global,ZTF_dec_host_global,ZTF_mass_global,ZTF_mass_err_global,ZTF_restframe_gz_global,ZTF_restframe_gz_err_global,ZTF_d_dlr_global,ZTF_mass_local,ZTF_mass_err_local,ZTF_restframe_gz_local,ZTF_restframe_gz_err_local,ZTF_DESI_METADATA_ang_sep_arcsec,DESI_METADATA_TARGETID,DESI_METADATA_LS_ID,DESI_METADATA_SPECTYPE,DESI_METADATA_RA,DESI_METADATA_DEC,DESI_METADATA_DESI_TARGET,DESI_METADATA_Z,DESI_METADATA_ZWARN,DESI_METADATA_SURVEY
69,ZTF18aaizerg,0.06846052,1.46e-05,z_gal,58852.80832,0.000678003,-1.206520734,0.073268074,0.1647405230287404,2.136896049855907e-05,0.08352567,0.027232065,-1.75e-07,-0.006873464,-0.000234735,-1.41e-07,-4.99e-07,-3.7e-06,0.022999586,3.1,0,0.039520035,219.698213,50.102776,snia-cosmo,norm,1.0,1.0,2019zbj,100.0,219.6979121049117,50.10300692846833,10.287,0.1033247308247159,1.08669653,0.017691806013,0.2287816972484202,9.781,0.025,1.20069653,0.017691806013,6.562782258685644e-11,39633248493504248,9907737580734200,b'GALAXY',219.69791210491172,50.10300692846833,5764607523034234880,0.06845976220551232,0,b'main'
70,ZTF18aajivpr,0.05145185,1.194e-05,z_gal,58954.45430807741,0.000537102,-0.677752074,0.3725231920964031,0.1753034430730622,1.951605329642307e-05,0.1022954022933377,0.031102356,-7.74e-07,-0.005164897,0.000852753,-2.13e-07,-5.33e-07,-2.46e-05,0.019188716,3.1,0,0.3844181367485987,179.195463,52.483881,snia-cosmo,norm,1.0,1.0,2020gaa,100.0,179.19660937682048,52.48433729910774,10.204,0.1226417547167358,1.08269653,0.017691806013,0.4544929049509811,9.383,0.041,1.09069653,0.027586228448,0.0,39633286003163309,9907738166821037,b'GALAXY',179.19660937682048,52.48433729910774,5764607523034234880,0.05144813577949185,0,b'main'
74,ZTF18aajsbbq,0.08601782,2.598e-05,z_gal,58236.25056783791,0.000621279,0.4754945922190607,0.053516504,0.076820145,1.8596840949954973e-05,0.093590329,0.028593238,1.2795286008372804e-07,-0.00243154,-2.06e-05,-1.06e-07,-4.39e-07,-0.000426364,0.023105261,3.1,0,1.0818692299022763e-27,258.763626,34.828045,snia-cosmo,91t,1.0,0.0,,100.0,258.76364745208747,34.82803238676626,10.136,0.1030776406404415,1.02369653,0.019209372712,0.0266432538343455,9.84,0.018,1.04169653,0.019104973175,0.0,39632976966846811,9907733338130779,b'GALAXY',258.76364745208747,34.82803238676626,1152921504606846976,0.08601799595982212,0,b'main'
86,ZTF18aaksugk,0.05984633,1.037e-05,z_gal,58172.120568564125,0.001691676,4.999999425,-0.128166853,3.1441322642458545,0.000415839,8.307143415455226,0.1612066097056723,-0.001309404,0.000231955,0.3326929080286234,2.051918604269412e-09,-5.01e-05,-9.06e-06,0.023320376,3.1,0,0.9593376947525926,207.094954,14.879484,snia,,0.0,0.0,2018adj,100.0,207.09546388551576,14.878930246904048,9.081,0.1030776406404415,0.71869653,0.028301943396,0.8600558395131552,8.333,0.034,0.76869653,0.045793012567,0.0,39628146764418432,9906627074067840,b'GALAXY',207.09546388551576,14.878930246904048,1152921504606846976,0.05984707689430337,0,b'main'
90,ZTF18aamigmk,0.02229592,1.262e-05,z_gal,58244.100764449344,0.011164025,0.7323532744754204,-0.111544771,0.037860852,0.000334058,0.038380227,0.027136464,3.3042552614809352e-06,-5.46e-05,-0.0003312,1.2573969010558674e-06,-7.81e-06,-0.000256734,0.036154599,3.1,0,0.9709248611381156,269.417711,50.03859,snia-cosmo,norm,1.0,1.0,2018aye,100.0,269.41898233733605,50.03346204424288,9.26,0.1023914058893616,0.69369653,0.022203603311,1.0429633926899886,7.246,0.096,0.65669653,0.183918460194,3.4349990559805986e-11,39633249030378002,9907737589125650,b'GALAXY',269.41898233733605,50.033462044242874,5764607523034234880,0.02229596160557527,0,b'main'
92,ZTF18aamlqqh,0.05718284,2.111e-05,z_gal,58242.68518283112,0.001289689,-1.372103544,-0.057531725,0.091401792,4.074394964170163e-05,0.093733999,0.029672779,1.276668704662323e-07,0.000801879,-0.000388953,-5.97e-07,-9.89e-07,-0.000232412,0.029255643,3.1,0,0.9573062011652238,266.986078,34.932642,snia-cosmo,norm,1.0,1.0,2018bcz,100.0,266.986006797673,34.93271932830423,9.1,0.1080786750473931,0.47169653,0.026076809621,0.1048138714813445,8.81,0.048,0.86669653,0.034058772732,0.0,39632982041955466,9907733417430154,b'GALAXY',266.986006797673,34.93271932830423,5764607523034234880,0.057181656143931746,0,b'main'
94,ZTF18aandjhu,0.02567349,1.115e-05,z_gal,58623.006813025706,0.003454981,-1.151421414,0.3401875763138625,0.1077530751681479,0.000148144,0.1550192372581527,0.035479476,3.77829183839478e-06,-0.007312513,-0.000721513,-1.19e-05,-4.71e-06,0.001996431,0.061382289,3.1,0,0.000617528,263.526711,25.344095,snia-cosmo,norm,1.0,1.0,2019gcc,100.0,263.526819932681,25.3439703431618,11.069,0.1720465053408525,1.39969653,0.017691806013,0.0446549894174323,10.739,0.06,1.35169653,0.018439088915,0.23656930276296348,2843119150170117,9906630721016121,b'GALAXY',263.52674732369354,25.343966848137402,4611686018427387904,0.025671011000211092,0,b'main'
95,ZTF18aangpkx,0.07000448,1.504e-05,z_gal,58981.91109258661,0.000787031,-2.018797821,-0.017701057,0.067591432,2.4064848806294584e-05,0.084433745,0.027973613,-5.96e-08,0.000429447,2.457031448492097e-05,-2.55e-07,-5.74e-07,0.000104916,0.019963245,3.1,0,0.014280293,255.339058,32.785825,snia,,1.0,1.0,2020jbl,100.0,255.33879371250288,32.785592599030245,10.846,0.1464547711752676,1.30469653,0.018439088915,0.1565188478663892,10.411,0.126,1.34569653,0.018384776311,0.0,39632936680554869,9907732708655477,b'GALAXY',255.33879371250288,32.785592599030245,5764607523034234880,0.06999552901519893,0,b'main'
97,ZTF18aanygjk,0.06180617,1.349e-05,z_gal,58652.93163705723,0.001404977,0.7993006161741982,0.013729996,0.058166647,4.25461133984037e-05,0.076688543,0.027408719,1.6422299939023917e-07,0.00024552,-0.000104731,-4.43e-07,-1e-06,6.17362360704288e-05,0.029561967,3.1,0,6.7873667915208295e-06,273.063952,56.619776,snia-cosmo,norm,1.0,1.0,2019haw,100.0,273.0636098021655,56.62001818856893,10.843,0.1203702621082134,1.15669653,0.017029386366,0.1615300101581802,10.343,0.047,1.10769653,0.016970562748,0.0,39633343226054145,9907739060930049,b'GALAXY',273.0636098021655,56.62001818856893,5764607523034234880,0.061804971615633454,0,b'main'
100,ZTF18aaobjwr,0.11038691,2.816e-05,z_gal,58236.18836638301,0.000244664,-2.011303058,-0.075619705,0.2056664105366508,1.0248506292672528e-05,0.2760527626222016,0.039586642,-5.75e-07,0.002029624,0.001157062,-1.1e-06,-3.19e-07,0.000903837,0.015558706,3.1,0,0.028544286,174.146216,34.589456,snia-cosmo,norm,1.0,1.0,,98.79518072289156,174.14519783444467,34.589449698793885,10.634,0.1198165264060012,1.37969653,0.028653097564,0.5231134783081158,9.296,0.064,1.48569653,0.104623133197,0.0,39632970813803077,9907733241989701,b'GALAXY',174.14519783444467,34.589449698793885,5764607523034234880,0.11038017630141264,0,b'main'
106,ZTF18aaommeg,0.11006606,3.454e-05,z_gal,58246.94116709788,0.000360338,1.0092778014410284,0.042740845,0.2168229626768152,1.1496013602736287e-05,0.1305684490880286,0.03169832,-2.59e-07,-0.01277907,0.000362167,-4.12e-08,-2.99e-07,-0.000821745,0.029914748,3.1,0,0.1500615826931261,254.714877,30.184943,snia-cosmo,91t,1.0,1.0,,100.0,254.714788589854,30.1852124220346,9.947,0.1386217876093076,1.39869653,0.036619666847,0.4425544705336694,9.742,0.069,1.46869653,0.074323616704,0.24519374836395938,39628487044107823,9906632390938159,b'GALAXY',254.71477659855486,30.18514510601365,5764607523034234880,0.11005964814254739,0,b'main'
108,ZTF18aaoufjt,0.02983007,1.097e-05,z_gal,58636.56445397208,0.000456535,1.160252848329491,0.7339740375574045,0.1543407432181993,1.5321293405049684e-05,0.145090175,0.02940539,-1.8e-07,-0.00137968,0.000167007,-3.54e-08,-3.99e-07,-0.000159215,0.015648105,3.1,0,0.9096677003453228,215.321789,35.508844,snia-cosmo,99aa,1.0,1.0,2019fyi,100.0,215.3224707102314,35.50939535033654,9.882,0.1069766329625306,0.92369653,0.020615528128,0.3795127493702664,9.466,0.04,0.98769653,0.018439088915,0.0,39632991214896898,9907733560755970,b'GALAXY',215.3224707102314,35.50939535033654,5764607523034234880,0.029828678277900398,0,b'main'
113,ZTF18aapqwyv,0.05600965,2.234e-05,z_gal,58244.195739801886,0.000695546,-1.842506567,0.096944596,0.088507171,2.237334346909156e-05,0.07025971,0.029960464,-2.48e-08,0.000659408,-0.000282243,-1.98e-07,-5.65e-07,-9.23e-05,0.03943227,3.1,0,1.927297067660621e-12,251.605415,25.42149,snia-cosmo,norm,1.0,0.0,2018bhc,99.32432432432432,251.6054197208668,25.42148755947841,10.052,0.1171366723105962,1.17769653,0.017691806013,0.0046165966225918,9.739,0.03,1.13869653,0.018384776311,9.311777536835428e-11,39628385449679574,9906630803528406,b'GALAXY',251.60541972086682,25.421487559478415,1152921504606846976,0.056007944498692744,0,b'main'
