ztf_ztfname,ztf_redshift,ztf_redshift_err,ztf_source,ztf_t0,ztf_x0,ztf_x1,ztf_c,ztf_t0_err,ztf_x0_err,ztf_x1_err,ztf_c_err,ztf_cov_t0_x0,ztf_cov_t0_x1,ztf_cov_t0_c,ztf_cov_x0_x1,ztf_cov_x0_c,ztf_cov_x1_c,ztf_mwebv,ztf_mwr_v,ztf_mwebv_err,ztf_fitprob,ztf_ra,ztf_dec,ztf_sn_type,ztf_sub_type,ztf_lccoverage_flag,ztf_fitquality_flag,ztf_iau_name,ztf_frac_fitted,mosthost_sn_name_sp,mosthost_hostnum,mosthost_ra,mosthost_dec,mosthost_origin,mosthost_sn_type,mosthost_sn_z,mosthost_sn_ra,mosthost_sn_dec,mosthost_sn_name,mosthost_sn_name_ptf,mosthost_sn_name_iau,mosthost_sn_name_tns,mosthost_program,mosthost_ls_id_dr9,mosthost_dec_dr9,mosthost_ra_dr9,mosthost_ref_id_dr9,mosthost_brickid_dr9,mosthost_ref_cat_dr9,mosthost_type_dr9,mosthost_dist_arcsec_dr9,mosthost_sep_in_radius_dr9,mosthost_sep_in_radius_sigma_dr9,mosthost_fiberflux_g_dr9,mosthost_fiberflux_r_dr9,mosthost_fiberflux_z_dr9,mosthost_fibertotflux_g_dr9,mosthost_fibertotflux_r_dr9,mosthost_fibertotflux_z_dr9,mosthost_dchisq_1_dr9,mosthost_dchisq_2_dr9,mosthost_dchisq_3_dr9,mosthost_dchisq_4_dr9,mosthost_dchisq_5_dr9,mosthost_ra_ivar_dr9,mosthost_dec_ivar_dr9,mosthost_dered_flux_g_dr9,mosthost_dered_flux_r_dr9,mosthost_dered_flux_w1_dr9,mosthost_dered_flux_w2_dr9,mosthost_dered_flux_w3_dr9,mosthost_dered_flux_w4_dr9,mosthost_dered_flux_z_dr9,mosthost_flux_ivar_g_dr9,mosthost_flux_ivar_r_dr9,mosthost_flux_ivar_w1_dr9,mosthost_flux_ivar_w2_dr9,mosthost_flux_ivar_w3_dr9,mosthost_flux_ivar_w4_dr9,mosthost_flux_ivar_z_dr9,mosthost_fracflux_g_dr9,mosthost_fracflux_r_dr9,mosthost_fracflux_w1_dr9,mosthost_fracflux_w2_dr9,mosthost_fracflux_w3_dr9,mosthost_fracflux_w4_dr9,mosthost_fracflux_z_dr9,mosthost_fracin_g_dr9,mosthost_fracin_r_dr9,mosthost_fracin_z_dr9,mosthost_fracmasked_g_dr9,mosthost_fracmasked_r_dr9,mosthost_fracmasked_z_dr9,mosthost_sga_id_sga,mosthost_sga_galaxy_sga,mosthost_galaxy_sga,mosthost_ra_sga,mosthost_dec_sga,mosthost_ra_leda_sga,mosthost_dec_leda_sga,mosthost_morphtype_sga,mosthost_pa_leda_sga,mosthost_d25_leda_sga,mosthost_ba_leda_sga,mosthost_z_leda_sga,mosthost_ref_sga,mosthost_group_id_sga,mosthost_group_name_sga,mosthost_group_ra_sga,mosthost_group_dec_sga,mosthost_group_diameter_sga,mosthost_d26_sga,mosthost_d26_ref_sga
ZTF18aaadqua,0.07867182,0.00280713,z_snid,58130.778798013016,0.00084501,4.999998733105365,-0.392734349,14.743977162303054,0.000103103,5.314307148,1.1361246203915862,-0.001295638,0.013517264,-0.49995326,-6.4e-08,-9.8e-05,4.774349098131618e-05,0.041783529,3.1,0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0,ZTF18aaadqua,0,26.79774047313712,18.79901919154003,dr9,SNIa,0.07,26.7987,18.7986,ZTF18aaadqua,,,,ZTFmarshal,9906628385508688.0,18.79901919154003,26.79774047313712,0.0,436695.0,,EXP,3.601451,6.048132,0.6012495,0.233894,0.484415,0.845191,0.233897,0.484421,0.845199,461.14264,474.87927,494.16306,499.04767,499.08807,8844755000.0,5906065400.0,0.480654,0.94981,0.598342,1.551608,-69.769646,739.6131,1.587909,798.8233,240.65198,2.985304,0.646362,0.001385,1.9e-05,78.59605,0.009385,0.01531,4.962244,1.389446,0.744553,1.972919,0.015217,0.666163,0.823969,0.988916,0.041094,0.01381,0.017632,,,,,,,,,,,,,,,,,,,,
ZTF18aaadqua,0.07867182,0.00280713,z_snid,58130.778798013016,0.00084501,4.999998733105365,-0.392734349,14.743977162303054,0.000103103,5.314307148,1.1361246203915862,-0.001295638,0.013517264,-0.49995326,-6.4e-08,-9.8e-05,4.774349098131618e-05,0.041783529,3.1,0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0,ZTF18aaadqua,1,26.78941371749904,18.799166473112887,dr9,SNIa,0.07,26.7987,18.7986,ZTF18aaadqua,,,,ZTFmarshal,9906628385508560.0,18.799166473112887,26.78941371749904,0.0,436695.0,,SER,31.712915,7.109314,0.0147086,2.062225,3.194601,4.210191,2.062225,3.194601,4.210191,42899.496,150611.78,98701.695,152073.19,152531.06,162057000000.0,225087000000.0,48.560566,71.76366,41.226643,31.56149,-90.80547,514.7335,90.61139,40.62737,11.983604,1.001037,0.254863,0.000729,1.4e-05,4.218627,0.03549,0.019195,0.135521,0.109953,1.527073,1.258758,0.008924,0.745585,0.837461,0.955935,0.065074,0.058038,0.059113,,,,,,,,,,,,,,,,,,,,
ZTF18aaadqua,0.07867182,0.00280713,z_snid,58130.778798013016,0.00084501,4.999998733105365,-0.392734349,14.743977162303054,0.000103103,5.314307148,1.1361246203915862,-0.001295638,0.013517264,-0.49995326,-6.4e-08,-9.8e-05,4.774349098131618e-05,0.041783529,3.1,0,0.1279720412316219,26.798708,18.798611,snia-pec,03fg,0.0,0.0,2018lq,100.0,ZTF18aaadqua,2,26.79178547,18.80667767,dr9,SNIa,0.07,26.7987,18.7986,ZTF18aaadqua,,,,ZTFmarshal,9906628385508592.0,18.80667767,26.79178547,9.519609898559578e+16,436695.0,G2,SER,37.428345,22.12196,0.044140548,8.204593,18.413403,32.480465,8.204593,18.413403,32.48047,537143.56,723026.4,737143.2,725809.0,737951.25,1413700000000.0,619052000000.0,39.75989,85.124245,93.82244,56.009377,57.790398,121.261894,143.85541,162.68282,38.648808,1.349193,0.392567,0.001134,1.8e-05,16.521992,1.7e-05,1.5e-05,0.008646,0.009784,0.338936,3.477828,1.2e-05,0.991723,0.991184,0.991219,0.019569,0.018938,0.020525,,,,,,,,,,,,,,,,,,,,
ZTF18aabasml,0.04726883,1.308e-05,z_gal,58171.94225059728,0.000457987,4.999979792566421,1.008026309179062,0.8051991469001223,9.887422447450234e-05,7.109740674772212,0.1482685984601599,-2.68e-05,5.051952420120624e-05,0.018306732,-3.49e-08,-1.44e-05,5.8785652378544944e-05,0.010949589,3.1,0,0.9775997614882432,166.486441,37.625088,snia-cosmo,norm,0.0,0.0,2018tz,100.0,ZTF18aabasml,0,166.48647813751998,37.62539824919998,dr9 and local_universe,SNIa,0.0472,166.4864679,37.6251311,ZTF18aabasml,,,,ZTFmarshal,9907734233743828.0,37.62539824919998,166.48647813751998,1003254.0,533384.0,L3,SER,0.9621794,0.1698135,9.5422496e-05,9.955663,14.893507,20.1902,9.955663,14.893507,20.1902,0.0,0.0,0.0,0.0,0.0,1648920000000.0,3482330000000.0,313.11823,462.69354,398.01453,253.02216,1429.3292,2535.833,620.2677,13.734842,4.578827,0.544963,0.210519,0.000522,9e-06,2.026413,2.6e-05,5.8e-05,0.004788,0.008233,0.046859,0.164488,0.000137,0.994576,0.994595,0.995382,0.014021,0.01382,0.014517,1003254.0,SGA-2020 1003254,PGC033565,166.48647813751998,37.62539824919998,166.48647,37.6253633,Sc,73.47,0.42854857,0.6516284,0.047209658,LEDA-20181114,368300.0,PGC033565,166.48647,37.6253633,0.42854857,0.5483467,SB26
ZTF18aabasml,0.04726883,1.308e-05,z_gal,58171.94225059728,0.000457987,4.999979792566421,1.008026309179062,0.8051991469001223,9.887422447450234e-05,7.109740674772212,0.1482685984601599,-2.68e-05,5.051952420120624e-05,0.018306732,-3.49e-08,-1.44e-05,5.8785652378544944e-05,0.010949589,3.1,0,0.9775997614882432,166.486441,37.625088,snia-cosmo,norm,0.0,0.0,2018tz,100.0,ZTF18aabasml,1,166.47715468488596,37.625092257436165,dr9,SNIa,0.0472,166.4864679,37.6251311,ZTF18aabasml,,,,ZTFmarshal,9907734233743732.0,37.625092257436165,166.47715468488596,0.0,533384.0,,DEV,26.55495,13.677409,0.7314836,0.349555,0.610146,1.143841,0.350051,0.610888,1.144847,857.9956,1046.986,1059.0142,1058.0566,1059.5414,7460740000.0,8908559000.0,1.491867,2.571706,10.402946,6.772476,-21.314867,761.2558,4.766695,170.9011,49.73779,2.241107,0.55899,0.000799,1.2e-05,18.000029,0.133286,0.218221,0.873036,0.906399,1.47236,1.077961,0.296436,0.949854,0.950059,0.931083,0.125214,0.12354,0.101073,,,,,,,,,,,,,,,,,,,,
ZTF18aabqgnb,0.03609448,0.00320039,z_snid,58174.45632799804,0.001015418,2.262981035908818,0.546845722,0.4759342230718175,0.000322521,1.4969341672154832,0.1872305425002258,-0.000130316,0.6171959649434136,0.073973274,-0.000474483,-6.06e-05,0.2718646150588094,0.018314742,3.1,0,0.9987788073438428,178.189495,37.854296,snia-cosmo,norm,1.0,0.0,2018yc,100.0,ZTF18aabqgnb,0,178.18926605251022,37.85455477752596,dr9,SNIa,0.035,178.18951819999998,37.8542631,ZTF18aabqgnb,,,,ZTFmarshal,9907734236169248.0,37.85455477752596,178.18926605251022,0.0,533421.0,,EXP,1.2713279,0.4240083,0.002878358,1.133903,1.798574,3.222299,1.133903,1.798574,3.222299,10535.602,18136.262,21272.375,21570.44,21593.89,144198000000.0,52419350000.0,8.200165,12.742032,51.653446,31.930717,325.43216,-3269.4727,22.405216,163.82083,30.322577,2.113771,0.588656,0.000791,1.2e-05,15.318537,0.032876,0.037476,0.20326,0.244307,0.62304,1.008479,0.010207,0.996437,0.747691,0.995199,0.010324,0.008036,0.007711,,,,,,,,,,,,,,,,,,,,
ZTF18aabqgnb,0.03609448,0.00320039,z_snid,58174.45632799804,0.001015418,2.262981035908818,0.546845722,0.4759342230718175,0.000322521,1.4969341672154832,0.1872305425002258,-0.000130316,0.6171959649434136,0.073973274,-0.000474483,-6.06e-05,0.2718646150588094,0.018314742,3.1,0,0.9987788073438428,178.189495,37.854296,snia-cosmo,norm,1.0,0.0,2018yc,100.0,ZTF18aabqgnb,1,178.18777881102835,37.85497045643844,dr9,SNIa,0.035,178.18951819999998,37.8542631,ZTF18aabqgnb,,,,ZTFmarshal,9907734236169228.0,37.85497045643844,178.18777881102835,0.0,533421.0,,EXP,5.561387,11.337576,0.4230786,0.446365,1.637473,3.729882,0.448427,1.64813,3.737579,4201.348,4427.59,4499.269,4510.0776,4510.4805,94764010000.0,78576750000.0,0.781246,2.807587,6.67459,3.861137,52.436646,577.8304,6.276615,668.31824,140.73503,3.301322,0.836312,0.001044,1.3e-05,83.72378,0.285368,0.093305,3.393983,4.577098,1.776556,1.418557,0.036837,0.999185,0.999431,0.997011,0.009786,0.005242,0.007403,,,,,,,,,,,,,,,,,,,,
ZTF18aabssme,0.04168907,1.023e-05,z_gal,58184.828820717805,0.002601589,-1.410702417,0.010829808,3.758744773829676,0.001101418,2.558823558390531,0.3280597315642612,-0.00026923,-8.072329433,0.3211260200989447,-0.001607982,-0.000368725,0.3463898257668328,0.034648476,3.1,0,0.5837131942086724,155.711512,14.05482,snia-cosmo,norm,0.0,0.0,2018aca,100.0,ZTF18aabssme,0,155.71202655443744,14.05459197004649,dr9,SNIa,0.04168,155.7115261,14.054785999999998,ZTF18aabssme,,,,ZTFmarshal,9906626695138024.0,14.05459197004649,155.71202655443744,0.0,410902.0,,SER,1.8821186,1.0921811,0.002157792,9.695528,13.986315,18.174967,9.698973,13.99665,18.192417,214496.5,402258.06,395462.34,409815.6,410231.28,1617970000000.0,2242740000000.0,58.59626,81.30105,60.97529,37.85865,206.04213,-132.27151,101.974594,57.919827,23.090027,1.678633,0.45021,0.000746,1.1e-05,12.613733,0.002613,0.006297,0.090301,0.121584,0.363323,7.258748,0.007201,0.99984,0.999782,0.999789,0.507624,0.475554,0.000469,,,,,,,,,,,,,,,,,,,,
ZTF18aabssme,0.04168907,1.023e-05,z_gal,58184.828820717805,0.002601589,-1.410702417,0.010829808,3.758744773829676,0.001101418,2.558823558390531,0.3280597315642612,-0.00026923,-8.072329433,0.3211260200989447,-0.001607982,-0.000368725,0.3463898257668328,0.034648476,3.1,0,0.5837131942086724,155.711512,14.05482,snia-cosmo,norm,0.0,0.0,2018aca,100.0,ZTF18aabssme,1,155.7130177832092,14.049915846108808,dr9,SNIa,0.04168,155.7115261,14.054785999999998,ZTF18aabssme,,,,ZTFmarshal,9906626695138040.0,14.049915846108808,155.7130177832092,0.0,410902.0,,EXP,18.290102,23.114168,1.2293454,0.290695,0.473151,1.050973,0.290695,0.473152,1.050976,818.01483,953.23676,964.01416,965.2989,966.06934,7727676400.0,12044637000.0,0.758878,1.188298,3.301292,1.417452,-30.66678,-405.29868,2.548171,871.37714,274.14536,2.582624,0.601224,0.00086,1.1e-05,41.566082,0.006151,0.016911,5.861358,8.550958,1.791068,2.417723,0.026065,0.998499,0.997074,0.997231,0.008971,0.013556,0.010898,,,,,,,,,,,,,,,,,,,,
ZTF18aabstmw,0.02308648,1.354e-05,z_gal,58190.750250680176,0.001255594,-1.527618912,0.3101535772163206,0.1031127189708058,6.827616505692812e-05,0.110239796,0.044589065,-1.16e-06,-0.006445485,0.001526092,-6.09e-07,-2.8e-06,-0.000677938,0.011196535,3.1,0,5.1108233978120045e-11,153.451129,38.763123,snia-pec,91bg,1.0,0.0,2018aaz,100.0,ZTF18aabstmw,0,153.4517910517043,38.761272090250685,dr9,SN-Ia-91bg-like,0.023313,153.45114180000002,38.7630928,ZTF18aabstmw,,,,ZTFmarshal,9907734528331340.0,38.761272090250685,153.4517910517043,0.0,537879.0,,REX,6.8032165,16.009377,0.14688241,4.717019,9.323078,8.730736,5.490445,11.063808,11.58798,0.0,0.0,0.0,0.0,0.0,538965000000.0,578425000000.0,8.710923,17.001848,-43.31524,-20.496153,37.43489,263.2447,15.740641,236.4985,58.060688,1.919523,0.579554,0.000982,1.2e-05,51.35401,0.779548,0.781954,4.240948,5.915675,3.947567,1.730646,0.767569,0.748081,0.680129,1.0,0.0,0.0,0.005476,,,,,,,,,,,,,,,,,,,,
