ZTF_Unnamed: 0,ztfname,ZTF_redshift,ZTF_redshift_err,ZTF_source,ZTF_t0,ZTF_x0,ZTF_x1,ZTF_c,ZTF_t0_err,ZTF_x0_err,ZTF_x1_err,ZTF_c_err,ZTF_cov_t0_x0,ZTF_cov_t0_x1,ZTF_cov_t0_c,ZTF_cov_x0_x1,ZTF_cov_x0_c,ZTF_cov_x1_c,ZTF_mwebv,ZTF_mwr_v,ZTF_mwebv_err,ZTF_fitprob,ZTF_ra,ZTF_dec,ZTF_sn_type,ZTF_sub_type,ZTF_lccoverage_flag,ZTF_fitquality_flag,ZTF_iau_name,ZTF_frac_fitted,ZTF_ra_host_global,ZTF_dec_host_global,ZTF_mass_global,ZTF_mass_err_global,ZTF_restframe_gz_global,ZTF_restframe_gz_err_global,ZTF_d_dlr_global,ZTF_mass_local,ZTF_mass_err_local,ZTF_restframe_gz_local,ZTF_restframe_gz_err_local,ZTF_DESI_METADATA_ang_sep_arcsec,DESI_METADATA_TARGETID,DESI_METADATA_LS_ID,DESI_METADATA_SPECTYPE,DESI_METADATA_RA,DESI_METADATA_DEC,DESI_METADATA_DESI_TARGET,DESI_METADATA_Z,DESI_METADATA_ZWARN,DESI_METADATA_SURVEY,DESI_METADATA_PROGRAM
19,ZTF18aabyhlc,0.02905506,1.526e-05,z_gal,58180.62126192248,0.001247359,-2.74757431,0.3330676960088438,0.5041427268151892,0.000122144,0.091428252,0.063529518,-4.25e-05,0.009264298,0.016904983,-6.15e-06,-7.32e-06,0.002846503,0.011580525,3.1,0,0.9955929225303692,226.845147,38.416547,snia,,1.0,1.0,2018aab,100.0,226.846817768642,38.420393301027225,10.003,0.1209297316626478,1.16969653,0.019849433241,1.5322682348750876,7.405,0.263,0.73269653,0.375373147681,2.4049032509698467e-10,39633049377308845,9907734469542061,b'GALAXY',226.84681776864193,38.420393301027225,5764607523034234880,0.029050098493086467,0,b'main',b'bright'
26,ZTF18aagrtxs,0.02974109,1.121e-05,z_gal,58213.15026791291,0.005583245,-0.711099829,-0.148608617,0.04138177,0.000170287,0.037109825,0.028008571,2.0735687235291903e-06,-0.000202864,-0.000397335,3.193792142581116e-09,-4.14e-06,-0.000116982,0.009839961,3.1,0,1.3033276997073706e-06,198.606075,50.977709,snia-cosmo,norm,1.0,1.0,2018amo,100.0,198.60868974101308,50.979166235587,10.583,0.1546738504078824,1.26869653,0.018439088915,0.3916383073814234,9.062,0.057,1.27269653,0.021260291625,0.0,39633263689466031,9907737818169519,b'GALAXY',198.60868974101308,50.979166235587,5764607523034234880,0.029742587578285323,0,b'main',b'bright'
47,ZTF18aahqmsr,0.06210194,1.026e-05,z_gal,58233.97697358328,0.000873743,0.8539242970413163,0.082794694,0.1409132175322156,2.895112583023874e-05,0.1484985765314086,0.03017582,-5.68e-07,-0.005011934,0.00097233,-9.28e-07,-7.35e-07,3.525231818059676e-06,0.016881542,3.1,0,0.003698016,159.649636,35.971196,snia-cosmo,norm,1.0,1.0,2018lpa,96.55172413793105,159.64996242622846,35.97126740260834,9.186,0.1026109155986827,0.59969653,0.026925824036,0.3960501847338717,8.773,0.016,0.50969653,0.028017851452,0.0,39633000282983360,9907733702446016,b'GALAXY',159.64996242622846,35.97126740260834,5764607523034234880,0.06210195475506511,0,b'main',b'bright'
61,ZTF18aairuad,0.06466153,1.14e-05,z_gal,58229.20279877532,0.000891396,0.5494572418395482,-0.038371616,0.089853912,2.7260892206626105e-05,0.083297037,0.02907272,-1.44e-07,-0.001676833,0.000263938,-1.33e-07,-6.78e-07,-0.000135569,0.014202453,3.1,0,0.8180960772888706,177.939735,57.799506,snia-cosmo,norm,1.0,1.0,2018baq,100.0,177.93723355616234,57.7998850297568,9.826,0.1017889974407843,0.64269653,0.023600847442,1.103006602310051,7.959,0.113,0.40169653,0.090443352437,5.724998426634331e-11,39633358812088318,9907739304462334,b'GALAXY',177.93723355616234,57.799885029756794,5764607523034234880,0.06466203013495704,0,b'main',b'bright'
67,ZTF18aaixjrc,0.10607894,1.599e-05,z_gal,58900.69856183165,0.000309477,-1.723971371,-0.052587516,0.084956195,9.24108228837856e-06,0.1257767795631964,0.027094469,5.6758322956921074e-08,0.001153763,-0.000175873,-6.62e-08,-2.16e-07,-4.3e-05,0.008037038,3.1,0,1.4156243358196837e-06,213.379287,43.621716,snia,,1.0,1.0,,99.63768116,213.37922727659577,43.621717439442506,9.841,0.1118033988749895,0.83669653,0.035355339059,0.0608421251542221,9.514,0.045,1.07369653,0.028844410204,0.0,39633140565672623,9907735894360751,b'GALAXY',213.37922727659577,43.621717439442506,5764607523034234880,0.10607375732492477,0,b'main',b'bright'
69,ZTF18aaizerg,0.06846052,1.46e-05,z_gal,58852.80832,0.000678003,-1.206520734,0.073268074,0.1647405230287404,2.136896049855907e-05,0.08352567,0.027232065,-1.75e-07,-0.006873464,-0.000234735,-1.41e-07,-4.99e-07,-3.7e-06,0.022999586,3.1,0,0.039520035,219.698213,50.102776,snia-cosmo,norm,1.0,1.0,2019zbj,100.0,219.6979121049117,50.10300692846833,10.287,0.1033247308247159,1.08669653,0.017691806013,0.2287816972484202,9.781,0.025,1.20069653,0.017691806013,6.562782258685644e-11,39633248493504248,9907737580734200,b'GALAXY',219.69791210491172,50.10300692846833,5764607523034234880,0.06845976220551232,0,b'main',b'bright'
70,ZTF18aajivpr,0.05145185,1.194e-05,z_gal,58954.45430807741,0.000537102,-0.677752074,0.3725231920964031,0.1753034430730622,1.951605329642307e-05,0.1022954022933377,0.031102356,-7.74e-07,-0.005164897,0.000852753,-2.13e-07,-5.33e-07,-2.46e-05,0.019188716,3.1,0,0.3844181367485987,179.195463,52.483881,snia-cosmo,norm,1.0,1.0,2020gaa,100.0,179.19660937682048,52.48433729910774,10.204,0.1226417547167358,1.08269653,0.017691806013,0.4544929049509811,9.383,0.041,1.09069653,0.027586228448,0.0,39633286003163309,9907738166821037,b'GALAXY',179.19660937682048,52.48433729910774,5764607523034234880,0.05144813577949185,0,b'main',b'bright'
90,ZTF18aamigmk,0.02229592,1.262e-05,z_gal,58244.100764449344,0.011164025,0.7323532744754204,-0.111544771,0.037860852,0.000334058,0.038380227,0.027136464,3.3042552614809352e-06,-5.46e-05,-0.0003312,1.2573969010558674e-06,-7.81e-06,-0.000256734,0.036154599,3.1,0,0.9709248611381156,269.417711,50.03859,snia-cosmo,norm,1.0,1.0,2018aye,100.0,269.41898233733605,50.03346204424288,9.26,0.1023914058893616,0.69369653,0.022203603311,1.0429633926899886,7.246,0.096,0.65669653,0.183918460194,3.4349990559805986e-11,39633249030378002,9907737589125650,b'GALAXY',269.41898233733605,50.033462044242874,5764607523034234880,0.02229596160557527,0,b'main',b'bright'
92,ZTF18aamlqqh,0.05718284,2.111e-05,z_gal,58242.68518283112,0.001289689,-1.372103544,-0.057531725,0.091401792,4.074394964170163e-05,0.093733999,0.029672779,1.276668704662323e-07,0.000801879,-0.000388953,-5.97e-07,-9.89e-07,-0.000232412,0.029255643,3.1,0,0.9573062011652238,266.986078,34.932642,snia-cosmo,norm,1.0,1.0,2018bcz,100.0,266.986006797673,34.93271932830423,9.1,0.1080786750473931,0.47169653,0.026076809621,0.1048138714813445,8.81,0.048,0.86669653,0.034058772732,0.0,39632982041955466,9907733417430154,b'GALAXY',266.986006797673,34.93271932830423,5764607523034234880,0.057181656143931746,0,b'main',b'bright'
95,ZTF18aangpkx,0.07000448,1.504e-05,z_gal,58981.91109258661,0.000787031,-2.018797821,-0.017701057,0.067591432,2.4064848806294584e-05,0.084433745,0.027973613,-5.96e-08,0.000429447,2.457031448492097e-05,-2.55e-07,-5.74e-07,0.000104916,0.019963245,3.1,0,0.014280293,255.339058,32.785825,snia,,1.0,1.0,2020jbl,100.0,255.33879371250288,32.785592599030245,10.846,0.1464547711752676,1.30469653,0.018439088915,0.1565188478663892,10.411,0.126,1.34569653,0.018384776311,0.0,39632936680554869,9907732708655477,b'GALAXY',255.33879371250288,32.785592599030245,5764607523034234880,0.06999552901519893,0,b'main',b'bright'
