SNID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,RA,DEC,COORD_SOURCE
1248039,1248039,10,0,0.22666,0.001,0.22566,0.001,0.22566,0.00158,0.0,300.0,0.02,0.2267,0.001,34.858189,-6.177236,0.455,0.68,9.37,0.04,1.15,-999.0,56544.5781,0.5193,-1.2181,0.2582,0.0996,0.0223,21.3332,0.0302,20.8536,5.257e-05,1.4613e-06,0.0011,-0.0,-0.0,35,0.0377,0.5532,0.8748,0.9539,0.9994,0.9989,40.1768,0.1902,0.0,-0.0456,1.0,0.0301,34.858139,-6.177352,DES
1248084,1248084,10,0,0.28165,0.001,0.28063,0.001,0.28063,0.00163,0.0,300.0,0.02,0.2817,0.001,36.336864,-5.321878,1.113,0.61,11.03,0.01,1.54,-999.0,56555.1758,0.1619,1.1599,0.1796,0.0092,0.0176,21.1797,0.0226,21.3849,6.055e-05,1.2598e-06,0.0007,-0.0,-0.0,26,0.9586,0.9932,1.0,0.9998,0.9989,0.9999,40.7081,0.1249,0.0,-0.0285,1.0,0.0104,36.337151,-5.321758,DES
1248243,1248243,10,0,0.32489,0.001,0.32394,0.001,0.32394,0.00166,0.0,300.0,0.05,0.3249,0.001,42.391346,-0.417613,0.594,0.95,9.19,0.02,0.62,-999.0,56532.9531,0.8409,1.2546,0.3263,-0.0726,0.0194,21.542,0.0328,21.9192,4.3371e-05,1.312e-06,0.0004,-0.0,-0.0,39,0.2893,0.9995,0.9453,0.9999,1.0,1.0,41.2424,0.1327,0.0,0.0322,1.0,0.0084,42.39146,-0.417734,DES
1248441,1248441,10,0,0.24567,0.001,0.24517,0.001,0.24517,0.0016,0.0,300.0,0.01,0.2457,0.001,52.136944,-28.186865,0.79,0.68,10.61,0.02,1.34,-999.0,56534.3906,0.8903,-1.8562,0.3256,-0.1052,0.0335,20.9716,0.0695,21.0329,7.3343e-05,4.6938e-06,0.0045,-0.0,-0.0,14,0.4311,0.9697,0.653,0.9939,0.9777,0.9996,40.3561,0.1215,0.0,-0.0133,1.0,0.003,52.136707,-28.1868,DES
1248677,1248677,10,1,0.35067,0.001,0.35016,0.001,0.35016,0.00168,0.0,300.0,0.01,0.3507,0.001,53.64628199999999,-28.126492,1.848,1.75,9.56,0.02,0.36,-999.0,56554.3398,0.1821,1.1766,0.1583,-0.0958,0.0141,21.5552,0.0192,22.0095,4.2847e-05,7.5843e-07,0.0005,-0.0,-0.0,48,0.9997,0.9578,1.0,1.0,0.9994,1.0,41.3327,0.1027,0.0,0.0151,1.0,0.006,53.646217,-28.127001,DES
1248907,1248907,10,1,0.1714,0.001,0.17053,0.001,0.17053,0.00154,0.0,300.0,0.01,0.1714,0.001,7.281482,-43.140976,0.266,0.4,8.44,0.02,0.61,-999.0,56548.3711,0.1338,0.5954,0.1267,0.0124,0.0141,19.8466,0.0191,19.898,0.00020671,3.6344e-06,0.0003,-0.0,-0.0,41,0.0081,0.9582,1.0,1.0,0.9999,1.0,39.2212,0.1267,0.0,-0.013,1.0,0.0122,7.281386,-43.140999,DES
1248925,1248925,10,0,0.34408,0.001,0.34307,0.001,0.34307,0.00168,0.0,300.0,0.01,0.3441,0.001,7.489819000000001,-42.731388,0.375,0.55,9.56,0.01,0.67,-999.0,56540.3203,0.4225,-0.1009,0.3379,-0.0439,0.0187,22.0333,0.0229,22.1461,2.7586e-05,5.8278e-07,0.0021,-0.0,-0.0,43,0.3485,0.9849,1.0,1.0,1.0,1.0,41.4693,0.1322,0.0,-0.0109,1.0,0.0102,7.489678,-42.731381,DES
1248936,1248936,10,0,0.57208,0.001,0.57093,0.001,0.57093,0.00186,0.0,300.0,0.0,0.5721,0.001,8.161636,-43.461281,0.315,0.55,9.12,0.08,0.47,-999.0,56549.9453,0.6386,-0.8217,0.5915,-0.0804,0.0698,23.2843,0.0641,23.4198,8.715e-06,5.1442e-07,0.006,-0.0,-0.0,40,0.9761,0.9989,0.9713,1.0,0.9995,1.0,42.743,0.2169,0.0,-0.0356,0.856,0.0,8.16152,-43.461304,DES
1248962,1248962,10,0,0.48452,0.001,0.48342,0.001,0.48342,0.00179,0.0,300.0,0.01,0.4845,0.001,7.808713000000001,-43.090839,0.474,0.68,10.13,0.03,1.41,-999.0,56546.4844,0.4165,-0.0509,0.4472,-0.0628,0.0413,22.6396,0.0434,22.8411,1.5782e-05,6.3073e-07,0.0029,-0.0,-0.0,38,0.9211,0.9997,0.9867,1.0,0.9998,1.0,42.1643,0.1252,0.0,0.0049,0.748,0.0,7.808602,-43.090942,DES
1249090,1249090,10,0,0.38724,0.001,0.3862,0.001,0.3862,0.00171,0.0,300.0,0.01,0.3872,0.001,8.479261,-42.312588,2.107,1.33,11.23,0.15,1.57,-999.0,56536.0156,0.6012,-1.7659,0.3661,0.0133,0.0479,22.4326,0.0534,22.2478,1.9098e-05,9.3872e-07,0.0029,-0.0,-0.0,33,0.6193,0.9442,0.974,0.9998,0.9999,1.0,41.571,0.1641,0.0,-0.1221,1.0,0.0097,8.479995,-42.31237,DES
