CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD,blast_transient_spectroscopic_class,blast_transient_photometric_class,blast_host_name,blast_host_ra_deg,blast_host_dec_deg,blast_host_redshift,blast_host_EBV_MW,blast_local_log_mass_50,blast_local_log_sfr_50,blast_local_log_ssfr_50,blast_local_log_age_50,blast_local_mass_surviving_ratio,blast_global_log_mass_50,blast_global_log_sfr_50,blast_global_log_ssfr_50,blast_global_log_age_50,blast_global_mass_surviving_ratio
2016afk,0.0,150.0,1.0,0.04561,1e-05,0.04677,1e-05,0.04738,0.00087,-172.36,250.0,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.7,0.08,0.6,-999.0,57440.6797,0.357,0.0035,0.2061,0.0733,0.0238,17.514,0.0321,17.3136,0.0017718,5.2344e-05,0.0015,-0.0,-0.0,20.0,0.0743,-9.0,-9.0,-9.0,-9.0,-9.0,36.6368,0.1472,0.0,-0.0463,1.0,0.0148,SN Ia,,2016afk,155.62448369,15.0964009,0.0456054,0.04983080178499222,9.48394570881611,-0.08725791360410853,-9.58735443800462,5.866806409367003,0.609444423101302,9.78396601289126,0.027114059735584436,-9.75586642204953,5.802560132154284,0.6026803123934035
ASASSN-15bc,35.0,150.0,1.0,0.03672,0.0001,0.03639,0.0001,0.03753,0.00087,-330.4,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.16,0.04,0.73,-999.0,57048.0898,0.1934,0.6951,0.195,0.0636,0.0186,16.8552,0.0236,16.8659,0.0032503,7.0512e-05,0.0015,-0.0,-0.0,21.0,0.717,-9.0,-9.0,-9.0,-9.0,-9.0,36.1891,0.1239,0.0,-0.0784,1.0,0.0085,SN Ia,,ASASSN-15bc,61.56168677,-8.88639909,0.036715,0.03746038109064102,9.345454168592177,-1.0037049522020043,-10.361877618772693,7.792067938734446,0.5773909491021934,10.218022006517424,0.5250501335228962,-9.726480818818782,5.965621515438361,0.6112352651054878
ASASSN-15fa,53.0,150.0,1.0,0.02734,1e-05,0.02721,1e-05,0.02741,0.00086,-57.83,250.0,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.91,0.13,1.2,-999.0,57102.2266,0.3771,0.7406,0.1717,0.0835,0.0189,16.3086,0.0255,16.2655,0.0053772,0.00012642,0.0003,-0.0,-0.0,15.0,0.59,-9.0,-9.0,-9.0,-9.0,-9.0,35.5887,0.1401,0.0,-0.0794,1.0,0.0101,SN Ia,,ASASSN-15fa,257.43363516,62.97305222,0.02731495,0.023595910966396332,9.09248543582483,-0.879492440869836,-9.983349108580162,6.9669750275366935,0.5914929999141916,11.063673680742538,0.43621340687680465,-10.631577966424166,9.360699239964532,0.5737051017566634
ASASSN-15hg,107.0,150.0,1.0,0.02992,1e-05,0.03107,1e-05,0.03143,0.00086,-105.01,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.39,0.08,1.48,-999.0,57131.7148,0.0211,-1.1986,0.1565,0.0239,0.0218,16.6273,0.0305,16.4534,0.0040094,0.0001127,-0.0001,-0.0,-0.0,16.0,0.5451,-9.0,-9.0,-9.0,-9.0,-9.0,35.7766,0.1215,0.0,-0.0748,1.0,0.0051,SN Ia,,ASASSN-15hg,148.45511307,9.19379835,0.0299174,0.04189316280186176,9.167312902802399,-1.336006326578741,-10.527045228957972,8.118406066991714,0.5718923459641418,10.672158142035803,-0.8790829270588296,-11.561447896143088,9.395991121467532,0.5671511827455575
ASASSN-15jl,141.0,150.0,1.0,0.03468,1e-05,0.03492,1e-05,0.03512,0.00086,-56.23,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.08,0.14,0.73,-999.0,57166.4336,0.2838,0.4298,0.154,-0.049,0.018,16.4393,0.0213,16.6716,0.0047675,9.3613e-05,0.0006,-0.0,-0.0,25.0,0.1947,-9.0,-9.0,-9.0,-9.0,-9.0,35.9948,0.098,0.0,-0.029,1.0,0.0025,SN Ia,,ASASSN-15jl,230.67149042,50.97670164,0.03468222,0.013755315169692039,9.029610879624439,-1.2888775510406782,-10.31314057256126,7.121776362797168,0.5855408995311971,9.26294479070803,-0.9137926402210981,-10.163744282527864,7.581592941365136,0.5720143731960736
ASASSN-15lu,54.0,150.0,1.0,0.03505,1e-05,0.03577,1e-05,0.03635,0.00086,-168.23,250.0,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,9.98,0.11,0.9,-999.0,57199.3828,0.3772,-0.4094,0.2249,-0.0222,0.0211,16.772,0.0263,16.797,0.0035092,8.4944e-05,0.0006,0.0,-0.0,16.0,0.0076,-9.0,-9.0,-9.0,-9.0,-9.0,36.1202,0.1114,0.0,-0.0403,1.0,0.0044,SN Ia,,ASASSN-15lu,200.30368302,40.26576414,0.03505439,0.013813041932880878,9.958727888445384,0.012180951750712151,-9.911513625020117,7.273884341957818,0.5903417062338008,10.062915376899578,0.2612316384492899,-9.797906554134391,6.917002548039131,0.5902242873506005
ASASSN-15mf,72.0,150.0,1.0,0.02604,1e-05,0.02691,1e-05,0.02695,0.00086,-14.01,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,11.0,0.41,1.59,-999.0,57212.1094,0.3996,-0.7022,0.2394,-0.0236,0.0221,15.9695,0.027,16.0053,0.0073484,0.00018281,0.0011,-0.0,-0.0,11.0,0.1983,-9.0,-9.0,-9.0,-9.0,-9.0,35.3285,0.1106,0.0,-0.0565,1.0,0.002,SN Ia,,ASASSN-15mf,213.59585858,2.97544025,0.026039,,9.979552519836286,-0.25610983320384095,-10.251247970012514,7.740170658577089,0.5824875228233632,10.791894858314645,-1.0161558786986387,-11.783272365103679,8.3738059661543,0.5765509635298587
ASASSN-15mg,90.0,150.0,1.0,0.04278,1e-05,0.04307,1e-05,0.04408,0.00087,-289.8,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.14,0.16,1.12,-999.0,57218.1562,0.1899,-1.2812,0.1558,-0.0355,0.0238,17.2313,0.0286,17.2127,0.0022987,6.0582e-05,0.0002,-0.0,-0.0,18.0,0.3945,-9.0,-9.0,-9.0,-9.0,-9.0,36.5359,0.0938,0.0,-0.0581,1.0,0.001,SNIa,,ASASSN-15mg,233.09431563,41.84994804,0.04277766,0.0278687646985054,9.765839786170858,-0.9086117049550362,-10.646701142273397,8.443164489972869,0.5783193371024017,10.309679404025983,0.1975475787762019,-10.101884926810856,7.816607977769362,0.5779822470565988
ASASSN-15np,125.0,150.0,1.0,0.03768,5e-05,0.03832,5e-05,0.03884,0.00087,-150.2,250.0,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.17,0.31,1.48,-999.0,57241.5938,0.6305,-0.808,0.2112,0.064,0.0222,17.0709,0.0303,16.8459,0.0026646,7.4377e-05,-0.0003,0.0,-0.0,11.0,0.623,-9.0,-9.0,-9.0,-9.0,-9.0,36.1692,0.1293,0.0,-0.0859,1.0,0.0085,SN Ia,,ASASSN-15np,226.51107585,7.56160142,0.03766844,0.026425569988787173,9.880015745827372,-0.2697511954086468,-10.154024967816907,7.459758546822968,0.5871804019641274,10.227191141533602,-0.8511475022703253,-11.108092495197893,7.953469592184613,0.5680380329191407
ASASSN-15nq,142.0,150.0,1.0,0.03036,1e-05,0.03025,1e-05,0.03023,0.00086,4.04,250.0,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.0,10.4,0.16,1.67,-999.0,57247.7578,0.2002,0.0004,0.198,-0.0678,0.0223,16.1247,0.0292,16.3934,0.0063695,0.00017144,0.0016,-0.0,-0.0,14.0,0.1944,-9.0,-9.0,-9.0,-9.0,-9.0,35.7166,0.0972,0.0,-0.0386,1.0,0.0008,SNIa,,ASASSN-15nq,259.32837985,33.46302651,0.03036021,0.03985528327524662,9.34723197390964,-1.2051698193869465,-10.565072119181703,8.649454083634874,0.5694769452587345,10.615678645509032,0.15688736561251548,-10.479005516874857,7.769831695271762,0.5903226550436232
