SNID,RA,DEC,zHEL,TYPE
1246275,54.647026,-26.401205,0.24651,None
1246281,53.725414,-27.622061,0.336,None
1246314,54.836567,-26.640186,0.38388,None
1246527,36.018959,-5.016278,0.32184,None
1246529,36.113865,-4.944012,0.49797,None
1246626,37.30658,-4.333969,0.39392,None
1246650,35.910469,-5.107677,0.91042,None
1246717,36.880352,-4.616096,0.535,None
1246758,36.618942,-5.53918,0.53249,None
1246791,36.319378,-4.575553,0.83213,None
1246796,36.509102,-4.45498,0.55626,None
1247022,9.673174,-44.390999,0.35859,None
1247420,34.056496,-4.197978,0.15123,None
1247537,34.025147,-5.010933,0.45687,None
1247570,33.701939,-4.508135,0.5806,None
1248039,34.858139,-6.177352,0.22666,None
1248084,36.337151,-5.321758,0.28165,None
1248243,42.39146,-0.417734,0.32489,None
1248441,52.136707,-28.1868,0.24567,None
1248677,53.646217,-28.127001,0.35067,None
1248907,7.281386,-43.140999,0.1714,None
1248925,7.489678,-42.731381,0.34408,None
1248936,8.16152,-43.461304,0.57208,None
1248962,7.808602,-43.090942,0.48452,None
1249090,8.479995,-42.31237,0.38724,None
1249137,8.135224,-42.493057,0.22397,None
1249178,6.957144,-43.08107,0.76649,None
1249182,6.82,-42.573868,0.56135,None
1249209,6.962916,-42.385231,0.48424,None
1249245,8.421629,-44.601704,0.36932,None
1249264,8.183639,-43.873089,0.55081,None
1249304,40.629578,-1.440712,0.63802,None
1249308,40.863659,-1.601682,0.22896,None
1249371,41.362919,-0.253625,0.45191,None
1249395,41.475582,-1.550186,0.55626,None
1249416,40.912281,-1.748792,0.33267,None
1249483,40.632134,-0.842623,0.28398,None
1249758,54.792175,-26.719948,0.62198,None
1249851,55.218029,-29.399984,0.21552,None
1249956,6.984844,-42.44376,0.44737,None
1249970,10.491207,-43.734085,0.26866,None
1250017,43.193733,-0.127481,0.18299,None
1250034,43.029656,-0.415255,0.16167,None
1250120,42.918236,-0.236987,0.69207,None
1250275,41.613308,-1.613983,0.38423,None
1250279,41.090176,-1.465227,0.27476,None
1250357,41.880974,-0.61663,0.35941,None
1250397,33.92968,-5.449767,0.64442,None
1250435,33.790329,-4.626687,0.49418,None
1250454,35.299789,-4.53557,0.7888,None
1250532,35.564694,-6.959802,0.52893,None
1250578,36.104046,-6.996462,0.27962,None
1250665,36.71315,-4.498711,0.29564,None
1250803,52.946167,-27.847559,0.96406,None
1250823,52.689018,-27.5611,0.66553,None
1250852,52.148945,-28.639742,0.77796,None
1250858,53.266316,-28.243347,0.85778,None
1250882,52.342468,-27.73279,0.74728,None
1250896,37.018997,-4.910972,0.8812,None
1250912,36.689526,-3.992602,0.21995,None
1250916,37.153248,-4.299087,0.6708,None
1250925,37.094894,-4.009557,0.55269,None
1250950,36.955776,-4.624587,0.70234,None
1250980,35.794376,-4.459983,0.82115,None
1251022,54.067162,-28.060537,0.6849,None
1251114,53.801479,-28.814411,0.62692,None
1251126,54.466965,-29.334354,0.59845,None
1251225,8.748535,-44.666557,0.43274,None
1251390,40.859295,-1.746916,0.43504,None
1251436,41.620407,-0.263056,0.57464,None
1251536,34.97192,-6.933254,0.52851,None
1251552,36.367436,-6.00684,0.35592,None
1251600,35.695145,-4.22814,0.55887,None
1251603,35.795975,-4.214051,0.63165,None
1251618,36.348541,-4.165977,0.82318,None
1251645,36.637634,-4.341052,0.7682,None
1251652,36.853241,-5.378987,0.77295,None
1251975,35.061047,-5.824066,0.44765,None
1252142,53.499386,-29.53405,0.55345,None
1252183,52.745983,-28.221069,0.97319,None
1252199,53.223419,-27.416075,0.6056,None
1252225,53.215588,-28.177155,0.52014,None
1252237,52.26918,-28.083105,0.88655,None
1252313,8.332176,-43.889019,0.59808,None
1252364,7.277269,-42.313549,0.54251,None
1252513,54.586571,-27.557074,0.47821,None
1252521,54.140781,-26.568392,0.43376,None
1252595,53.05949,-27.715036,0.814,None
1252620,37.267574,-4.127431,0.95453,None
1252665,52.551495,-28.045853,0.97567,None
1252671,52.32399,-28.787512,0.98614,None
1252751,41.392765,-1.509742,0.56173,None
