CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
SN2016hhv,139,150,1,0.06194,0.00014,0.06067,0.00014,0.06121,0.00090,-151.97,250.00,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.96,0.12,1.24,-999.00,57692.8516,1.1056,-0.7334,0.4187,-0.1477,0.0459,17.6687,0.0753,18.0181,1.5364E-03,1.0653E-04,-0.0078,0.0000,-0.0000,8,0.5932,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.3413,0.1216,0.0000,0.0120,0.7670,0.0000
SN2016hpx,157,150,1,0.03338,0.00046,0.03370,0.00046,0.03282,0.00098,254.85,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.59,0.05,0.62,-999.00,57703.8828,0.2107,0.7788,0.1441,-0.0205,0.0250,16.2068,0.0359,16.4084,5.9059E-03,1.9524E-04,0.0008,-0.0000,-0.0000,14,0.3805,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7316,0.1135,0.0000,-0.0312,1.0000,0.0046
SN2016ixf,175,150,1,0.06602,0.00011,0.06723,0.00011,0.06711,0.00090,32.32,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,8.59,0.03,0.92,-999.00,57742.9961,0.8525,0.7045,0.3309,-0.0999,0.0328,17.8042,0.0502,18.2156,1.3562E-03,6.2739E-05,-0.0013,0.0000,-0.0000,11,0.0464,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.5388,0.1100,0.0000,-0.0054,0.9370,0.0000
SN2017cii,15,150,1,0.03323,0.00001,0.03337,0.00001,0.03289,0.00086,138.77,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.32,0.17,0.62,-999.00,57837.4336,0.6021,0.4862,0.1705,-0.0877,0.0226,16.2875,0.0407,16.6334,5.4826E-03,2.0539E-04,-0.0006,0.0000,-0.0000,14,0.4039,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.9567,0.1025,0.0000,-0.0129,1.0000,0.0019
SN2017cjv,52,150,1,0.05953,0.00014,0.06079,0.00014,0.06092,0.00090,-37.28,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.72,0.19,1.45,-999.00,57839.9883,0.7264,-1.1511,0.2433,-0.1237,0.0294,17.6706,0.0394,17.8956,1.5337E-03,5.5708E-05,-0.0015,0.0000,-0.0000,23,0.1313,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.2189,0.0896,0.0000,-0.0056,0.7820,0.0000
SN2017ckx,70,150,1,0.02716,0.00000,0.02779,0.00000,0.02858,0.00086,-229.77,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.33,0.06,1.14,-999.00,57846.9961,0.4251,1.4870,0.2374,0.0153,0.0259,16.0276,0.0349,16.2996,6.9654E-03,2.2415E-04,0.0009,-0.0000,-0.0000,8,0.5028,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.6228,0.1261,0.0000,-0.0615,1.0000,0.0045
SN2017coa,88,150,1,0.04000,0.00300,0.04045,0.00300,0.04095,0.00312,-143.56,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.34,0.06,2.29,-999.00,57848.9375,0.4844,0.9624,0.2640,-0.0082,0.0266,16.9882,0.0370,17.1836,2.8757E-03,9.7995E-05,0.0012,-0.0000,-0.0000,10,0.5637,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.5069,0.1214,0.0000,-0.0337,1.0000,0.0055
SN2017cpu,106,150,1,0.05440,0.00001,0.05529,0.00001,0.05502,0.00088,78.29,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.03,0.20,2.17,-999.00,57847.7383,0.4859,0.8759,0.2563,-0.0668,0.0236,17.0999,0.0310,17.5076,2.5943E-03,7.4145E-05,0.0011,-0.0000,-0.0000,14,0.3778,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.8308,0.0872,0.0000,-0.0396,0.8780,0.0000
SN2017hn,123,150,1,0.02385,0.00001,0.02492,0.00001,0.02557,0.00085,-189.32,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.58,0.10,1.23,-999.00,57768.2148,0.4098,0.7842,0.2054,-0.0100,0.0235,15.6523,0.0310,15.8835,9.8421E-03,2.8087E-04,0.0006,-0.0000,-0.0000,8,0.8621,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.2067,0.1183,0.0000,-0.0550,1.0000,0.0029
SN2017mf,158,150,1,0.02561,0.00001,0.02618,0.00001,0.02598,0.00086,59.01,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.57,0.07,0.84,-999.00,57779.0625,0.4538,0.0601,0.2074,0.0217,0.0216,16.0368,0.0282,16.0684,6.9068E-03,1.7913E-04,0.0010,-0.0000,-0.0000,9,0.7283,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.3916,0.1237,0.0000,-0.0707,1.0000,0.0050
SN2017ms,176,150,1,0.02448,0.00001,0.02538,0.00001,0.02591,0.00086,-156.12,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.08,0.11,0.79,-999.00,57782.3438,0.0307,0.7902,0.2636,-0.1164,0.0232,15.5470,0.0266,16.0189,1.0844E-02,2.6579E-04,0.0007,-0.0000,-0.0000,8,0.0257,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.3421,0.1160,0.0000,-0.0007,1.0000,0.0014
iPTF17dz,81,150,1,0.09200,0.01000,0.09284,0.01000,0.09293,0.01004,-26.35,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.87,0.38,2.27,-999.00,57767.3594,1.2266,1.5919,0.9491,0.0752,0.1079,18.9832,0.2087,19.0198,4.5783E-04,8.8021E-05,0.0444,-0.0000,-0.0000,13,0.5025,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,38.3430,0.2873,0.0000,-0.0336,1.0000,0.0052
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
