CID,CIDint,IDSURVEY,TYPE,zHEL,zHELERR,zCMB,zCMBERR,zHD,zHDERR,VPEC,VPECERR,MWEBV,HOST_ZSPEC,HOST_ZSPECERR,HOST_RA,HOST_DEC,HOST_ANGSEP,HOST_DDLR,HOST_LOGMASS,HOST_LOGMASS_ERR,HOST_COLOR,HOST_COLOR_ERR,PKMJD,PKMJDERR,x1,x1ERR,c,cERR,mB,mBERR,mB_corr,x0,x0ERR,COV_x1_c,COV_x1_x0,COV_c_x0,NDOF,FITPROB,PROB_SCONE,PROB_SNIRFV19,PROB_SNNDESCC,PROB_SNNJ17,PROB_SNNV19,MU,MUERR_FINAL,PROBCC_BEAMS,biasCor_mu,biasCor_muCOVSCALE,biasCor_muCOVADD
2005eq,55,64,1,0.02893,0.00001,0.02831,0.00001,0.02823,0.00086,23.08,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.62,0.08,1.03,-999.00,53655.0977,0.0920,1.3615,0.0601,0.0013,0.0092,16.0295,0.0158,16.3199,6.9534E-03,1.0092E-04,0.0000,-0.0000,-0.0000,180,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.6431,0.1175,0.0000,-0.0568,1.0000,0.0065
2005eu,89,64,1,0.03449,0.00500,0.03369,0.00500,0.03516,0.00507,-427.55,250.00,0.11,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.15,0.03,0.72,-999.00,53660.6484,0.1275,1.1121,0.1059,-0.1000,0.0212,16.2122,0.0344,16.6861,5.8767E-03,1.8607E-04,0.0001,-0.0000,-0.0000,91,0.3504,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0093,0.1232,0.0000,-0.0020,1.0000,0.0046
2005hc,76,64,1,0.04592,0.00002,0.04496,0.00002,0.04575,0.00087,-228.69,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.48,0.08,1.28,-999.00,53668.1484,0.1018,0.8642,0.0708,-0.0370,0.0085,17.0626,0.0101,17.3853,2.6852E-03,2.4883E-05,0.0001,-0.0000,-0.0000,155,0.9580,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.7085,0.0902,0.0000,-0.0495,1.0000,0.0037
2005hj,99,64,1,0.05739,0.00001,0.05631,0.00001,0.05708,0.00088,-217.88,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.49,0.15,1.10,-999.00,53674.7891,0.2406,1.6156,0.1253,-0.0119,0.0108,17.4747,0.0135,17.7828,1.8370E-03,2.2841E-05,0.0002,-0.0000,-0.0000,85,0.5453,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.1061,0.1095,0.0000,-0.0299,1.0000,0.0076
2005iq,141,64,1,0.03404,0.00012,0.03292,0.00012,0.03341,0.00087,-141.55,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.49,0.08,1.13,-999.00,53688.1797,0.0771,-1.0282,0.0628,-0.0984,0.0091,16.5153,0.0097,16.6983,4.4450E-03,3.9846E-05,0.0001,-0.0000,-0.0000,136,0.9602,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0215,0.0943,0.0000,-0.0228,1.0000,0.0030
2005ir,159,64,1,0.07603,0.00001,0.07490,0.00001,0.07520,0.00090,-83.86,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.08,0.10,0.78,-999.00,53685.2227,0.2475,1.1155,0.1624,-0.0140,0.0114,18.1602,0.0126,18.4632,9.7710E-04,1.1341E-05,0.0003,-0.0000,-0.0000,77,0.1178,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.7864,0.0776,0.0000,-0.0611,1.0000,0.0020
2005ku,124,5,1,0.04525,0.00001,0.04397,0.00001,0.04439,0.00087,-120.60,250.00,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.93,0.13,0.80,-999.00,53699.5117,0.3001,-0.0773,0.1768,0.0733,0.0146,17.3078,0.0183,17.0916,2.1423E-03,3.6206E-05,0.0003,0.0000,-0.0000,25,0.0271,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.4148,0.1588,0.0000,-0.0435,1.0000,0.0188
2005lz,11,64,1,0.04624,0.00014,0.04541,0.00014,0.04643,0.00088,-292.46,250.00,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.04,0.26,1.47,-999.00,53736.3945,0.1737,-1.2436,0.1532,0.0473,0.0182,17.3675,0.0266,17.1291,2.0277E-03,4.9654E-05,0.0002,-0.0000,-0.0000,44,0.8987,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.4523,0.1238,0.0000,-0.0905,1.0000,0.0088
2005ms,148,64,1,0.02522,0.00001,0.02595,0.00001,0.02669,0.00086,-217.49,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.33,0.10,0.75,-999.00,53744.0508,0.1078,0.5321,0.1044,-0.0361,0.0154,15.8881,0.0200,16.1596,7.9206E-03,1.4612E-04,0.0004,-0.0000,-0.0000,39,0.9885,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.4828,0.1124,0.0000,-0.0546,1.0000,0.0040
2005na,100,64,1,0.02665,0.00008,0.02717,0.00008,0.02748,0.00086,-88.88,250.00,0.07,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.11,0.26,1.47,-999.00,53741.4062,0.1320,-0.3651,0.0552,-0.0624,0.0100,15.7401,0.0170,15.9407,9.0770E-03,1.4198E-04,0.0000,-0.0000,-0.0000,142,0.0211,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.2639,0.1039,0.0000,-0.0458,1.0000,0.0034
2006S,27,64,1,0.03224,0.00001,0.03310,0.00001,0.03393,0.00086,-240.12,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.45,0.10,0.99,-999.00,53770.4648,0.1220,1.0013,0.0829,0.0357,0.0132,16.5750,0.0149,16.7156,4.2071E-03,5.7871E-05,0.0001,-0.0000,-0.0000,80,0.9999,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0388,0.1258,0.0000,-0.0721,1.0000,0.0092
2006al,67,64,1,0.06780,0.00002,0.06908,0.00002,0.06886,0.00089,60.41,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.05,0.12,1.38,-999.00,53787.4727,0.6478,-1.3643,0.2823,-0.0918,0.0253,18.1432,0.0484,18.2640,9.9249E-04,4.4209E-05,0.0020,-0.0000,-0.0000,28,0.8574,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.5872,0.1065,0.0000,-0.0354,1.0000,0.0020
2006az,129,64,1,0.03103,0.00001,0.03158,0.00001,0.03201,0.00086,-124.25,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.15,0.09,1.62,-999.00,53826.8867,0.1166,-1.3312,0.0580,-0.0634,0.0132,16.2217,0.0152,16.2687,5.8252E-03,8.1788E-05,0.0001,-0.0000,-0.0000,115,0.9808,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.5919,0.0999,0.0000,-0.0448,1.0000,0.0033
2006cf,174,64,1,0.04146,0.00001,0.04223,0.00001,0.04268,0.00087,-129.54,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.81,0.10,0.93,-999.00,53874.2070,0.6571,-0.2387,0.2848,-0.1019,0.0261,16.7891,0.0425,17.1092,3.4544E-03,1.3536E-04,0.0014,-0.0000,-0.0000,10,0.0747,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.4324,0.1039,0.0000,-0.0220,1.0000,0.0027
2006cq,152,64,1,0.04844,0.00002,0.04928,0.00002,0.04944,0.00088,-44.67,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.16,0.34,1.36,-999.00,53890.4375,0.5474,1.0172,0.4248,0.0192,0.0184,17.3388,0.0209,17.5260,2.0821E-03,4.0098E-05,0.0035,-0.0000,-0.0000,16,0.8387,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.8492,0.1207,0.0000,-0.0647,1.0000,0.0065
2006en,66,64,1,0.03198,0.00001,0.03081,0.00001,0.03162,0.00086,-236.15,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.91,0.15,1.05,-999.00,53972.2695,0.4164,0.1057,0.1250,0.0475,0.0169,16.5291,0.0317,16.4939,4.3890E-03,1.2826E-04,-0.0003,0.0000,-0.0000,41,0.4833,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.8171,0.1326,0.0000,-0.0771,1.0000,0.0104
2006ev,78,64,1,0.02873,0.00001,0.02759,0.00001,0.02810,0.00086,-149.12,250.00,0.08,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.80,0.16,1.47,-999.00,53989.7461,0.2906,-1.3466,0.0872,0.0724,0.0160,16.7667,0.0321,16.4372,3.5262E-03,1.0414E-04,0.0000,0.0000,-0.0000,73,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7604,0.1454,0.0000,-0.0940,1.0000,0.0132
2006gr,91,64,1,0.03467,0.00001,0.03352,0.00001,0.03428,0.00086,-220.64,250.00,0.07,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.72,0.09,1.22,-999.00,54013.3555,0.0896,0.9424,0.0860,0.0722,0.0133,16.7305,0.0203,16.7565,3.6459E-03,6.8127E-05,0.0001,-0.0000,-0.0000,71,0.9604,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0797,0.1398,0.0000,-0.0808,1.0000,0.0129
2006lu,6,5,1,0.05340,0.00009,0.05449,0.00009,0.05346,0.00088,291.11,250.00,0.10,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.25,0.09,0.97,-999.00,54036.3984,0.3974,0.3094,0.0965,-0.0921,0.0152,17.2640,0.0321,17.6449,2.2304E-03,6.5904E-05,-0.0002,0.0000,-0.0000,52,0.9814,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.9681,0.0844,0.0000,-0.0252,1.0000,0.0025
2006mo,176,64,1,0.03718,0.00016,0.03616,0.00016,0.03702,0.00088,-249.26,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.76,0.08,1.54,-999.00,54047.4336,0.3274,-2.2735,0.1325,0.0381,0.0220,17.1496,0.0342,16.7659,2.4782E-03,7.8172E-05,-0.0001,0.0000,-0.0000,30,0.5011,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0891,0.1315,0.0000,-0.0820,1.0000,0.0094
2006oa,193,64,1,0.06257,0.00001,0.06142,0.00001,0.06153,0.00089,-33.08,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,8.91,0.46,0.67,-999.00,54067.1367,0.1618,1.4449,0.2524,-0.0119,0.0161,17.6365,0.0208,17.9218,1.5827E-03,3.0314E-05,0.0017,-0.0000,-0.0000,51,0.7892,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.2450,0.1100,0.0000,-0.0344,1.0000,0.0066
2006ob,1,64,1,0.05860,0.00004,0.05760,0.00004,0.05824,0.00088,-179.42,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.18,0.08,1.44,-999.00,54063.5430,0.1439,-2.0999,0.0979,-0.0097,0.0130,17.9537,0.0151,17.7473,1.1817E-03,1.6440E-05,0.0002,-0.0000,-0.0000,95,0.9574,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.0706,0.0919,0.0000,-0.0826,1.0000,0.0040
2006on,106,64,1,0.07191,0.00001,0.07068,0.00001,0.07089,0.00089,-60.92,250.00,0.12,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.17,0.12,1.31,-999.00,54065.1523,0.6004,-0.4463,0.5946,0.0840,0.0471,18.1973,0.0616,18.0136,9.4424E-04,5.3546E-05,0.0182,-0.0000,-0.0000,19,0.0880,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.3368,0.1235,0.0000,-0.1313,1.0000,0.0039
2006py,45,5,1,0.05787,0.00001,0.05658,0.00001,0.05653,0.00088,14.34,250.00,0.05,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.80,0.14,1.33,-999.00,54071.4141,0.3533,0.1168,0.2702,0.0154,0.0160,17.6204,0.0196,17.6190,1.6064E-03,2.8973E-05,0.0019,-0.0000,-0.0000,28,0.7901,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.9422,0.1236,0.0000,-0.0467,1.0000,0.0098
2006qo,151,64,1,0.02837,0.00008,0.02871,0.00008,0.02898,0.00086,-77.26,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.81,0.12,1.55,-999.00,54083.1094,0.1176,0.5236,0.0730,0.2029,0.0143,16.6094,0.0189,16.1752,4.0760E-03,7.0805E-05,0.0001,-0.0000,-0.0000,60,0.6474,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.4984,0.1733,0.0000,-0.0953,1.0000,0.0217
2006te,131,64,1,0.03155,0.00001,0.03212,0.00001,0.03290,0.00086,-227.18,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.26,0.08,1.08,-999.00,54097.3438,0.3938,0.0373,0.1107,-0.0432,0.0182,16.3167,0.0299,16.5304,5.3372E-03,1.4702E-04,-0.0005,0.0000,-0.0000,55,0.7651,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.8536,0.1031,0.0000,-0.0541,1.0000,0.0035
2007O,149,64,1,0.03694,0.00001,0.03732,0.00001,0.03818,0.00087,-245.95,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.76,0.05,0.89,-999.00,54124.7305,0.4441,-0.2963,0.1206,-0.0579,0.0188,16.4929,0.0330,16.6914,4.5379E-03,1.3774E-04,-0.0003,0.0000,-0.0000,49,0.2813,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.0146,0.0970,0.0000,-0.0469,1.0000,0.0033
2007R,173,64,1,0.03081,0.00001,0.03126,0.00001,0.03174,0.00086,-140.28,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.01,0.14,1.33,-999.00,54129.5664,0.3632,-1.4852,0.1201,-0.0919,0.0219,16.4394,0.0391,16.5341,4.7669E-03,1.7147E-04,0.0003,0.0000,-0.0000,54,0.9563,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.8573,0.0987,0.0000,-0.0283,1.0000,0.0030
2007ae,9,64,1,0.06499,0.00036,0.06485,0.00036,0.06533,0.00096,-135.09,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.24,0.06,1.09,-999.00,54154.2891,0.6101,0.9664,0.2180,-0.0179,0.0174,17.5415,0.0321,17.8327,1.7275E-03,5.1142E-05,-0.0003,0.0000,-0.0000,44,0.5341,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.1559,0.0909,0.0000,-0.0612,1.0000,0.0031
2007bd,2,64,1,0.03044,0.00010,0.03141,0.00010,0.03120,0.00087,62.70,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.64,0.11,1.25,-999.00,54206.9336,0.0703,-1.0613,0.0598,-0.0700,0.0104,16.2702,0.0120,16.3777,5.5707E-03,6.1673E-05,0.0000,-0.0000,-0.0000,91,0.4077,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7009,0.0990,0.0000,-0.0413,1.0000,0.0033
2007co,128,64,1,0.02696,0.00011,0.02655,0.00011,0.02731,0.00086,-221.82,250.00,0.10,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.41,0.11,0.96,-999.00,54265.0898,0.1013,-0.0623,0.0925,0.0700,0.0131,16.2452,0.0235,16.1108,5.7007E-03,1.2315E-04,0.0000,-0.0000,-0.0000,99,0.7003,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.4340,0.1498,0.0000,-0.0751,1.0000,0.0129
2007cq,107,64,1,0.02604,0.00008,0.02481,0.00008,0.02510,0.00086,-83.97,250.00,0.09,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.74,0.17,0.78,-999.00,54281.1211,0.1120,-0.2122,0.1832,-0.0076,0.0152,15.6256,0.0250,15.6321,1.0087E-02,2.3261E-04,0.0010,-0.0000,-0.0000,45,0.9560,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,34.9553,0.1382,0.0000,-0.0356,1.0000,0.0096
2007hu,157,65,1,0.03518,0.00001,0.03518,0.00001,0.03551,0.00086,-94.25,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.99,0.03,1.66,-999.00,54355.4375,0.0609,-1.7583,0.5370,0.2576,0.0493,17.5801,0.0870,16.6184,1.6670E-03,1.3357E-04,0.0089,-0.0000,-0.0000,14,0.2654,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.9416,0.2081,0.0000,-0.1055,1.0000,0.0211
2007is,137,65,1,0.02953,0.00001,0.02953,0.00001,0.02866,0.00086,253.02,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.65,0.15,1.09,-999.00,54366.3867,0.5672,-0.0866,0.1903,-0.0039,0.0205,16.1561,0.0309,16.2420,6.1880E-03,1.7639E-04,-0.0009,0.0000,-0.0000,19,0.0818,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.5652,0.1265,0.0000,-0.0688,1.0000,0.0062
2007jg,169,5,1,0.03707,0.00001,0.03652,0.00001,0.03756,0.00086,-297.74,250.00,0.09,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.52,0.12,1.41,-999.00,54366.9727,0.1589,-0.4295,0.0931,-0.0087,0.0132,16.9987,0.0216,16.9738,2.8480E-03,5.6749E-05,0.0001,-0.0000,-0.0000,66,0.9946,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.2970,0.1253,0.0000,-0.0359,1.0000,0.0096
2007kk,34,65,1,0.04177,0.00016,0.04130,0.00016,0.04285,0.00088,-446.69,250.00,0.20,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.05,0.08,0.84,-999.00,54383.5547,0.3351,0.9572,0.1458,-0.0075,0.0175,16.7002,0.0419,16.9562,3.7490E-03,1.4458E-04,-0.0001,0.0000,-0.0000,92,0.8266,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.2794,0.1071,0.0000,-0.0598,1.0000,0.0055
2007nq,41,65,1,0.04389,0.00006,0.04275,0.00006,0.04349,0.00087,-212.65,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,11.16,0.10,1.56,-999.00,54398.4805,0.1723,-1.7445,0.0697,-0.0416,0.0117,17.1094,0.0162,17.0354,2.5717E-03,3.8414E-05,0.0001,-0.0000,-0.0000,137,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.3586,0.0911,0.0000,-0.0581,1.0000,0.0034
2007ob,35,65,1,0.03389,0.00001,0.03263,0.00001,0.03243,0.00086,56.59,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.08,0.05,1.54,-999.00,54402.9414,0.6095,-0.3612,0.2413,0.2300,0.0245,17.0804,0.0513,16.3997,2.6415E-03,1.2487E-04,0.0001,0.0000,-0.0000,32,0.6158,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7229,0.1907,0.0000,-0.0758,1.0000,0.0214
2007sw,95,65,1,0.02428,0.00006,0.02500,0.00006,0.02517,0.00086,-50.84,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.48,0.15,1.07,-999.00,54467.9688,0.3177,0.4668,0.1277,0.0595,0.0181,15.9738,0.0259,15.9583,7.3194E-03,1.7440E-04,0.0001,0.0000,-0.0000,68,0.4504,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.2815,0.1470,0.0000,-0.0761,1.0000,0.0118
2007ux,58,65,1,0.03070,0.00001,0.03183,0.00001,0.03264,0.00086,-233.21,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.19,0.08,1.40,-999.00,54464.1758,0.2587,-2.1700,0.0618,0.0904,0.0137,16.9745,0.0234,16.4535,2.9120E-03,6.2796E-05,-0.0001,0.0000,-0.0000,125,0.0124,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7767,0.1461,0.0000,-0.0910,1.0000,0.0143
2008050,2008050,65,1,0.04526,0.00020,0.04627,0.00020,0.04625,0.00090,6.39,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.62,0.08,0.90,-999.00,54621.0469,0.4146,1.4807,0.3004,0.0389,0.0250,16.9151,0.0345,17.0401,3.0759E-03,9.7597E-05,0.0033,-0.0000,-0.0000,42,0.7001,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.3633,0.1452,0.0000,-0.0270,1.0000,0.0140
2008051,2008051,65,1,0.03777,0.00006,0.03835,0.00006,0.03873,0.00087,-109.18,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.10,0.08,0.86,-999.00,54617.1406,0.3502,0.7593,0.1555,-0.1065,0.0172,16.3947,0.0262,16.8304,4.9671E-03,1.1965E-04,0.0004,-0.0000,-0.0000,54,0.9876,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.1536,0.1039,0.0000,-0.0002,1.0000,0.0045
2008ar,103,65,1,0.02617,0.00001,0.02732,0.00001,0.02849,0.00086,-342.80,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.31,0.20,1.12,-999.00,54535.1289,0.0718,0.0202,0.0521,-0.0383,0.0092,15.9459,0.0118,16.1438,7.5097E-03,8.1739E-05,0.0000,-0.0000,-0.0000,131,0.9759,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.4671,0.1046,0.0000,-0.0566,1.0000,0.0039
2008bz,143,65,1,0.06015,0.00001,0.06130,0.00001,0.06099,0.00089,88.72,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.47,0.10,1.16,-999.00,54579.5312,0.2469,-0.4168,0.1092,-0.1300,0.0111,17.6531,0.0155,18.0164,1.5587E-03,2.2212E-05,-0.0000,0.0000,-0.0000,81,0.3686,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,37.3396,0.0782,0.0000,-0.0065,1.0000,0.0021
2008cf,3,65,1,0.04603,0.00009,0.04692,0.00009,0.04682,0.00088,29.57,250.00,0.06,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,9.15,0.04,0.21,-999.00,54595.2734,0.3042,1.2180,0.1192,-0.1121,0.0111,16.7458,0.0169,17.2724,3.5949E-03,5.5949E-05,-0.0002,0.0000,-0.0000,72,0.9974,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.5956,0.0952,0.0000,0.0002,1.0000,0.0040
2008fr,19,65,1,0.03900,0.00200,0.03790,0.00200,0.03828,0.00218,-110.97,250.00,0.04,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,8.69,0.21,1.15,-999.00,54733.8242,0.2302,0.5961,0.0744,-0.0916,0.0102,16.5542,0.0174,16.9264,4.2886E-03,6.8880E-05,0.0001,-0.0000,-0.0000,136,0.9948,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.2496,0.1012,0.0000,-0.0093,1.0000,0.0047
2008gb,53,65,1,0.03700,0.00009,0.03641,0.00009,0.03796,0.00087,-447.19,250.00,0.17,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.39,0.04,0.90,-999.00,54747.0469,0.4957,0.0817,0.2262,-0.0048,0.0202,16.8026,0.0415,16.9183,3.4115E-03,1.3048E-04,0.0000,0.0000,-0.0000,44,0.9999,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.2415,0.1162,0.0000,-0.0687,1.0000,0.0060
2008gl,42,65,1,0.03354,0.00016,0.03246,0.00016,0.03272,0.00088,-75.15,250.00,0.02,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.80,0.03,1.65,-999.00,54768.6094,0.0955,-1.2917,0.0524,-0.0246,0.0098,16.5202,0.0108,16.4704,4.4253E-03,4.4188E-05,0.0000,-0.0000,-0.0000,124,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7936,0.1046,0.0000,-0.0627,1.0000,0.0047
2008gp,105,5,1,0.03303,0.00020,0.03245,0.00020,0.03333,0.00088,-257.67,250.00,0.10,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.64,0.05,1.19,-999.00,54779.7930,0.0737,-0.0753,0.0521,-0.0910,0.0125,16.1411,0.0231,16.4582,6.2742E-03,1.3364E-04,0.0000,-0.0000,-0.0000,95,0.9993,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.7814,0.0964,0.0000,-0.0266,1.0000,0.0030
2008hj,59,65,1,0.03761,0.00015,0.03643,0.00015,0.03682,0.00088,-111.99,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.20,0.06,0.92,-999.00,54802.3594,0.0812,0.3049,0.0698,-0.0586,0.0098,16.4977,0.0111,16.7934,4.5179E-03,4.6186E-05,0.0001,-0.0000,-0.0000,91,1.0000,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.1166,0.0936,0.0000,-0.0454,1.0000,0.0033
2009ad,104,65,1,0.02840,0.00000,0.02834,0.00000,0.02844,0.00086,-30.49,250.00,0.10,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.45,0.09,1.28,-999.00,54886.9531,0.0666,0.2486,0.0544,-0.0468,0.0103,15.8967,0.0213,16.1529,7.8583E-03,1.5435E-04,0.0001,-0.0000,-0.0000,126,0.9993,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.4761,0.1031,0.0000,-0.0514,1.0000,0.0035
2009bv,15,65,1,0.03667,0.00006,0.03748,0.00006,0.03848,0.00087,-287.73,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.37,0.10,0.87,-999.00,54927.4648,0.1256,0.5122,0.1270,-0.0733,0.0155,16.6309,0.0181,16.9935,3.9962E-03,6.6474E-05,0.0007,-0.0000,-0.0000,51,0.4881,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.3167,0.0962,0.0000,-0.0328,1.0000,0.0031
2009do,97,65,1,0.03964,0.00001,0.04027,0.00001,0.04099,0.00087,-206.58,250.00,0.01,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.73,0.20,1.43,-999.00,54946.2734,0.2812,-0.8132,0.1064,-0.0135,0.0157,16.8737,0.0210,16.8721,3.1954E-03,6.1784E-05,0.0002,0.0000,-0.0000,56,0.2317,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,36.1953,0.1052,0.0000,-0.0683,1.0000,0.0052
2010ag,139,66,1,0.03340,0.00002,0.03336,0.00002,0.03335,0.00086,3.24,250.00,0.03,-9.0,-9.0,-999.0,-999.0,-9.0,-9.00,10.57,0.13,1.25,-999.00,55271.2578,0.2790,0.8067,0.1441,0.1199,0.0171,16.4647,0.0234,16.3284,4.6571E-03,1.0044E-04,0.0007,-0.0000,-0.0000,39,0.4253,-9.0000,-9.0000,-9.0000,-9.0000,-9.0000,35.6516,0.1542,0.0000,-0.0891,1.0000,0.0163
