SNID,RA,DEC,zHEL,TYPE
1340706,37.057922,-5.316442,0.29425,None
1340751,36.155048,-5.371427,0.66614,None
1340954,53.186806,-29.027645,0.30566,None
1341000,53.953114,-29.337652,0.54259,None
1341227,52.908604,-27.622465,0.83108,None
1341271,52.639504,-27.962948,0.82656,None
1341370,8.963905,-44.676697,0.41,None
1341423,8.342222,-44.206165,0.59825,None
1341426,9.38089,-44.346478,0.55432,None
1341459,35.725346,-6.307511,0.52341,None
1341502,35.771557,-6.787463,0.51185,None
1341556,35.919296,-6.983731,0.71721,None
1341743,53.072014,-28.158413,0.68487,None
1341823,52.749844,-27.851603,0.55093,None
1341857,53.118179,-26.979706,0.50373,None
1341894,35.302509,-4.65022,0.31401,None
1342255,40.743481,-0.267406,0.21976,None
1342580,36.688202,-3.974147,0.87622,None
1342647,10.653182,-44.470635,0.51725,None
1342707,36.165497,-6.810126,0.65375,None
1342778,9.218061,-44.677235,0.40557,None
1342810,35.030266,-6.42943,0.70232,None
1342906,53.542625,-27.589018,0.498,None
1343208,52.846481,-28.544226,0.49558,None
1343337,54.559166,-28.709869,0.33947,None
1343401,34.572121,-5.654875,0.38397,None
1343533,7.358388,-42.267349,0.36947,None
1343542,8.07313,-43.210918,0.78644,None
1343759,51.978981,-28.564434,0.50677,None
1343871,43.502541,-0.370269,0.639,None
1344303,40.528839,-1.360585,0.09475,None
1344347,41.637959,-0.409479,0.26453,None
1344355,40.956406,-0.935593,0.2454,None
1344598,40.661621,-0.940609,0.69735,None
1344639,9.385376,-44.20084,0.3677,None
1345441,51.838238,-28.737097,0.71536,None
1345458,53.130634,-28.877844,0.56932,None
1345553,35.344692,-4.667977,0.31902,None
1346137,53.259174,-26.85409,0.36379,None
1346139,54.010819,-27.905289,0.50379,None
1346149,54.035442,-27.193003,0.58493,None
1346627,53.300304,-28.336485,0.68257,None
1346628,51.978485,-28.053095,0.53253,None
1346758,36.063824,-5.167993,0.4977,None
1346956,54.343502,-28.826429,0.334,None
1346966,55.340694,-29.14934,0.33558,None
1347112,52.841625,-27.223948,0.79389,None
1347766,35.020611,-6.640267,0.63022,None
1366175,10.430503,-44.249554,0.40561,None
1366187,36.73172,-5.20983,0.46406,None
1366195,35.912453,-4.867131,0.55439,None
1366280,53.114044,-28.202406,0.73234,None
1366436,53.637379,-29.51112,0.24,None
1366475,54.9692,-29.526581,0.45596,None
1366482,52.570999,-28.321495,0.32206,None
1366690,35.613281,-4.166674,0.27223,None
1367180,35.538487,-4.669028,0.80489,None
1367234,34.128471,-4.631078,0.25278,None
1367331,7.026346,-42.454613,0.44793,None
1367408,53.485539,-26.816944,0.54366,None
1367556,34.670208,-4.671115,0.45235,None
1367571,35.384438,-5.32584,0.43428,None
1368111,10.142037,-44.454319,0.55205,None
1368131,35.74556,-4.125039,0.308,None
1368133,36.74358,-3.868923,0.2772,None
1368143,35.940445,-5.160483,0.42463,None
1368188,53.097221,-28.794487,0.2405,None
1368482,36.430649,-6.145141,0.50967,None
1368530,34.284973,-5.275543,0.34336,None
1370113,7.949914,-43.696564,0.65674,None
1370135,8.880093,-44.296211,0.51724,None
1370181,36.487938,-4.066946,0.69446,None
1370247,33.958874,-4.63977,0.67022,None
1370308,52.942154,-27.495218,0.62927,None
1370320,9.974955,-44.086151,0.33165,None
1370391,54.945488,-29.807819,0.65749,None
1370402,52.218323,-27.574387,0.64833,None
1370441,53.389828,-28.383074,0.93806,None
1370806,54.567539,-29.99032,0.5895,None
1370898,8.078572,-42.5453,0.65193,None
1370906,6.564727,-43.046257,0.61963,None
1370944,10.066408,-43.307297,0.51057,None
1371022,8.062297,-42.818237,0.29178,None
1371046,10.458238,-43.375191,0.07411,None
1371048,9.635918,-43.595867,0.34489,None
1371111,37.188751,-5.151207,0.885,None
1371126,52.936005,-28.254307,0.21648,None
1371206,52.917744,-27.30333,0.52839,None
1372115,53.024254,-27.918802,0.89915,None
1373028,36.374882,-5.976836,0.25617,None
1373040,36.98336,-3.992235,0.26262,None
1373042,36.188419,-4.16372,0.2382,None
1373123,34.433979,-4.694845,0.7002,None
1375087,52.23122,-29.034729,0.63016,None
1376168,8.088785,-43.846073,0.49348,None
1377086,8.32084,-43.408562,0.33213,None
1380034,36.818745,-3.674386,0.63065,None
1380167,52.879147,-28.70973,0.75399,None
1385052,36.642826,-4.748247,0.8025,None
1385187,43.139782,-0.089558,0.52319,None
1386047,36.73523,-4.419295,0.493,None
1387101,41.601223,-1.22528,0.482,None
1387162,54.512081,-27.711649,0.61809,None
1387174,54.836937,-29.843739,0.699,None
1389074,43.083443,-0.911167,0.5039,None
1389177,55.066708,-28.799547,0.44945,None
1389210,54.382717,-28.796007,0.54921,None
1390164,54.298798,-28.942001,0.45154,None
1390173,53.543018,-27.570578,0.65938,None
1390343,36.001148,-4.493878,0.8927,None
1391191,55.19046,-29.148699,0.65126,None
1392367,42.444828,0.437807,0.59463,None
1392400,54.931809,-26.412487,0.45258,None
1395159,37.148346,-4.051857,0.95845,None
1397029,54.639954,-27.672735,0.35991,None
1400026,53.279018,-27.301901,0.71027,None
1402076,36.740185,-4.144922,0.89762,None
1403033,10.065434,-44.450253,0.47539,None
1408024,9.682738,-43.486713,0.4033,None
1408068,36.392426,-4.371384,0.42828,None
1409129,52.385895,-27.472719,0.79436,None
1411114,53.37405,-27.686787,0.83777,None
1413048,52.632256,-28.807838,0.61185,None
1420185,52.39428,-27.508322,0.64519,None
1430116,52.938736,-28.139298,1.02222,None
1430136,41.931824,0.342824,0.41337,None
1430255,36.291946,-5.774556,0.65938,None
1431064,9.061986,-43.184773,0.39596,None
1431072,8.047522,-42.668808,0.42373,None
1431096,9.161865,-43.948441,0.47786,None
1431108,52.966393,-28.016733,0.61115,None
1431163,40.820599,-0.062145,0.36812,None
1432017,55.070763,-27.628599,0.34627,None
1432026,53.054649,-29.177969,0.15055,None
1432027,54.698093,-27.293657,0.35088,None
1432078,8.744804,-42.785729,0.54586,None
1432102,10.465083,-43.93647,0.71926,None
1432141,10.038949,-44.250629,0.566,None
1433040,53.648651,-29.713785,0.72012,None
1433108,8.968922,-44.307228,0.68403,None
1433114,51.889477,-28.011202,0.68506,None
1433226,35.024582,-4.36598,0.5975,None
1434201,33.97369,-4.228354,0.26423,None
1434203,34.861927,-4.879717,0.3768,None
1434248,35.7398,-4.312728,0.23835,None
1434258,52.984047,-27.694552,0.6626,None
1434262,36.663078,-5.117581,0.79106,None
1435033,54.91816,-28.451902,0.58096,None
1435067,8.632078,-44.575523,0.39235,None
1435094,52.884792,-28.862623,1.01778,None
