SNID,RA,DEC,zHEL,TYPE
1258309,35.273312,-6.269274,0.47736,None
1258330,36.064381,-6.127089,0.52595,None
1258422,36.190952,-4.982606,0.52227,None
1258433,37.153702,-4.783768,0.61572,None
1258500,36.695393,-5.042541,0.49502,None
1258529,35.700447,-4.658157,0.82542,None
1258591,35.551521,-4.722195,0.5988,None
1258802,6.636295,-42.985119,0.55063,None
1258906,10.262011,-44.394093,0.35013,None
1258940,42.714821,-0.525112,0.42694,None
1259006,35.595543,-7.000962,0.52913,None
1259246,53.372887,-29.134419,0.2233,None
1259330,10.2878,-44.204475,0.60357,None
1259352,52.776962,-27.869553,0.22034,None
1259412,36.345383,-5.3241,0.30581,None
1259500,35.729378,-4.971348,0.56288,None
1259511,36.733383,-3.742845,0.32816,None
1259538,37.174919,-4.714173,0.51363,None
1259561,34.392376,-4.257224,0.56882,None
1259585,34.682331,-5.682012,0.5653,None
1259615,35.216274,-4.591526,0.32116,None
1259667,52.068932,-27.355461,0.65939,None
1259771,42.351051,-0.748021,0.53341,None
1260000,41.899532,-1.376351,0.55172,None
1260030,41.496124,-0.085865,0.45918,None
1260050,41.24564,-0.387622,0.27372,None
1260058,41.02618,-1.884754,0.3905,None
1260105,34.811836,-4.987957,0.6955,None
1260107,34.653984,-4.86486,0.431,None
1260113,33.601856,-5.247008,0.35583,None
1260159,34.788174,-4.037089,0.43153,None
1260241,36.660049,-5.357839,0.33442,None
1260427,36.541428,-5.124958,0.81895,None
1260459,35.911957,-5.029144,0.85824,None
1260461,35.972065,-5.01508,0.86005,None
1260463,36.070816,-4.969504,0.62154,None
1260522,35.941273,-3.844081,0.74274,None
1260551,54.713745,-27.431032,0.55292,None
1260556,53.319641,-27.018248,0.27487,None
1260568,53.648098,-27.417101,0.53864,None
1260605,53.349716,-27.229445,0.55594,None
1260639,54.999687,-29.678026,0.59196,None
1260645,55.096279,-29.632965,0.67462,None
1260889,9.01558,-44.719231,0.52993,None
1260949,10.16028,-43.429455,0.4167,None
1260954,9.858578,-44.263458,0.69994,None
1261144,55.054031,-27.361082,0.61126,None
1261163,53.244747,-27.250668,0.61917,None
1261173,54.807583,-26.827669,0.47431,None
1261191,53.317921,-26.684483,0.66212,None
1261193,53.34824,-26.694504,0.19293,None
1261233,52.883198,-28.800205,0.53225,None
1261236,53.167114,-28.705193,0.5985,None
1261259,51.558544,-28.134834,0.52786,None
1261456,34.098518,-4.503251,0.62298,None
1261503,34.953003,-6.781866,0.35321,None
1261579,36.119595,-4.967311,0.3232,None
1261587,51.65797,-28.311569,0.65455,None
1261784,53.494923,-26.862579,0.26572,None
1261963,43.223835,0.553741,0.28053,None
1262016,36.069782,-4.863308,0.46812,None
1262055,54.695255,-26.844133,0.5813,None
1262084,53.772686,-26.35306,0.45416,None
1262128,53.267674,-29.469212,0.11365,None
1262131,53.521301,-28.807665,0.33852,None
1262135,54.139084,-28.613939,0.38378,None
1262163,55.221043,-29.451878,0.33566,None
1262181,54.641544,-29.016922,0.47001,None
1262232,53.225521,-28.239893,0.26151,None
1262252,7.171587,-43.748993,0.45401,None
1262267,8.216197,-42.391068,0.56332,None
1262550,40.8507,-1.887019,0.29304,None
1262573,41.56247,-1.521462,0.23837,None
1262588,34.910835,-6.29401,0.40759,None
1262726,36.832886,-4.541695,0.25478,None
1262736,36.951256,-5.187086,0.5305,None
1262746,37.156941,-5.163252,0.23176,None
1262803,37.15242,-4.733003,0.6147,None
1262895,52.514633,-28.742975,0.70615,None
1262899,53.59507,-27.713654,0.77759,None
1263039,35.075684,-5.031662,0.6565,None
1263062,35.109436,-5.350055,0.5095,None
1263090,35.326634,-4.995274,0.65341,None
1263125,52.814957,-27.656624,1.02947,None
1263130,52.374332,-28.327791,0.68084,None
1263139,53.936279,-28.025551,0.72801,None
1263197,54.324539,-28.489845,0.33826,None
1263244,10.094375,-44.421852,0.45902,None
1263369,43.229519,-0.541823,0.31343,None
1263580,8.518337,-42.807938,0.58393,None
1263715,41.609894,-1.579935,0.29279,None
1263785,53.367607,-28.693276,1.06498,None
1263788,53.077515,-28.667841,0.75796,None
1263829,53.262592,-27.34733,0.50128,None
1263852,54.290184,-27.414892,0.66144,None
1263856,53.619144,-26.503567,0.69849,None
1263930,53.448395,-29.441078,0.43631,None
1263936,54.626995,-30.046352,0.49575,None
1264038,53.542812,-28.406399,0.66425,None
