Unnamed: 0,ztfname,redshift,redshift_err,source,t0,x0,x1,c,t0_err,x0_err,x1_err,c_err,cov_t0_x0,cov_t0_x1,cov_t0_c,cov_x0_x1,cov_x0_c,cov_x1_c,mwebv,mwr_v,mwebv_err,fitprob,ra,dec,sn_type,sub_type,lccoverage_flag,fitquality_flag,iau_name,frac_fitted,mu_obs,mu_theory,residual,residual_centered
259,ZTF18abaeawz,0.09151881,0.00042199,z_nonSEDm,58288.681755538106,0.000519672,0.2571093539067669,0.026341925,0.1269828459298878,1.599835091885835e-05,0.084554177,0.028134861,-1.64e-07,-0.003223897,0.000128109,-7.2e-08,-3.89e-07,-3.54e-05,0.049208751,3.1,0,7.648512842432484e-05,281.585115,70.737122,snia,,1.0,1.0,2018cjn,100.0,8.210676705985401,38.11033199616281,-29.899655290177414,-0.2995681657650806
260,ZTF18abakjgq,0.05031335,0.00368782,z_snid,58297.07276677873,0.001303809,1.0311655929119177,0.105832354,0.090935472,4.3214040807381423e-05,0.091841393,0.030140403,8.891535193055647e-08,-0.001955813,-3.01e-05,-7.29e-07,-1.13e-06,0.000126643,0.2757261097484381,3.1,0,0.002926807,328.078968,44.24405,snia-cosmo,norm,1.0,1.0,2018ctt,100.0,7.211965063537848,36.74864654915961,-29.536681485621763,0.06340563879057015
261,ZTF18abakunn,0.05676638,1.477e-05,z_gal,58826.623246757714,0.000881658,0.1546983986341385,0.2337971074165892,0.9798285603537806,5.569939649998842e-05,0.2591826465437479,0.038002821,-4e-05,-0.164519143,0.015539608,3.54011277396321e-06,-1.73e-06,-0.001736562,0.013071859,3.1,0,0.9530000801581952,170.769519,27.570828,snia,,0.0,1.0,2019wkb,100.0,7.636749618566823,37.02072814485933,-29.38397852629251,0.21610859811982408
262,ZTF18abatffv,0.13889564,1.109e-05,z_gal,58295.31352572951,0.000204518,0.7674993669418587,-0.036948658,0.2922145686679869,8.490838306982339e-06,0.3533839196922927,0.040549465,-6.03e-07,0.077532625,0.002567155,-1.5e-06,-2.83e-07,0.004811994,0.009415927,3.1,0,0.00183932,208.639134,40.169963,snia-cosmo,norm,1.0,1.0,2018lpf,100.0,9.223171157324279,39.083765146744724,-29.860593989420444,-0.2605068650081108
263,ZTF18abathhi,0.02781189,1.035e-05,z_gal,58275.39891704095,0.001473878,1.2896029976781516,0.1227346781466879,7.305534602022817,0.001196741,6.817023832509278,0.5364050863314749,-0.000127103,-2.11933267,-0.063917534,-0.014661175,-0.000358126,-7.343871275,0.01963574,3.1,0,0.0,207.415064,47.819066,snia,,0.0,0.0,2018cnp,100.0,7.078846159102187,35.425623253256504,-28.346777094154316,1.2533100302580173
264,ZTF18abauprj,0.02416672,0.00016708,z_gal,58302.02315427468,0.011226615,1.384086514158699,-0.040107094,0.055551487,0.00033663,0.051563843,0.027002556,2.212138553230047e-06,-0.000726891,-0.000199212,1.7273721050584725e-06,-7.87e-06,-0.000280722,0.02315795,3.1,0,0.9999993089451634,254.771152,47.236404,snia-cosmo,norm/99aa,1.0,1.0,2018cnw,100.0,4.874377926449217,35.1146551432676,-30.24027721681838,-0.6401900924060477
265,ZTF18abaxlpi,0.06457578,1.053e-05,z_gal,58298.27778549367,0.000759283,0.6021290001557469,0.082923782,0.048383504,2.2612833919104485e-05,0.061907488,0.02678747,1.1570005109436869e-07,0.000278926,-0.000168865,-2.06e-08,-5.25e-07,-0.000113057,0.043817253,3.1,0,0.000129591,276.559089,45.01019,snia-cosmo,norm,1.0,1.0,2018ctm,100.0,7.79899080917141,37.31264860425766,-29.51365779508625,0.0864293293260836
266,ZTF18abbikrz,0.04676812,1.494e-05,z_gal,59058.05065020178,0.001562876,-2.839351,0.009402048,0.097475783,5.625075086896855e-05,0.1497603581138307,0.032802014,-2.49e-07,0.001546599,2.1255852691962864e-05,-2.54e-06,-1.57e-06,0.000848521,0.034772546,3.1,0,4.260403277915681e-07,240.767242,19.182311,snia-cosmo,norm,1.0,1.0,2020pwn,100.0,7.015188694830556,36.584423080772545,-29.56923438594199,0.030852738470343866
267,ZTF18abbodly,0.01752879,1.414e-05,z_gal,58277.85698868164,0.00502411,-0.830585449,0.2747106512575777,0.331594309,0.000187355,0.1980699538189272,0.037326243,-5.18e-06,-0.048178883,-0.00042661,-7.61e-07,-5.92e-06,0.000231993,0.3572179478876706,3.1,0,0.01322931,331.405613,44.837674,snia-cosmo,norm,1.0,1.0,2018cnj,100.0,5.74735215134692,34.406493382142,-28.659141230795083,0.9409458936172506
268,ZTF18abbpeqo,0.06677031,1.035e-05,z_gal,58300.51728889076,0.000926503,0.022198006,0.016356572,0.038594195,2.6943519918485573e-05,0.048220516,0.026045617,1.1278328971151129e-07,0.000344976,-0.000139579,8.005778935538669e-08,-6.08e-07,-0.00017313,0.016887352,3.1,0,4.959706769564782e-18,238.226884,50.619379,snia-cosmo,norm,1.0,0.0,2018cvq,100.0,7.582882925262773,37.3885730657237,-29.805690140460925,-0.20560301604859177
269,ZTF18abbqjds,0.09080518,0.00308707,z_snid,58299.29981264182,0.000548087,1.4170269542225398,-0.034857827,0.1973733562626876,1.9267803874291952e-05,0.22974933,0.033066098,-1.08e-07,0.010982172,-0.000233731,-1.16e-06,-5.24e-07,0.000116231,0.033366218,3.1,0,0.048194893,221.352414,78.284745,snia-cosmo,norm,1.0,1.0,2018cvr,97.82608695652172,8.152876246941469,38.09228103950123,-29.939404792559763,-0.33931766814743014
270,ZTF18abbvsiv,0.05232428,0.00151206,z_SEDm,58296.88499671021,0.001546303,-1.835857912,-0.026183073,0.055499101,4.702056243840872e-05,0.055887514,0.027668461,1.441966429861351e-07,-0.000556563,-8.64e-05,-2.31e-07,-1.12e-06,1.7779296938625362e-06,0.027158567,3.1,0,1.81182386519926e-05,261.133498,70.372487,snia-cosmo,norm,1.0,1.0,2018cto,100.0,7.026763503834594,36.8368860005403,-29.810122496705702,-0.210035372293369
